,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,family cash doubt,person tweet,please question council chair candidate candidate,article hypotension post,water question today,thank kind word,0,thank work,idea registration check rule marriage registration,child professional child protection proceeding trauma family guide,stone chaos,follower syndrome,0,0,something proud,0,reason rotation,ventilation skepticism laugh catastrophe,0,0
11,account term interest cashback,anything tweet thing,candidate officer primary,article solution balanced description,period pool water,thank kind word,0,thanks work,marriage death adoption land registration vehicle registration document addition council registration,recognise child resource support time family admin fighting exhaustion,rock freedom,follower rest conspiracy theory jewish wiley statement medium platform duty inciting,0,0,proud brother wait time,0,maaan rotation,ventilation recovery pvhr method flow heat loss ventilation system energy incoming,0,0
12,site monument board canada plaque discovery insulin today,medium twitter facebook platform attention money default medicine society,statement chair surgery,feeling people privatisation operation virgin theatre babylon provision service spirit,idea country government people country winter,everything moment thing,0,glad dose board recovery,0,fall child toothache covid problem speciality problem,word medicine difference drug treatment process drug part treatment process ayurveda management disease management,follower week,0,0,0,0,course ward,hepa filter school health education child teacher role,0,0
13,diabetic diabetic evidence,algo like doctor tweet friend,diabetes chair jalebi,health care scope scale privatisation reveals healthcare area,people language someone research system country system,eppley manoeuvre,0,luck recovery,0,alasdair tweet parent child covid disease,forward ayurveda siddha doctor drug drug counterpart medicine medicine malaria management,follower week,0,0,0,0,ward ward,hepa filter school mitigation matter,0,0
14,case anyone module recognition cancer afternoon diabetes,doctor twitter,chair look attention,analysis health privatisation health insight,idea country government people country winter,moment medium reality,0,recovery protocol,0,session pandemic message power month parent sibling relative covid,equivalent part pharmacology book medicine pharmacology book ayurveda siddha system medicine,follower week,0,0,0,0,baby ward,trouble misinformation school offer hepa maintenance filter cost choice cost option,0,0
15,infant geneticist brad tinkle leave stroke francomano,0,hour tory stuff,programme amazing insightful session register session,canal time bird,thanks helpful,0,wish future,0,visit park afternoon granddaughter stella,study population mtis family physician researcher faculty member,voice choir physician evening daphne williams freeman member choir,0,0,0,0,woah people enjoy emcc paeds favourite block paeds,illness symptom video child school risk people risk,0,0
16,gene anything,0,timeline tory,icebreaker session,bird zebra feather flock,thank helpful,0,wish career,0,granddaughter stella today condo,article family medicine educator theme health care student resident family physician patient,thank tonight inperson choir brighton,0,0,0,0,guess paed,child covid effect health education,0,0
17,medium doctor choice gene pool warming,0,error tory,today induction tale session team session,scihub bird watch sigil,thank answer,0,hudson keep pokey wish,0,time granddaughter stella night snowfall,movement family medicine francine lemire address chair,house choir afterwards groan,0,0,0,0,paeds shit,infection filter thousand child covid teacher acceleration teacher idea child,0,0
18,continue account person,0,0,lecture tonight,room error,thank time,0,hope home playing piano time,0,0,math subject employment,time year thanks friend skating vibe brighton,0,0,0,0,ikea pizza,0,0,0
19,account position,0,0,anyone lecture,room question comment,thanks time,0,tale hope moment,0,0,math mechanic level,thanks brighton year,0,0,0,0,pizza school,0,0,0
20,account medium policy,0,0,student attention span grateful teaching lecture stuff chunk,housemate okay noise room,thanks time,0,yeaim optimism,0,0,teacher squash chemistry level,yeah city people brighton year foundation,0,0,0,0,leeds pizza punk regret,0,0,0
21,year mbbs delivery mbbs doctor fault,0,0,till side rainbow bridge,chilblain winter,nyree thank,0,thanks hope,0,0,criticism david,bbass separation join follower jordan kenya community skill please share join facebook monday june,0,0,0,0,help stair gate,0,0,0
22,operating favour work surgeon review serum rhubarb,0,0,zakim bridge boston,winter sport,thank ally,0,thank hoping,0,0,dose parent count david,join follower philippine community skill please share join monday july,0,0,0,0,post ward physio assessment town house load stair stair situation dependent,0,0,0
23,quackery appoint mbbs doctor,0,0,county stuff bridge,skiing fantasy afford,thank tepig,0,thanks hope,0,0,rate david luiz,bbass secure follower malaysia mexicoa community skill please share join facebook monday,0,0,0,0,money kilo call bleep stair,0,0,0
24,course course,0,0,company flower,speck cumin power kitchen store cupboard everything,snacking living room,0,congratulation wish,0,0,thing everything perspective prof banzett,0,0,0,0,0,trust exit block discharge problem issue demand shortage care problem,0,0,0
25,mean course point,0,0,bloom dove athens,cupboard people,snyders snack,0,congratulation wish,0,0,prof work bywaters,0,0,0,0,0,norfolk trust list action exit block carecommunity partner,0,0,0
26,course course,0,0,bloom tortoise athens,genius worktops worktops splashback tile wall cupboard,call snack,0,congratulation wish,0,0,work faculty,0,0,0,0,0,route apart problem default patient deliberate policy trust outcome exit block,0,0,0
27,cost student,0,0,occasion someone,chili pose,thank mention kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,teaching student diabetesdka rest group gospel cost,0,0,event detail,form chili making clothes article,thank kind mention,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,concern interpretation trainee accommodation cost drive whilst,0,0,occasion okay nonsense,manage chili treat bish,thank kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,people luxembourg luxembourger,0,0,health secretary thing choice question,water john snow,thanks people,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,account finland sweden ireland slovenia czech poland slovakia italy malta germany greece romania austria kingdom denmark lithuania croatia cyprus france spain belgium response demand,0,0,health secretary task,evening john snow,people world thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,greece romania israel,0,0,government nothing director health,john snow idea someone name,thanks people,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,zone vehicle,0,0,tomorrow morning information session parent child deafness,load mcdonalds carton tampon plastic,thing thanks match,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,energy sometimes dont,0,0,deaf adult intervention program intervention fcei,tray angle slope poly heard problem,thanks thing,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,zone area life,0,0,deaf family look post,glitter concern plastic pollution,thank thing,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,bill chunk energy cost house throw year investment comfort money saving point,0,0,mentoring programme year time,govt lord line duty firm step sewage storm govt action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,earth energy price zero,0,0,woman mentorship,majority tory amendment water company practice sewage storm ground public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,board director quits energy price,0,0,mentor mentor session today sorry,voter concern sewage minister conscience issue constituent river,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,nothing scotland something,0,0,prudence heward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,someone scotland figure,0,0,scene venice prudence heward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,call rannoch scotland claiming call question,0,0,farm house hill prudence heward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,expense workaround,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,addition expense people cost pocket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,distinction spending acceptance individual mean spending good number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,look campaign campaign pledge mcneilllaracouk manifesto question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,round viewpoint aspect pledge stance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,limit room pledge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
