,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
11,friendship thing,censure death marine recruit news,stunning look body language,week city,night shift position fruita,cooker,hermiston,work,warn wpeds kennewick,risk management alexandria,something,laura trip,theme,midnight,cvor license
12,afternoon,bismarck,anything amazing,icutelemetry night week city,congratulation,school snack,life tweet,yesterday superwoman hour rumbly tummy today,forty fort pediatrics,work stefan note scenario aftermath,thing,coordinator lebanon,plane,wish,health river junction
13,afternoon,bismarck,anything molina part,icutelemetry night week city,congratulation,snack,tweet well team,arse touch chilli tummy,forty fort pediatrics,note approach working lead,thing,coordinator lebanon,plane kudos,wish,health river junction
14,afternoon,bismarck,anything,icutelemetry night week city,congratulation,snack,reply tweet aviation travel morning close,tummy,forty fort pediatrics,note book,thing,coordinator lebanon,stunt plane neighbouramp skill,wish,health river junction
15,friend,nurse assistant culbertson,radiology seattle,medsurg danville,hero,labor delivery rockford,facebook meme,light,night,lassie,breathe fjfjfjjf,scrub newport,morrison year speech,hottie,child health river
16,friend,nurse assistant culbertson,radiology seattle,medsurg danville,hero,labor delivery rockford,facebook,light,night,lassie life,place sure please breath heal,scrub newport,nothing opinion morrison thief,handsome,child health river
17,friend,nurse assistant culbertson,radiology seattle,medsurg danville,heroic cant,labor delivery rockford,twat facebook,light,night,panda,breath lauren love,scrub newport,word morrison today,handsome,child health river
18,care,oncology spring,endo procedure experience seattle,nurse aide_cna lisbon,news congratulation,aicupcu spirit camp hill,thanks share,team,care night,explanation,thing time,scrub nurse dickinson,tintim,congratulation welcome universitaire vaudois family,cvor nbstsa housing shift
19,care,oncology spring,endo procedure experience seattle,nurse aide_cna lisbon,news neighbour congrats,aicupcu spirit camp hill,thank share,team,care night,explanation,though time span side,scrub nurse dickinson,timing season decision lampard tindal,congratulation family,cvor nbstsa housing shift
20,care,oncology spring,endo procedure experience seattle,nurse aide_cna lisbon,news congratulation,aicupcu spirit camp hill,thanks share,team,care night,question explanation,time others share time time time time,scrub nurse dickinson,youll light tinsel,note congratulation family,cvor nbstsa housing shift
21,plain,rnhome health cavendish,tech call seattle,medsurg float king city,stone,cath rockford,twitter,chip,nicupicu night,cinematography darkness shadow production design ambiguity horror element,breathing method,coordinator gunnison,fallacy,birthday girl,health river
22,plain,rnhome health cavendish,tech call seattle,medsurg float king city,stone,cath rockford,twitter,chip,nicupicu night,shadow,breathing,base coach luis rivera,youve argument,birthday ballyconnell girl,health river
23,plain,rnhome health cavendish,tech call seattle,medsurg float king city,stone,cath rockford,twitter,chip,nicupicu night,book shadow world,breathing,coordinator gunnison,argument,birthday girl,health river
24,ltac austin texas,thank,variable call seattle,circulatorscrub fall,luck event,infection preventionist mercyhealth javon hospital rockford,thank tweet,come work team,arfsrn night fort smith,superb nurse work idea today stop,folk,tech dickinson,ticket wednesday ticket adult ticket,miss,pacu
25,ltac webster texas,thank,variable call seattle,circulatorscrub fall,luck action,infection preventionist mercyhealth javon hospital rockford,thank card tweet,work team,arfsrn night fort smith,today sunday start traffic people school leaversamp parent nurse,thing folk email,tech dickinson,code ticket basket half,miss,pacu
26,ltac austin texas,thank,variable call seattle,circulatorscrub fall,luck idea principle jennieereprioritising skill,infection preventionist mercyhealth javon hospital rockford,thanks tweet scholar,people experience team magic happens,arfsrn night fort smith,today nurse patient,folk,tech dickinson,ticket,miss,pacu
27,smile,clever,vvsc vail,medsurg ortho night,talent,health rnap spirit camp hill,tweet,learn cohort,night baudette,note,thing gunk,enjoy,insight reflection,cheer,cvor
28,smile face ability relaxed anger face ability,clever,vclever,medsurg ortho night,talent,health rnap spirit camp hill,tweet,check today cohort,night baudette,note,thing bros,enjoy,insight,flattering title name register fuss knighthood cheer yet].,cvor
29,smile,clever,vvsc vail,medsurg ortho night,talent,health rnap spirit camp hill,tweet,everyone cohort know,night baudette,note,thing certificate,enjoy,insight,cheer,cvor
30,fair,hello,time year,icunights city,star,addition restaurant chain leon henry dimbleby school food plan action child food education school,please,work today arse,warn wpeds night kennewick,office,time time,chat,meeting,thankyou love appreciate,infection control online guide
31,fair,hello,something year,icunights city,absoute star,copy bundle book school nursery food life programme,please,work today waiting,warn wpeds night kennewick,office indoors,time time,chat,host meeting solution sign,thank love,care film staff infection prevention control excellence colleague space action resource
32,fair,hello,year year,icunights city,dwarf,school meal voucher term decision planning provision statement school availability,please,gonna work today,warn wpeds night kennewick,office,time time,chat,meeting,thank love,infection control online guide
33,risen,thanks everyone,fuck,sdrn icudays city,luck,life doin,universe message today,spoon,fort defiance,google,people label thing,gooooo julie,anyone word edgewise,husband,nobody
34,riser,thanks everyone,fuck shit,sdrn icudays city,luck,life,implication multiverse,purr resting bitch face spoon spoon festival,fort defiance,google,person thing,thankyou simon,sorry solace edge,husband,nobody
35,havent rise year,thanks everyone,fuck,sdrn icudays city,luck,life,coincidence einstein,hand notch spoon,fort defiance,google,people thing,thank amir,amount edge content,holiday husband,nobody
36,heard john movie star movie help,thank support,increase sewage waterway data reveals news news,medsurg shift tuba city,post,petition government committee achievement fundraising mforthenhs,medium,deadline friday,shift canton,share,birthday crabbyabi sorry today party,cathy,hear,everyone sticker sticker,case
37,john,thank support,water sewage yesterday oyster,medsurg shift tuba city,post,look fundraiser story flash touch,medium,deadline,shift canton,share,crabbyabi stadium yesterday,cathy newman look corporation stead shill establishment producer government earpiece,hear hear,kind bumper sticker,case
38,john,thank support,wealth divide scandal pool sewage coast people problem,medsurg shift tuba city,post,smack charity restoration,medium,hour deadline reference kind tonight,shift canton,share,crabby today,denise,hear,stick list link,case
39,wife,cause james,tryna feel,fact world hurt disappointment push,hannah anything,potion harry potter,need hash credit,nightmare,thank night,course time,winching,soul,conference,tomorrow night,term debrief circumstance people support
40,wife,nothing james,feel,disappointment,congratulation hannah brenda,harry,hashtag everyone,nightmare,thanks night,course word,chow mein labelling,soul hero permission,conference september anyone heckling,tomorrow sioux wind,circumstance
41,sure wife situation,bloody hell james news,feel,disappointment,brilliant hannah,time mouth harry potter,hashtag,mate nightmare,thank night,course change,people label identity competition label identity,soul,damn october conference pressure,thats tomorrow night,circumstance
42,family stomach,sorry,peace,stay,glad,person commits assault gesture force person person ground ability purpose,paul,muoversi costa,clip fella yoghurt news,speak version,deal,phobe needle thing,performance position,birthday queen week,fairness image something scout mindset something issue buzz
43,family,sorry,peace,goodness stay,glad okay,gesture,paul,placement costa home,yogurt,speak,deal,feeling needle needle,performance,birthdayweekend,island competition fairness
44,family,sorry,peace,stay,glad,gesture memory emma stunning,paul,snow time home costa takeout fella,serf yoghurt,speak,deal,doctor patient needle,performance,birthday thanks state anxiety week,fairness dance shit
45,hope,welcome,worse,sense michael,fine,proud,comment,arse,lift,management leitung meine ganze zeit,0,business absolute hell insta,dara something normality circumstance making journey word,birthday hope,proof
46,hope,welcome,awful,michael,alright,proud,comment,mention teacher arse,money lifting,management,0,mmmmm insipid,journey,birthday hope,proof statement
47,hope,welcome,bloody awful,michael,alrightjk please,proud thing,comment,friend arse trip,loft face lift,management,0,inspo,journey,birthday hope weekend,proof
48,victim,everyone,clarity night matt,nooooo,ride weather,answer claire,account,matron,something trick something trick distraction,defo,0,goblin sofa,opportunity austin,ahhh,fucking joke
49,victim evedence abound,everyone,matt rest,nooooooo,ride,episode diana auntie accent claire gallowglass spin series character,account,matron step,tricki course,defffff,0,sofa finding pitsea,opportunity,ahhh,joke
50,weetman victim,everyone,thank matt ceremony,nooooo,ride,claire,thanks option account type hold,sense matron voice,guise,defo people quiz,0,sofa,opportunity,ahhh,joke
51,crazy,everything,love,book review bruno frida bradman tania,thank syngonium,difference,thread thread bias time relation system case scenario thread,look draw manky tomato,star trek world distraction tension,work tool decision,0,year majority prefer,reward level,goddaughter rage instagram,thisbis initiative
52,crazyyyy,everything,love,book book,welcome board,difference,thread team,reason cherry tomato tomato small house,distraction brain,work tool decision,0,understanding math quarter majority,reward,instagram straight,initiative plan something york
53,youre,everything,love,mcevoy book chapter book,thank something board,difference,thread provider,home grown tomato,distraction motivation,work tool decision,0,majority,reward injection,instagram,initiative
54,thanks,kind comment,love love love,sorry teenage,cute,life life,august calendar,thing today,attitude,death time,0,well,seat,bday success,infection
55,thanks,kind work,love check,youngster,cute,post life,update grease august,thing today,attitude problem,living time,0,well,sits,need bday,mean kind infection
56,thanks,kind,deep concentration love,teenager,cute,life life,morning august,something today,attitude,living time tomorrow,0,well,edge seat,bday cyprus,duct infection male complication
57,plant milk,year time leeds,tonne positivity,laptop,video bulldog water fountain,tail prep,periodddd,speaker tennis ball,bloody hell,snap,0,thing break hour,worry meet,madness,toss
58,point milk,leeds,positivity,notebook want,puddle,tail,period,sport feel tennis archery,bloody hell time priceless,snap,0,break hour ward hour,meetup,madness,throwback list
59,moment weekend left milk life thought blender,leeds today water reflection,something call positivity press,laptop,puddle,tail today,period,speaker tennis ball,bloody hell thats,snap year,0,morning break time conundrum right time life,meet,moment madness,throwback
60,tape drawbridge kitty albie hang steal biscuit,need,fact,football,phil,delivery,dont forget,jesus,aampe yesterday wait baby parent child adult aampe,business,0,dream night member backstreet gemma gemma collins,join,dance,wait whaattt
61,limp biscuit,need,fact,number football,phil silver whereas,people delivery,dont forget,jesus,aampe,business,0,birthday gemma,join,dance,whaaaat
62,biscuit everything sorry news feel space anything nothing,example need,fact,football,hope phil date summer,delivery,someone mention,jesus,hope aampe care,business comment,0,araceli gemma birthday,join,type dance,woah
63,super,official place nursing degree bachelor degree nurse,ooft,book,thing pound,lunch,divorce incominggggg,documentation,night shift,absolute bare basic care step matter cause guess,0,break brilliant stuff,opportunity nurse nursing student,timeline watch,deffo
64,super,nurse degree administration something health care environment,oooft,book,pound,lunch,risk divorce suggests,goal documentation,night shift,care plan,0,solace,exciting nursing opportunity part research project detail link,timeline placement,yeah deffo lover swears
65,beat super,nursing degree,ooof,book,week year pound pound programme,lunch,situation furniture building house morning follower time relationship divorce thing rainbow storm,document document,night shift,care plan,0,break,nothing prospect need nursing something payed opportunity profession,peek timeline narrow racist nonsense,deffo swearing
66,place,degree,someone today sewer street,menace,yaaaaay,meal favourite,amennn,yeah reality,nurse michael claim nurse drink staff room shift,kouyate something,0,part communication,preceptor spot year course,drink plenty slice trust,control
67,place,degree,today year savage person,evil,yoooou,meal,amen brother,glad reality everyone,standard manager nurse shift threat registration provincesterritories,kotor,0,lack communication,fact work preceptor,frank slice,control everything imperfection
68,place,degree,person today time,trouble mischief,yaaay,meal,amen brain,reality,chance care nurse fuss checkout beginning shift,kovic,0,communication,certo ovunque prescindere,slice,control
69,please mate,load stock,feeling,week alteration,excellence award winner,spaghetti tesco replacement pasta,trainer,feature page,time night time count mine inspiration time,progress,0,paulette jalisas besties,health inequality point focus risk people health inequality geetha chandrasekaran,grandson,drive hour majority gang
70,mate,capital word shop stock,feeling,part week change difference planet,excellence silver gold award juice fflsh work,pasta,trainer perfect,page size option,time naproxen,progress,0,dani atkins,research inequality health care source,grandson,gang
71,mate,back stock,feeling,difference week,excellence award winner,spaghetti,trainer prep,page,time night,progress yall,0,danica time picking,call inequality health lecture word wrong time people country,grandson,gang
72,weekend,health,troy safety stay taylor,nothing,cuddle,spirit,please share,cochair,sleep,imagine,0,friend rate passport,pulos,chocolate labrador chip caution wind sofa afternoon,kinda something part system something
73,weekend,health,taylor maren,nothing,anxiety love cuddle boops,thrower spirit,please share,cossack resolvethank,sleep,imagine,0,year passport,puhon,greyador characteristic greyhound labrador,system
74,lefty weekend crossroad,health,taylor version jdbfjdbnd,nothing,baby trip ball cuddle,spirit,please share,corgi,sleep,imagine dream,0,please seat passport year,pulsus alternans alternans assessment pulsus alternans,labrador,system
75,temperature,word,anyone,time card dont thought week,awww congratulation,drama machine company delivery problem today damage croissant someone home,question comment question,member,strava,community partner session experience group community network event,0,experience sending,alison,glad bucket water,discharge thing
76,idea temperature,word,anyone,time week,awww congratulation,noodley thanks food staff afternoon kindness hero,pleasure comment view student,member,stropemoji,share event limit reach star everything,0,send,sone alison,bucket dirt attack,discharge thing
77,surface temperature radiator,word,anyone,week time,awwwww congratulation,unit colleague show night superb meal thank simon,comment forum somebody responseopinion,happens situ]. behalf member,strimphony,people network session partner community leader share capacity report event,0,send,time alison,fudge bucket,welcome court discharge home
78,weather,thanks response,people feeling others beacon light,mmmmmmmmmm,congratulation life successesonwardsamp upwards,form ghana,retweeting,cheese sausage,garden chop,excuse chaos,0,pant recovery asap,prescribing mechanism people range service community scheme work area health care article,salad,help
79,weather,thank response,people toor feeling,mmmmmm,whoop congratulation,wish ghana,rewatch tweet,sausage,chop piece,steve element chaos,0,leader dress pant like thought pant,evening prescribing everyone,zest standard salad,help
80,weather kind,please respond thanks,definition category definition comprising type definition fact thing,mmmhmm,congratulation future,week ghana,retweeting,packet richmond sausage,morning chop,lorry chaos,0,post topper regular herts,today prescribing tonight detail share view prescribing matter,politician word salad piece intern,help
81,pilot cricket pursuit silver bird batting school team team selection,mouth,peep baking rest,rest,karen,ocean,hashtag tweet,bunch,kind apple,tool,0,thankyou,gold,hiya hunny,monkey plateau record case
82,cricket,mouth,bake,rest,karen,alter plundering pirate queen ocean,thing dont forget hashatag tweet,bunch,appletizer,tool people,0,thankyou,gold,hiya sunshine,mandate people limpet broken record
83,cricket,mouth,bake,rest woman,karen record imee joke,ocean,hashtag tweet,bunch,quote million apple fall,tool people,0,thankyou,gold,hiya luvly,adore record
84,dear,goodness,matt hancock hero,neighbour,achievement,mistake thing people life,tminus hour tweetchat croup,highlight inbox,gravity theory,peony year health wellbeing time support please support,0,glass diary year anyone area,site book ticket,birthday today,family time
85,dear,goodness,hancock,battle today patience battle builder mate neighbour story,brilliant achievement surprise,spectrum people people function life challenge people kind understanding,thanks tweetchat role,highlight commute,gravity situation,impact aspect health wellbeing aspect lockdown restriction exercise programme home work nature,0,diary timetable,hope dayseats prima facie ticket chance,birthday yesterday,feel family time
86,dear,goodness,franklin please,neighbour party,leona achievement,life people people fuck,horizon tweetchats thinking,highlight,gravity,health aspect wellbeing time wellbeing support,0,date diary,facebook worry ticket date ticket,today birthday heaven,thing family time
87,time hope,answer,glad feel today,plane sand,christmas battery,gaslighting,form,fons facilitator supervision staff impact,jodie,surprise,0,thank time,career look event page information book place,year luellabellz spelling cardiff weave argo,access issue
88,hope time,answer,love today,head sand whilst parent shooter drill,battery issue continent,medium mogul fair gaslighting onslaught,download form website anything,fons facilitator supervision staff impact,sandra jodie comer hometown,thank surprise,0,thank time,student reception session april bristol placement preceptorship transition employment ticket book today,cardiff date pleaaaaaaase,access definition classification
89,thanks hope time,answer,feeling today,sand,notification daughter battery,reputation management gaslight spin,form detail,fons facilitator supervision staff impact,jodie adult show year woman,surprise,0,thank time,student join student career opportunity,bunch people cardiff today rewatching wall,access definition classification
90,friday,yeah,button,book year,powerhouse example anyone aspiring congratulation,pupil care home work experience week,twitter doctor woman nurse,olympics,dinner,excel,0,swing thing health assessment school health plan condition session work community partnership,panel,anyone tongue,license
91,friday,yeah,button,book year,congratulation achievement,week variant issue care launch,nursing tweeter nurse disrupters difference nursing,olympic,please disaffiliate member dinner,sheet,0,send school doncaster school health plan document plan health school school thankyou school value contribute document,panel,tongue,conflict someone license
92,friday joke,yeah,button,book year wise profound,congratulation achievement,week experience care,please twitter colleague host nurse fellow conversation,olympics,wish dinner,information sheet,0,recognition school shape ethos student health partnership everyone congratulation,dwarkin panel,ulcer tongue,yeah licensure
93,skin sunburn,reply,outhave round,copy,congratulation duba nurse,damn fool,lucy,nursing team,today year,check link,0,stacey care part time course brand space time,animal zoom,skye selfies,season virgin river
94,awww sunburn photo,reply,round,copy,need change healthcare system marie nurse champion congratulation victory,fool food dodger,james lucy lunch touch,team name nursing team name,year today,link,0,managementtaht carer time others,story grade zoom class soul,skye,river anyone order
95,morning sympathy sunburn skin,reply,round,copy,congratulation leader nurse country pleasure team,round fool,eureka,team team locality variety professional nurse therapist psychologist psychiatry input,year today mate,link,0,time scrub care kiddos,zoom class work right,tree skye,step river tonight
96,thatdoesnt,nothing support,cruel,week book,superstar,meant ironing afternoon iron,welcome community engagement others collaboration door bookthanks,ohhh hang lapland,sunday dinner thing,weactivechallenge time info medal,0,prechat blurb,someone perspective question issue,sorry birthday,shade allo place
97,getat,support,yeah cruel,week book,superstar,ironing,collaboration specialty tech method,hang,amazing dinner time ingredient,medal weactivechallenge everyone medal link,0,week tomorrow night prechat reading,perspective,beautiful birthday,shade fort decking sheehan team call
98,thatttt,support,savage,treat week read,superstar,sprint iron,collaboration disease threat,hang,dinner hour,weactivechallenge time info medal,0,absolute ache morning chat someone placement situation everyone time,perspective question mechanism,thank birthday,shade
99,evening,right,county hole,something paradise,mark,food,week twitter mention,thought inbox,watch link,everyone welsh,0,prechat transcript blog,come,hurray destitution,cute advantage
100,evening,right,hole,smack convict heaven,mark class,food,week twitter like,inbox,watch,welsh,0,transcript tonight,come,hurrah,advantage approach
101,evening,right,party hole,kingdom paradise,mark yesterday,food,tweet week life week fear weather read rest face,news inbox,watch,welsh vision future,0,link transcript word cloud,come,hurray titan,advantage
102,glove awareness week year member change glove waste,woohoo,awwww,monday,work everyone congratulation,hellesylt port people,sorry share sick plan doctor purpose tweet level length observation together,thanks work,shift,peep medal ansum,0,tweet chat guidance experience care chat diary,plan plane year people fuckwits,book birthday,confirms case monkeypox
103,glove,woof woof,awwww,monday,congratulation work,helluva deal,tweet health worker,thanks work,shift,medal,0,tweet chat guidance experience care chat diary,time week plane,hurray book release date book birthday date jason vorhees soldier,monkeypox spread state case ncdc
104,check something steroid cream glove idea brand,woooooo hooooooo,awwww,monday,congrats folk gong work,hellloooo,health august tweet badge others,thanks work,shift,medal medal medal challenge everyone,0,tweet chat guidance experience care guideline today chat tonight please,week flight,birthday like follow book,monkeypox case
105,someone thing allergy something,surrey,person,panel discussion,giveaway,twist fate,work marie goat selfie,enjoyment,sunday,computer information software,0,weekend folk chat place tuesday acute service hospital passport liaison nurse,sara,name cocktail title strike book,nurse wazobia nigeria
106,uurrggg week body something allergy,northumberland,person,discussion,giveaway,drop,selfies,suspense,sunday time,computer information software,0,discussion nurse,mile photo sara,cocktail tonight lass toto,infrastructure nursing profession nigeria
107,guidance allergy,photo university surrey,person,discussion,giveaway,someone sadder accepting fate yeah order show,selfies,suspense,sunday,computer information software,0,work liaison nurse project feel conversation,sara,night cinema cocktail sister,assistant triage nurse health nigeria anambra taraba
108,work morning world right,kind others,shit,heart child sake,oooooh prize,haybale picture seal tube,alternative twitter year self,haricot sauce tomate pain cuit manifique,apple watch,bundle,0,hello welcome twitter chat guest please hashtag assessment safety planning prevention,activity yesterday masterpiece,record vacancy applicant detail record timeline success rejection convert staff member acceptance repetition,residency program
109,moment work morning tear please hurry,kind people,shit,sake,prize,tube,twitter year,sauce,mine watch wire flash,bundle,0,tonight twitter chat please assessment safety planning prevention,activity,record vacancy applicant detail record timeline success rejection convert staff member acceptance repetition,article degree balance postcall resident
110,morning work,goodness kind person,shit,sake,prize cause,tube,rnao president participant everyone conversation event year tweet,dipping sauce,apple watch glitching,bundle,0,twitter chat prevention please conversation series chat everyone difference,activity,record vacancy applicant detail record timeline success rejection convert staff member acceptance repetition,residency
111,hope everyone,question,vibe,week,prize fitbit,part group minnesota,ryder performance performance song history winner,colman,iphone,cloud world,0,volunteer,nursing career chance ticket,0,credit
112,someone someone hope please scheme,question,vibe,week thou,windham campbell prize,part team,midnight ryder,taxman,anyone iphones message,cloud bathing,0,volunteer,nursing career chance ticket,0,case credit score state point anyone
113,hope jeremy,question,vibe,week,prizewell,part team,ryder,love postman,iphone,cloud,0,volunteer,nursing role midland exhibitor opportunity level ticket,0,credit stuff
114,mess,thank kind word,lmaoooooooooo,review,thank debut self fantasy adventure,mission,mhmm,corvette,tape clingfilm,stats,0,scrub work,meet employer saturday birmingham eastside room future employer offer,0,consultant research service development post question
115,mess,kind word thank,lmaooooooo,review,adventure,mission positivity people mission,hmmm,fiat,shape tape anything,stats,0,scrub home,saturday june royal armoury interact future employer opportunity place today,0,consulting project
116,country mess,thanks everyone kind word,lmaooooooo,review,adventure,time mission,hmmm,youthe corvette,rape tape goddamn autocorrect,statistic thing number need,0,scrub brand,midland saturday employer chat book place today,0,team consultant business analyst team consultant level position consultant
117,chocolate,brilliant,character,name city brain,lesson learnt yesterday boot something corner boot,wifi,take care,creativity,body ecohorror novel probability tonight insomnia,discard pile butt,0,morning maggie,theme online conference nurse come hear range speaker programme book,0,employment
118,shade chocolate enuf,brilliant,character,please city city,boot,wifi,take care,creativity issue creatives author round woman,research risk factor sleep breathing complication,pile,0,morning maggie,health nursing research speaker series march dame twospirit healing challenge,0,work workforce
119,chocolate,brilliant,character life,city stat,everybody boot,wifi work,take care,issue creativity queen creativity thing,insomnia adult,rock pile,0,morning maggie,join online conference theme nurse come hear range speaker programme book,0,employer workplace midst
120,jurgen fist pump,thanks thanks connection,blocker,clinicalward nursing,success,trust fund,rely tweet,match,connotation something class,aspect,0,hello maggie,network nursing colleague interest group meeting morning join,0,cholera kill advises nigerian hygiene
121,pump,perfect thank,fellow block,nursing,success busing stuff tomorrow,latino family trust fund,ditto tweeter,match,jimmy magee class apart,aspect life,0,maggie,join online conference theme nurse role fairer perspective come hear range speaker programme book,0,cholera vaccine spread
122,activity remainder pump,perfect thankyou,nice block,nursing,part success,multi internet fund,reason tweet anyone house shit,match,class,aspect subject,0,maggie,ondemand webcast ebook opportunity innovation profession nurse challenge,0,wash fruit food everyone water food water bourn disease organism illness fever cholera hepatitis others musa
123,flake,question everyone,record ireland book,chap,awwwww,pride achievement,marie,effort study,ptsd alarm bedside,experience software supplier fusion client relationship year client referral speak,0,trouble bombdog,myth generation inequality respect stand parity,0,time record patient access rcgp
124,raspberry flake mcflurry chunk cause swadlincote store,question everyone,ireland people check,chappie oooohh,awwwww,treat produce pride,nope marie celeste,effort thing value waste energy,individual function experience people activity living adls remember mean everyone ptsd,fusion supplier solution sector need staff management resident administration care portal system potential business,0,bomb,automation inequality marketplace,0,record patient access rcgp guidance
125,fleur,asknurse everyone,discussion evening ireland,chale mmmm,awwwww,unforgiveness reason people person person pride life opportunity life pride choke,maxine,effort disdain bush,jenny ptsd reaction word afterwards,system staff manager plan experience call fusion today,0,blast favour,inequality variation,0,notice patient regard access
126,brother clatterbridge morning home,zomg,respect,suggestion,member career opportunity nurse designation board,school nurse info insight,sits thinker world idea,effort,comment enforceability restriction obligation regardless everyone case exemption,data data,0,miniature hero pocket today,child shopping basket today,0,heart association july training schedule
127,stewart heart matter brother pleasure meeting,zuby,someone respect,suggestion,board position opportunity nurse designation province,school nurse,thinker,effort result,johesu general federation deduction member,data,0,trouser pocket phone pocket danger,hanging basket panel thingy,0,march training schedule acls firstaid skill course
128,brother opening,zomg,respect fuck,suggestion,board career opportunity nurse designation,school nurse nurse sense role area,blank look thinker,lazy,county administration point deduction,data uptake thing,0,pocket mate wonder,site basket,0,march training schedule acls firstaid skill course
129,yesterday,hehehe,lmao,realise school tinder joke,congrats torpedo,mistake,publication,thank team,goodnight,tortoiseshell butterfly,0,idea jackie,care meet standard practice,0,kick
130,yesterday,hehehe,lmao,tinder swindler,congratulation team,mistake,provoking piece publishing,thank team,goodnight team,butterfly,0,heart nurse jackie,planning carer carers course site future learn curve group study college pearson learns,0,kick
131,yesterday,hehe awww jaspaaaaa,lmao,tinder friend,congratulation team,mistake,mine school fact scar publication,thank team,goodnight,butterfly,0,jackie,care practice,0,kicker
132,cotton candy blizzard,cool,girl girl,cracker week week,congratulation news,application food community food experience area people share skill part food community,thank participation tonight,something time work time,check,swine,0,morning jackie friend today swansea half tomorrow activity,december,0,lassa fever kill health worker zaria
133,candy work,awesome,girl girl,pace week week,congratulation news,food life togethers network session learn partnership food activity community november book place today,star joining challenge encouraging others,time work,check,hamster winston today hamster pandemic laugh,0,morning jackie friend activity,time december,0,lassa fever ncdc
134,candy,awesome,lmao audacity girl cannot penis,week week,congratulation news,community food check resource network partnership view,yesterday participation society,time work,check,hamm,0,morning jackie today tomorrow start activity,work people christmas everybody,0,nigeria partner lassa fever
135,sweetheart,goddamn,acceptance speech,dobe,congratulation director secretary chief executive,chef,home caitriona food,roll,night shift week aampe offering help,people sick staff care answer fusion easy system photo,0,rosie,request change ticket couple week show saturday response,0,state trainer vacancy action nigeria
136,love sweetheart,damn,speech business,willey,msif professor alan dean faculty brain science winner charcot award,chef,caitriona,province roll,week work shift hour,people sick staff care answer fusion easy system photo,0,rosie,week ticket people,0,officer vacancy mercy corp nigeria
137,sweetheart,damn,speech,dobby,congratulation recipient leadership award administration,george foreman grill,caitriona braveheart,roll supplier community work,start shift weekend closing stuff,people sick staff care answer fusion easy system photo,0,headstand post malfunction rosie,pride week arena register offer monday part suit schedule,0,health care advisor vacancy jhpiego nigeria
138,saturday judeann,kind thank,everyone person post,reading,carer year category care professional year award,colleague christmas strawberry,collaboration care home client fusion tool care sector standard care today,feel mountain,antibiotic infection,organise everything business place cloud today,0,rate stroke patient,royalty,0,anambra death child measles
139,saturday,kind thankyou,people anyone,reading,supplier care provider year award,strawberry mivvi,collaboration care home client fusion tool care sector standard care today,goat mountain,antibiotic sound thing,organise everything business place cloud today,0,outcome stroke,whaaat royalty,0,consultant measles application world health organization
140,saturday,thankyou kind,everyone online person,heard read problem,carer year category care professional year award,strawberry summer fruit sweetness,collaboration care sector fusion tool care sector standard care,brilliant enjoy mountain,week rigor night antibiotic,organise everything business place cloud today,0,stroke source primer,regal,0,others list measles report
141,cheeky,route,world,ruth,congratulation finalist,goodbye,wont,patient team healthcare,nightshift nature,website,0,graduate louis snodgrass weekend occasion donation staff lamp variety cushion sofa week birthday louis,support care certificate contact team book place jenniferpooleynhsuk detail session,0,thank comrade effort worker
