,0,1,2,3,4,5,6,7,8,9
20, win win situation , thank ,employers acls  ,cna  lakeview  ,health rnap spirit  camp hill  ,character place chidi ,car day car day car daaaaay , video idiot , spot , joe 
21, daw ,work , face wishes recovery ,concord cna   concord nc  ,congratulations  , fingers ,  stay tom ,house  , earth trophy computer ,  sorry 
22,dabeetess  ,  work    ,wishes  recovery glad care  ,concord cna   concord nc  ,congratulations ,fingers  ,   prob spot poss bound tom , house ,earth  , sorry 
23, bore da   ,work  ,wish i wishes recovery ,concord cna   concord nc  , congratulations ,fingers , tom ,house , others earth ,sorry 
24,ez i , john respect anyone anything ,happiest birthdays day   ,co  rn mds coordinator   gunnison co  ,  heroes ,play  ,      everyone  ,   vote , job ed  ,glad 
25,oet , i friend people john ,birthday members team today returns ripa time   ,co  rn mds coordinator   gunnison co  , hero  , let snoop play ,everyone  ,spirit vote  ,  jobs ,  glad  
26, oooft , i john ,happiest birthdays ,co  rn mds coordinator   gunnison co  , hero , filth play  ,everyone , vote lot , jobs  , glad 
27,thing i , thank peter  , rn days ok  ,center  cortez co  ,news  food life awards bronze silver gold site meals day  ,die , today run tomorrow thanks  , labour love  , thank look  ,  argh 
28, i thing ,thank mojo    , rn days ok  ,center  cortez co  ,schools summer break hunger children access food year teachers increase child government week  ,death  ,        run way day matter ,labour ,  look thanks ,arrrrrrrgh  
29,  thing i ,   thankyou peter , rn days ok  ,center  cortez co  ,school meals education s draft strategy food thought  blog strategy    ,  death someone , day  run   ,labour ,thanks look ,urgh i  
30, day today ,plix dear ,risk management rn  alexandria bay ny  ,surg  day  co  ,         news congratulations , game ,manchester  ,load fluff party byob  ,kind ask questions refugees channel story perceptions ukrainians syrians afghans  , tomorrow morning  
31,day today ,plonker ,risk management rn  alexandria bay ny  ,surg  day  co  ,  news congratulations  ,game ,meeting manchester     ,i others party  ,  hi week event refugees  ,tomorrow 
32,today day   , plimsolls ,risk management rn  alexandria bay ny  ,surg  day  co  ,news tomorrow congratulations luck    ,game    ,sorry  handful times manchester ,anything party ,cap refugees clue name refugees atrocities bank details , tomorrow  
33, thank lot ,     hero phillip message chat alison word ,lpn shift  canton ny  ,co  rn vvsc   vail co  ,writing spirits ,millennials generation catalano thanks , i mine wall ,   robin williams actor [rip] ,ah i look ,snake 
34,thank lot ,      sone jo alison  ,lpn shift  canton ny  ,co  rn vvsc   vail co  , spirit bless ,hum millennials i experiences group y z ,fucking wall , years movie charlton heston name soylent green actors robinson heat  ,i look    , hats trial spaces snakes fear  
35,thank lot ,   break alison  ,lpn shift  canton ny  ,co  rn vvsc   vail co  ,creations spirits everyone owl way  ,gen x boomers millennials gen z hand ,  wall ,  actor face ,eww yeah i look ,plastic draino brand snakes target everything i 
36, i onion  ,                dear lady  ,boy   ,concord pm  pm  concord nc  ,get  , i ears safeguarding things paper moment , mate person , i top left ,fascinating interview    , cheers 
37,reckon i onion i layers while  ,dear , boy  ,concord pm  pm  concord nc  , yer get  , paper  , mate ,left left  ,prep work placement interview   i notes      ,cheers 
38,onion  ,dear ,boy  ,concord pm  pm  concord nc  , get ,   paper , mate ,left ,interview  ,cheers  
39,sorry i reply stroke rate ,welcome ,        yummy  ,day county  , claire while i applepay i wallet home , lmaaaaao ,interview chrimes author dragon boy   ,yuck ,yes references ,people distraction thing work place 
40,rate stroke patients  ,welcome        , yummy   ,servant county  , claire   ,lmaooooooooo ,doctor dragon slayer  ,yuppppp  ,   references claim , dan distractions  
41,stroke source primer       ,   welcome ,yummy  ,prayers county  ,    birthday walking claire , lmaooooooo ,crew dragon astronauts   ,yuuppp  , reference ,distractions return   
42, lot people uhl , i people , handsome , leg  ,use ,i lace ghana ,mates fine i ,girls country     ,costa mind ,  thanks today one 
43, lot people ,i peopley , boy handsome ,  legs ther  , use  ,ghana ,lmao i share mates sex relationship  , country , i day costa sentiment  ,thank today 
44, lots people naughty boy ,i people struts ,handsome , people legs ,use  ,week ghana ,mates ways someone feeling side lines job ace ,country , fave deal costa rica , today  thank 
45,yesterday way home lot difference morning , i drink jim  , ahhh  ,stop peace  ,  escape breach escape ,speak someone package end ,morning day ,thank response , chance guy  maybe reporting   ,binge 
46, i people amount tomorrow tbh lot ,jim wouldnt ambition ireland  ,ah ,peace , door air escape ,   speak ,                                          morning day ,thanks question  ,chances ,binge  yesterday series   
47,lot today ,jim shula family  ,aha ,peace , version escape movie ,speak version rsd  ,morning morning world   , thank answer i  ,chance  , binge watch sensation end hug cynic wholesomeness  
48,contribution steps count database  , yes i i man  ,awwww matt  ,opinion years  , def  ,i spy technology    ,sounds evening ,years today  ,  i guess thing  i tickets ,       sorry i 
49,contribution steps count database  , yeah i ,matt thanks conversation tennyson sentimentthanks ,see opinion throbber , deffo , technology  , evening  ,years today   , i tickets papa , sorry i past 
50,contribution steps count database  ,yeah i  , subject matt   ,  opinion , deffo i swearing ,uses technology  ,evening lindisfarne     ,years today  , ticket ,sorry i 
51, riley  work contribution ,lip , lady  ,guy   , wooooooo hoooooo , june ,thanks ,msm population syndrome ,turn ,apologies i mins 
52,            contribution ,  lips ,ladybug  ,guy  ,wooooo hooooo  ,rip june actress   ,thanks ,wow msm ,turn  ,apologies rambling 
53,contribution database  ,tonight topic everyones lips  ,lady  stay   ,guy ,wooooo hoooooo   ,june        ,thanks  ,bet msm    , tomorrow turn ,          please apologies  
54, something i  ,sam   ,beautiful  , love ,summery recipe  ,people horses ,damn i load ,terms  ,attention , end  
55,i something ,sam  ,    beautiful  ,love  ,composition  , rein horse joke , load way ,terms   , attention  , end 
56,i something  ,sam smith feature ,beautiful   ,love  ,   recipe ,                  peaker accidents i day back knee guess i time till bit walks day  anne horse  ,load ,terms ,attention   ,end   
57,oooh   ,yeah ,hope  ,guys way     , countryside time food food  , controls ,fault , skills disaster zone time earthquake war  ,aw fab prize pups    ,yeah worries 
58,oooh i ,yeah ,wow hope ,guys ,guess meal    ,control  ,fault  ,phew  disaster ,  cute prize  ,worries 
59,oooh  , yeah ,hope ,  guys  ,time  food ground thanks ,control ,fault ,bc disaster please  ,prize guys  , worries 
60,0,girl dream today   ,thank sorry sisters  , ignorance ,training schedule bls acls pals hse firstaid cpr aed ecg skills course  ,start workoad i everyone thoughts ,start day , pop pal , stage  ,   boo 
61,0, i dreams i i dreams cinema ,   thanks family ,ignorance ,march training schedule bls acls pals hse firstaid cpr aed ecg skills course  ,work everybody ,start hit day   ,thats poppet  souls love  bit , stage ,boo  
62,0,bed dream i night ,thank hope family , ignorant ,training schedule skills palsbls hse course  ,ground everyone works way  , start day ,tame poptropica username ,stage , booooooo 
63,0,leadership  , birthday bit day day ,things  ,worstttt  , part team  , i keys nails ,saturday  ,i minds parks rec files comfort shows ,tonight    
64,0,leadership  ,birthday  day ,  things ,thatttt   ,part person  ,okay question  impress nails shape i convenience options shape length wise  ,                                              saturday  ,theme parks   ,tonight  
65,0,leadership  , birthday day ,things oahu  ,thatttt   , part team   , jimmy nail song  ,saturday   ,parks recreation times office ,tonight   
66,0,adherence treatment adults fibrosis plenty stuff adherence ppl hospital soooooo  ,name crushes name number month rest life ,soup cheese pumpkin recipes share  ,yayyyyyyy ,day course antibiotics yay , shit man , god i texts  ,life technology app car parking taxi groceries race space sake i pin fingers blood  ,wow  
67,0,adherence service    ,birthday   matthias i ,soup ,readyyyyy steadyyyyy  ,thankyou pants antibiotics ,shit ,  computer text ,parking , wow  
68,0,article effect adherence recommendations  dept  infection   , birthday beautiful ,hours watery soup spoon piece wood  ,hump daaayyyy ,shift thanks dinner week antibiotics dressings time work  , shit , text glad mistake  ,side note thing i nhs parking space parking ticket end  ,    wow 
69,0,pleasure  ,   case ,ernie siesta    , proper food ansums , i time i miners leader chaos ,family baby zoe stone donation treats staff birthday yesterday sister jess family care coordinator bobbie boxes deliciousness staff room birthday zoe   ,quiz      ,business page arsehole , thanks topic heart 
70,0, pleasure  ,case ,ernie scratching post size  , food ,chaos clapham vigil state  ,                                             day zoe   ,quiz       ,god i page   , topic 
71,0,  pleasure ,win case  , henry road netting ernie , food ,steve element chaos ,                                                 morning zoe hope day thank ,quiz      , editorial ford  page piece ,    topic understand support thanks kath 
72,0, pleasure thank ,lots wishes wishes ,love love love , village idiot , adjustments inclusivity  whilst i steps  dnacpr , i everyone , colder , journey  , epic work today 
73,0,thank pleasure , wishes ,love got  ,spot i village   ,dnacpr guide notices patients families decisions resuscitation  , i everyone ,   colds damage ,journey i ,love work tomorrow today 
74,0,thank pleasure , wishes , love love love ,village list  ,dnacpr notices patients rights consent  , i everyone  , cold ,  journey  ,work tomorrow night pray hour sleep 
75,0, hi   , girl , lots love ,  mission ,i game    ,i feeling shower hour shift ,stop  ,looks opportunity  ,rewind years month staff post wow time   
76,0,                                           hi ,girl  , lots love   times times times ,mission statement  ,i game site  withdrew   ,government  heads shame  anyone shower ,stop  ,opportunity   ,job county practitioner time     
77,0,hi  ,girl , smasher lot love  ,mission  , i i drop game , plonkers word shower words step ,stop i ,opportunity      ,jesus christ adults children member staff teams today 
78,0, thank i  ,girl  birthday , soul  ,  picture laptops stuff , i guess benefit doubt i ,rush  ,help support  things moment someone  please call text visit  ,     thank roadshow experience i part ,documentary  
79,0,     thank i , birthday ballyconnell girl ,pick soul feels ,i word cell head laptop ,advantage benefit      ,pace plog  ,help support  things moment someone  please call text visit  ,thank part team  ,excerpts documentary gustav holst  nowadays  nolan bradley walsh 
80,0,thanks something i  , birthday woman  ,souls berkeley      ,donor contract laptops ,  advantage access ,   rushbrook  actors adeel    ,help support  things moment someone  please call text visit  ,thank part distress control ,awh mention documentaries anyone documentaties 
81,0,thank support  ,life disappointment ,time something thisand crap  ,books tigers year tiger   ,track   ,goodnight  , bunch ,apple emojis time cannot otter , yesterday i  
82,0, thank support  , disappointment , i time love  ,i  gng f ci year tiger   ,track   ,goodnight  ,bunch pals show ,emoji  idea , i i yesterday 
83,0,  thank support  , years disappointment   , time crap life , tigerthron tazington , track ,goodnight team   , bunch  ,one emoji course mins message , i yesterday 
84,0,  time i  ,talk shit , time  ,  patch moon eh , bbq     ,thank morning  ,  joker film night bloody actor ,  thanks advice , jesus  
85,0, time i ,      talk  ,time    , luna handler  ,bbqs thing garden someone  ,thanks morning need top ,joker penguin   ,thanks advice ,jesus  
86,0, time i ,feel talk baby ,  time ,parents telescope i moon geology time ,bbq i  ,                 morning everyone thanks  , batman ,thanks advice , jesus 
87,0,time yazz  ,bowling birthday   i pin turn  , way  ,yay  achievement    ,humans  ,thanks day , wenurses team fun evening  tuesday september  quiz  book    ,research opportunity nurses ,im loss i comfort 
88,0,yes i time , birthday coincidence , way    , achievement development  ,   humans others ,    thanks day     ,quiz night  september fun evening   quiz  book   ,liv others advantage opportunities search nursing careers journey career    ,i loss  
89,0,   yay time  ,birthday  birthday  ,way   , i guess people achievement step difference profession ,humans others , thanks day , quiz night  wenurses team fun evening  september book   ,dream type nursing opportunity  , i kind loss 
90,0,awww shout sharon  ,  alright u ,index tells rays sun summer ones radiation wear sunglasses hats shade check sunsmart app    ,applications food community food experience area people share skills part  food community     ,docs   , someone level i marathons i  , morning dionne i time weekend  ,      lots opportunities gpn ,sooo 
91,0,              sharon ,beautiful alright ,index tells rays sun summer ones radiation wear sunglasses hats shade check sunsmart app    , organisers participants part survey impact food community connections  , roger doc ,marathon time ,                                       morning super saturday ,ffs someone opportunities , sooo 
92,0,      i darn eyesight sharon   ,yeah alright , awww fun sunburn i photo  ,share experience  future impact food community connections part survey  ,i doc job hope writing  ,everyone marathons miles weekend i sub   ,morning    evening weekend   ,opportunities , sooooo 
93,0, i thank ,misses viva espanya   ,times i , goodness change title congrats achievement ,boom boom   ,   jenny ,     iplayer episodes ,trouble stethoscope stethoscope sound  , whoops 
94,0, i thank ,miss , i times ,congratulations  achievement   ,boom boom  , i noone jenny , bbc iplayer  ,trouble stethoscope stethoscope sound  ,whoops    
95,0,   i thanks , miss world moment better , i think u times ,congratulations achievement   ,boom  ,jenny  ,bbc episodes topgear iplayer episode star car get  ,stethoscope stethoscope ,whoops 
96,0,i quote     ,place , nothing ,children obesity england year obesity children year records  report ,suits ,force winds , love world ,experience preceptorship preceptee preceptor  ,sooooo preeetty 
97,0, i quote i notes ,pod place   ,nope nothing ,children people complications obesity conference presentation clinics england complications weight   , appearances suits , whirlwind ,youhe world pioneer , preceptorship package team students    , pffft i prezzie 
98,0,  quote , place  ,  nothing  ,govt target childhood obesity audit office children school action ,suits ,breeze i ,love world  ,question i preceptorship  , prefab 
99,0,jog rings  ,hugs , year helen ,mistake  ,computer information software      ,maggie  ,     country tories ,hello  mail inbox      ,  guests  
100,0,rings  , hugs  , helen thoughts  everyone war people fears ,mistake ,computer information software      ,  function movie maggie smith pig gbh series   michael dinner companion  , tories power ,inbox morning thank      ,guest editing cause passionate i intro   
101,0,ring  , hugs ,helen  fact ,mistake ,computer information software      , i maggie taste sip  ,coal sleep floors tories ,inbox morning thank      ,  info guests afternoons  
102,0,silent years time , hugs view  , hehehe d  ,yum  ,scribe  ,          morning maggie ,excuse ,stuff  , wow wow  wow 
103,0,hush nothing    name rthon     , hugs positivity  , hehe  , yum ,i something writer friends  ,          morning maggie , excuse  ,stuff   ,wow wow wow   
104,0,silence    ,                                               day love hugs  ,heheheheheh  ,    yum  , writer treat ,          morning maggie ,meteors excuse ,      stuff   ,  wow wow  
105,0,i delay  ,tuesday , round ,school nurse school  ,benefits records systems people services access records  ,   morning everybody  , i sets shelves bits  ,    show  yes fact collabro gig  , route glad end 
106,0,delay  ,tuesday existence ,round ,school nurse school  ,benefits records systems space   ,   morning everybody  , shelves ,gig town   , route awesome  
107,0,places delay  , tuesday ,draw round ,school nurse school  ,benefits records systems people services access records  ,   morning everybody  , shelf , gig  , route people honest 
108,0,report  ,cake name  ,side ,i lot volunteering let say  accessibility , yeah licensure imo ,hi maggie , flow mine morning pos ,congratulations brathwaite recipients award leadership award student mentorship   bio  ,world       
109,0, report  ,       cake ,side   ,   version volunteer data phone anyone ,license ,  hi paula ,girls morning   ,congratulations montfort  recipient leadership award implementation   bio  ,world helpless  
110,0, report , cake ,  man side ,volunteers covax  ,i licence  ,hi kathy , morning ceases ,msif professor alan dean faculty brain sciences ucl uk winner charcot award   , world 
111,0,i everyone honey suckle mad hoody  , xx ,     folks ,watch chef work ,rivers state mcpdp schedule credit units nmcn license renewal   ,  fish ,tory ,hello panel eco project eczema project need panel thanks ,thank time 
112,0, breath hood        ,   xx ,folks ,gordon solihull chef pookie cry  birmingham birmingham place  ,rivers state mcpdp schedule credit units nmcn license renewal   ,tool tentacles cassettes fishbone , way opposition tory groups vote share moves ,panel panel uncommon panel intention envy defiancesolidarity identity diversity ,    thanks time 
113,0,hood taste  , i xx ,      folks ,chef ,training schedule credit units nmcn license renewal   ,  i day fish   something , tory , panel discussion nti ,thank i time  
114,0,specialties salaries goal   ,erm , i questions  ,drive watermelon crawl ,monkeypox ncdc death cases nigeria  ,goddamn ,gem  ,  shelley icon lisa tuttle edition     ,blast favour  
115,0, salary ,erm   , i questions ,fun fruit skewers  ,deplores monkeypox nigeria ,damn i ,midget gems ,      lisa waist news ,  backside life blast 
116,0,salary ,erm  ,anyone answer , winner lots types fruit yum    ,monkeypox cases countries , damn monkey  , i stuff gems memories ,  lisa  ,  line blast 
117,0, devoid enthusiasm end game , hope time ,  cycle past way home work ,veg please   ,levels buildings shortage today everything i shame time commonwealth games ,face   morning activity snuck run north family ,wtf  ,  take care ben ,wifi works 
118,0, get part wegettogether enthusiasm ,hope time ,want home work  , vegemite shapes yes please ,dayi home work part training commonwealth games others part services venue footfall day boxing  , morning run midday , wtf ,   ben ,wifi 
119,0,            i i work enthusiasm action side need ,     hope time  ,home work beauties choice  ,veg  ,commonwealth games greenamp games  luck bodyan i      ,morning run  duck  ,wtf ,look ben circumstances  ,muuuuuuuuuum wifi 
120,0,communication  ,friday   ,questions  , gold  ,technology standards person care future business success administration management processes  ,  run ,  response  , ewwwww , i prosecco pit stops 
121,0, communication  , friday day , question commonsense , everything  gold ,technology standards person care future business success administration management processes  ,enjoy run ,response  ,eww ,stopping  
122,0,episode way communication difficulties masks  ,way friday   ,questions  , gold bab gold   ,computer use technology worth care business success     ,              run shiv  ,response ,ewww mean ,stops 
123,0,nurses congress leadership nurses pandemic complexity agility leadership leadership type ,guys facebook inbox time random ones ones school  , i way ,congratulations ,staff management software  look benefits features  ,look face everything  ,centrism sun place socialism respect ,    taxi ,wowsers  something  
124,0, i madeinalberta research nursing outcomes leadership factors nurses satisfaction health ,friend  things kids advice , i way ,congratulations ,staff management software  look benefits features  , peach times look face everything beauty boy , socialist , taxi  ,   wowsers start  crusade gal  
125,0,leadership care nurses   ,school school friends  , i way  ,congratulations ,staff management software  look benefits features  ,look lil face   , cos socialism masses socialism country ,taxi  , wowsers  hope fun 
126,0,hour room i bunch clothes wardrobe ffs , i case  , judgement ,congratulations team  ,          spent phone course  congress  credit ones way ,silhouette sunset  , centrists labour burnt ,lots news  inbox       ,somebody tonight reason occasion        
127,0,i decisions wardrobes clothes everything ,caseload  wonder i chance i ,passages jesus stones judgement thing ass  ,  congratulations team ,reason travel integrity  credit damage nation i jester  ,didnt thelma sunset  , centrists momentum , news lots ,tonight question  
128,0,im confident taste clothes , i case  , judgemental ,congratulations  team , samples credits  ,glasgow sunset   , honest money centrists ,lots news  inbox       ,question tonight  
129,0,midnight goodnight ,gif ,tattoo day age i ,  congratulations  news i difference ,reason proportion population   ,work shiv  , car plan mp ,parking fees end parking fuel prices straw looks parking charges nurses , end life care nothing option 
130,0,thing day midnight , gif   ,replies satin theyll booze tattoo   ,congratulations news , population ,shiv  , mp  ,hospital staff complaint reintroduction parking charges nurses staff month  ,trading sessions yesterday steve  choices end life care feels 
131,0,fuck midnight , guy gif ,tattoo ,congratulations news ,population form ,work shiv  ,mpv name  ,end parking fuel prices straw looks parking charges nurses ,end life care care homes drugs review synthesis bmj care     
132,0,thankyou  ,                  superstars  ,adventures today tomorrowsorry love peace ,  inspiration ,cholera deaths fg  ,fellow  , i wynderkammer house  ,saturday june royal armouries job opportunities levels book place today      ,tonight nursing info  joining 
133,0, thankyou i ,regal  ,home tomorrow weather love peace ,   inspiration  ,cholera outbreak urges state govts wash  ,kudos , i house  ,board  midlands job event place saturday tickets book place  ,tonight nursing info academia nursing  
134,0, thankyou ,superstar     ,ppl money peace wow ,inspiration  ,cholera dysentery  , buddy  , i house i ,saturday june royal armouries opportunities levels place today      ,tonight nursing info nurses academia  
135,0, i wait  ,ooooh  birthday surprises kind  ,times ,          morning claire ,economy  ,tony  , ok mike ,nursing careers jobs ticket           , x 
136,0,i wait ,birthday sudbury suffolk  ,times ,          morning claire ,economy    ,  tony  , mike ,nursing careers jobs chance job day ticket            , x  
137,0, i wait , i birthday  ,times ,          morning claire , economy change factor ,tony  , claim mike ,nursing careers jobs ticket           ,xa  
138,0,piece  , thank love ,today   plenty shenanigans home appearances cheeky   ,                                            morning claire stay weather today   ,   freezing fogamp fog river ,morning jenny ,front   ,job nursing careers jobs september employers professionals job book space    , tomorrow night     
139,0, piece  ,thank love , cheeky bastards ,     pity claire  day ,morning fog bit fog brain moment week i things life ,morning jenny  ,wtf philips stuff backside ,nursing careers jobs september london employers advice experts seminars book place         ,awake bet tomorrow  
140,0,piece     ,thank fav mine ,cheeky  ,                                         hi claire day   ,today bit apprehensionanxiety effort months effort post covid terrain course rushmoor weather conditions fog  ,afternoon jenny ,behind  ,nursing times careers returns september job insight placements preceptorships transition employment tickets      , tomorrow night yesssssss  
141,0,thanks judyappreciatedx ,  awwww ,need   ,forgottenthis poverty markers thought i rebranding ,lassa fever college eradication rats oyo markets ,0,resign connie  ,mentorship training nurses  ,tonight mins  
142,0,thanks recommendation judy   ,awwww  ,need  ,times poverty lot relation people disabilities ,nigeria partner lassa fever  ,0, love support liverpool ms connie stay  , program findings  survey report mentorship nurses program mentorship profession    ,tonights    
143,0,thank julie  ,awwww ,need wriggle   , poverty ,plateau records case lassa fever residents hygiene  ,0, yeah connie harness  ,mentor nurse room improvement mentor nurse    ,tonights    
144,0,        thanks   support ,sweetheart , pay worth , ground work garry ,nurse nigeria job click link video tomorrow rt someone tl ,0, nation  ,article curr  perspective healthcare trans woman nurse patient  subscribe   ,day time thomas  smoking things healthstick pass  
145,0,thanks support angela  ,sweetheart   ,  worthing ,everyone ground lets look ,kaduna nurses   ,0,nation  ,         talk nurses moreover gender choice issue  consent ,tobacco use insights  articles    
146,0,             thanks support  , sweetheart  ,worth anyone worth worth , ground ,shift nurse nigeria  ,0,nation extremes ,reason distinction society politics professions male professions gender teachers nurses others ,days welearn  smoking tobacco week part something   
147,0,wow chris  ,yes ways ,anyone i constellation necklace silver shops ,hi claire   ,measles rivers kills children ,0,work jackie  ,change diversity equity inclusion leaders matters longwoods feb pt   , yesterday 
148,0,work chris   ,ways  , il wear necklace ,          hi claire ,others list measles report  ,0,work jackie  ,companies time diversity inclusion back burner  ,yesterday 
149,0,                 hi chris ,ways i phil ,necklace  ,          hi claire ,imms fall vaccination rates figures improvement levels measles meningitis cases jcvi statement  ,0,work jackie  ,diversity   , yesterday    
150,0, i future practice answer , champagne place ,guy exception i wthia ,patience virtueim person crops farmer years people favouramp haybut  ,grammar punctuation shop folks ,0, jackie  ,nhs experience expertise nurses today  thanks refugees nurses home countries contributions nhs  , day tomorrow 
151,0, practice , essentials cakebiscuitschocolates bottle champagne end week , guy days ,oooohhh farm  ,comma brackets sentence text brackets ,0,  jackie ,programme nhs skills diversity experience nursing workforce  group refugee nurses trusts england today    ,day tomorrow  
152,0,practice  ,team i science champagne ,congeniality guy days ,farm     ,sentence    ,0,heart nurse jackie ,nurse nhs refugee support programme   story bbc radio merseyside week bbc sounds    ,crna tomorrow day 
153,0,send school doncaster school health plan document plan health schools schools thankyou schools value contribute document  ,john meanwhile i summer wolf run ,home sweet home  , camper style   ,response students nursing studies someone standard answers questions families care death  ,0,         morning jackie friends day activities  ,choir hoaxers points , setup barbara thanks 
154,0,  thankyou comments  health school  , wolfie way  , honey homemore  ,tent       ,nurse process death patient pay  ,0,          morning jackie friends day activities  ,event  tribute   singers choirs contributions , barbara  
155,0, yeah j schools health awareness ,wolf kind person     ,home sweet home  ,tent i  ,nursing professionals strategies care practices death review studies ,0,morning jackie weekend  enjoy activities   number  ,heartampsoul lament i cappella drawn revutsky state choir kyiv soprano soloist years touringampukraine front houseamp concert i ,        barbara 
156,0,half feel looseend ,mrm cooking straightforward cakes practice perfect ,rude  , pass  , awards editor year trade art director year bb launch year pcn cover year  fingers ,0,covid experiences epicenter      ,offering coupon code ce activity something things bit days , abi 
157,0,half let  ,duty cakes , rude ,pass ,award launch year pcn   ,0,wellbeing covid  detail  ,share coupon code someone smile today    , na 
158,0,half thing , cakes , rude ,pass  , awards media brand year business media innovation year editor year business media   cover year ceremony june  ,0,  fact revolution things order justin needs post covid ,ik bs genuine bank account rewards type code get share code mins  money ppl  , nne ego 
159,0,latrines     ,skye skid zoomies , nothing i , yeah barriers ,death rate county issues ,0,corbyn laws democracy ,support care certificate contact  team book place jenniferpooleynhsuk details sessions    ,ballon  yesterday  
160,0,latrines     ,skye   , i nothing  , shame age barriers lot barrier tragedy  ,researchers deaths year  death toll half  ,0, years corbyn voldemort corbyn asset ckinghypocrite ,support care certificate contact   team book place jenniferpooleynhsuk details sessions    , day yesterday 
161,0, cafe  ,skye ,im nothing  ,yes barriers  , story life survival rate death rate people people jab week  ,0,corbyn ,support care certificate contact  team book place jenniferpooleynhsuk details sessions   ,    day yesterday 
162,0,  star fredster  ,tho ,appreciate u ,night geoff ollie ,test vo ftp lot volume time  ,0, starmer enabler policies support members ,candour thank journey post others healing candour , i week netflix  
163,0,year fredster  , tho ,appreciate  ,morning geoff ollie , time computer systems data ,0, starmer ,tune share journey thank   ,  diay nako mailhan rko bbc news netflix  
164,0,fredster  , tho , appreciate  ,morning geoff ollie ,  statins night time lot information time ,0,anyone starmer   ,  thank journey , please series things netflix 
165,0, i love jacks ta album  , systems experts covid communities hugh spike cause lot , i spreadsheet  ,line duty ghosts ,gp practices access records death coroner  ,0,something pm people sort idiot party party work gathering   , shelf mirrors radiator cover radiator matches , step na 
166,0,jacks damn ,point covid lockdownsymptoms development  ,yeah i sense i sheet  , i grounds life ghost ,study coroners prevention death reports   lack investment staff deaths   ,0, party value presence acknowledgement mike harris yesterday example ,mirror  ,step  
167,0,union jack ,people comments covid tell friends ppe families ones  ,excel , fright night bampb i ghost bed bath ,coroners duty prevention death pfd report persons organisations power reports intelligence  study    ,0, join closing party  , front mirror ,wow step 
168,0,thanks work ,yasssssssss  ,question   ,care workers brighter future   ,wave staff prevent inhospital covid infections day infection prevention control guidance please guidance patients colleagues    ,0, minority rights principle democracy labour form minority rights group stand party conference ,lou ,step count  
