,Unnamed: 0,Unnamed: 0.1.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,clean_text,created_at,label,sentiment_index,sentiment
23597,23597,23597,news congratulation,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@meganprestonn Omg!!! This is amazing news!!!! Congratulations you’ll be amazing, omg this is amazing news congratulations you’ll be amazing,2020-10-09 16:18:01+00:00,None,1,Positive
23598,23598,23598,lord stream site cast,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@kop_girl77 Thank the lord for stream sites and tv cast 🤦🏻‍♀️, thank the lord for stream sites and tv cast ,2020-10-09 16:27:52+00:00,None,1,Positive
23599,23599,23599,time,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,True,Possibly one of the only times I’ve agreed with this human. https://t.co/TdN8EIS00r,possibly one of the only times i’ve agreed with this human ,2020-10-09 16:28:40+00:00,None,1,Positive
23600,23600,23600,mood,8,8_food_school_life_meal,food - school - life - meal - child - cream - community - poverty - machine - sense,0.9198117914415788,False,@gracemartin Oooh my mood right now, oooh my mood right now,2020-10-09 16:44:57+00:00,Life,0,None
23601,23601,23601,twocentury tradition politics response health crisis time leader,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,".@NEJM broke with a two-century tradition of avoiding politics to write: When it comes to the response to the largest public health crisis of our time, our current political leaders have demonstrated that they are dangerously incompetent. #VoteNursesValues https://t.co/i8wt5ftult", broke with a twocentury tradition of avoiding politics to write when it comes to the response to the largest public health crisis of our time our current political leaders have demonstrated that they are dangerously incompetent  ,2020-10-09 17:11:03+00:00,None,2,Negative
23602,23602,23602,nurse decontamination,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.8565544134547343,False,"Nurses say NO to #Battelle and all unsafe so-called ""decontamination"" of PPE. #ProtectNurses https://t.co/rQvY5WUNIk",nurses say no to  and all unsafe socalled decontamination of ppe  ,2020-10-09 17:32:01+00:00,None,0,None
23603,23603,23603,journal health investigates topic article leadership intervention implementation tanzania,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,American Journal of Men's Health investigates many topics relating to #menshealth. Read this article on #microfinance and #peerhealth leadership intervention implementation for men in Tanzania. @AmJMensHealth https://t.co/v57JzIrpnD,american journal of men's health investigates many topics relating to  read this article on  and  leadership intervention implementation for men in tanzania  ,2020-10-09 18:15:13+00:00,None,0,None
23604,23604,23604,lack hepatitis virus virus immunity syringe service participant show vaccination effort people drug,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.467299974364582,False,Lack of Hepatitis #hepatitis A and B Virus virus immunity among syringe services participants shows need for vaccination efforts among people who use drugs. Learn more about this in #PublicHealthReports https://t.co/QVplQCsXZo https://t.co/ncQAtDcFj3,lack of hepatitis  a and b virus virus immunity among syringe services participants shows need for vaccination efforts among people who use drugs learn more about this in   ,2020-10-09 19:00:30+00:00,Life,0,None
23605,23605,23605,threshold stimulusfrequency emission,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.1760622786296631,False,"""Estimating Hearing Thresholds From Stimulus-Frequency Otoacoustic Emissions"" is published and available to read. #hearingloss https://t.co/QSTogXAhz4",estimating hearing thresholds from stimulusfrequency otoacoustic emissions is published and available to read  ,2020-10-09 19:01:15+00:00,None,0,None
23606,23606,23606,morning rock face rock face scafell camping rain flood morning,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@xplantrunner Slipped descending this morning on wet rock. Landed flat on my face and absolutely smashed my leg on the rock face. Scafell and sunset = 👌🏼 Camping and rain = floods everywhere. Miserable morning!, slipped descending this morning on wet rock landed flat on my face and absolutely smashed my leg on the rock face scafell and sunset   camping and rain  floods everywhere miserable morning,2020-10-09 19:06:41+00:00,None,2,Negative
23607,23607,23607,impact syringe service program policy risk behavior article effect change syringe access policy syringe sharing pwid city,3,3_congratulation_luck_award_jenny,congratulation - luck - award - jenny - achievement - team - winner - congrats - hero - football,0.8483521284467496,False,The impact of syringe services program policy on risk behaviors of #PWID is not well understood. A recent article in #PublicHealthReports looked at the effect of the changes in syringe access policies on syringe sharing among PWID in 3 US cities https://t.co/rjiy3nohvF https://t.co/iYxpoHNsDM,the impact of syringe services program policy on risk behaviors of  is not well understood a recent article in  looked at the effect of the changes in syringe access policies on syringe sharing among pwid in us cities  ,2020-10-09 19:30:25+00:00,Life,1,Positive
23608,23608,23608,update home care clinician,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.707756910260044,False,SSRIs: An Update for Home Care Clinicians https://t.co/jBI87wIbUJ #RecommendedReading #Nurses #FOANed #CE https://t.co/shp727fPp3,ssris an update for home care clinicians      ,2020-10-09 19:40:04+00:00,None,1,Positive
23609,23609,23609,nurse county california strike patient singleuse management nurse concern,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.6861893419597787,False,"Nurses in San Joaquin County, California have had enough! RNs are on STRIKE for 5️⃣ days to defend their patients and address: 🚨 Unsafe staffing 🚨 RNs being forced to reuse single-use PPE 🚨 Management ignoring nurses' concerns #NurseTwitter #1u https://t.co/Qf1lfE3uM5",nurses in san joaquin county california have had enough rns are on strike for days to defend their patients and address  unsafe staffing  rns being forced to reuse singleuse ppe  management ignoring nurses concerns   ,2020-10-09 19:53:36+00:00,None,2,Negative
23610,23610,23610,styhead tarn,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@xplantrunner Styhead tarn I think it was called?, styhead tarn i think it was called,2020-10-09 20:00:40+00:00,None,0,None
23611,23611,23611,thank word,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Thank you @fofo_alrubiy for sharing these lovely words. I so needed to hear them 💕💕💕💕 https://t.co/nptyMhgfXu,thank you  for sharing these lovely words i so needed to hear them  ,2020-10-09 20:48:29+00:00,None,1,Positive
23612,23612,23612,patient heart today progress tear kindness anyone kind,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.638298997694259,False,"My patient broke my heart today. We talked, I listened, we planned, he hoped. Then he cried, just when I thought we were making progress. Then I almost cried when he explained his tears. It was receiving kindness. It had been so long since anyone had been kind. #pleasebekind https://t.co/lIA0NpzPtq",my patient broke my heart today we talked i listened we planned he hoped then he cried just when i thought we were making progress then i almost cried when he explained his tears it was receiving kindness it had been so long since anyone had been kind  ,2020-10-09 20:58:26+00:00,None,2,Negative
23613,23613,23613,study data resident characteristic people region birth,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0936668518277177,False,"This study uses @CDCgov data to compare the #epidemiology of #HIVinfection between US-born and non–US-born residents of US, as well as the characteristics of non–US-born people w/ HIV by region of birth https://t.co/Q9BIB6olJ4 https://t.co/bXWI1xARTZ",this study uses  data to compare the  of  between usborn and nonusborn residents of us as well as the characteristics of nonusborn people w hiv by region of birth  ,2020-10-09 21:00:47+00:00,None,1,Positive
23614,23614,23614,lake week work week girlfriend family photo sheep,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5214529780174272,False,Been walking in the Lakes this week with work. Basically a week of sending my girlfriend and family photos of cute sheep. https://t.co/mVmK1nKamh,been walking in the lakes this week with work basically a week of sending my girlfriend and family photos of cute sheep ,2020-10-09 21:15:46+00:00,None,1,Positive
23615,23615,23615,union trump defense production life patient vote,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.946308160412138,False,"THIS. This is why union RNs have demanded Trump fully invoke the Defense Production Act to mass produce the PPE we need to save our own lives, as we fight to save our patients. #ProtectNurses --&gt; Vote #BidenHarris2020 https://t.co/7iwnWqxW31",this this is why union rns have demanded trump fully invoke the defense production act to mass produce the ppe we need to save our own lives as we fight to save our patients  gt vote  ,2020-10-09 21:59:00+00:00,None,0,None
23616,23616,23616,paris,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@GraceBeeUK Not unpopular. HATED Paris, not unpopular hated paris,2020-10-09 22:34:51+00:00,None,2,Negative
23617,23617,23617,chance,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Any chance of including @chrissiesmiles in this?!! #ironman @Ironman_UK https://t.co/HVRSqzAume,any chance of including  in this   ,2020-10-09 22:36:15+00:00,None,0,None
23618,23618,23618,awwwww,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.1836489782889334,False,@Huge1s Awwwww, awwwww,2020-10-09 22:49:49+00:00,None,0,None
23619,23619,23619,kathleen courage dignity sofa tonight setting everything recitation,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Kathleen has such courage and dignity, it wasn’t easy sitting on that sofa tonight without her beloved Gay, in a setting so reminiscent of him Yet she still comforted us with ‘Everything is going to be alright’ we need nightly recitations please #KathleenWatkins @RTELateLateShow https://t.co/AG3ZQH4mcj",kathleen has such courage and dignity it wasn’t easy sitting on that sofa tonight without her beloved gay in a setting so reminiscent of him yet she still comforted us with everything is going to be alright we need nightly recitations please   ,2020-10-09 23:01:01+00:00,None,1,Positive
23620,23620,23620,look community service,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9951629567466856,False,A look at reshaping community #mentalhealth services during the COVID-19 pandemic. https://t.co/a6puRyxlP3,a look at reshaping community  services during the covid pandemic ,2020-10-09 23:01:09+00:00,None,0,None
23621,23621,23621,people life trump interference,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.6937986532420947,False,This is reprehensible and indefensible. How many more people will needlessly lose their lives due to the Trump administration's interference? https://t.co/jKgC8jfCLm,this is reprehensible and indefensible how many more people will needlessly lose their lives due to the trump administration's interference ,2020-10-09 23:37:01+00:00,None,2,Negative
23622,23622,23622,breakfast,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.1434631915889036,True,@TimAlle97055825 Breakfast! 🥓🧇🥞🍳, breakfast ,2020-10-10 00:37:36+00:00,Life,0,None
23623,23623,23623,throat leaf,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.4636340393932339,False,"@JimTheSGT I’ve sucked bugs down my throat, but never a leaf! 🍁🍂", i’ve sucked bugs down my throat but never a leaf ,2020-10-10 00:38:46+00:00,None,2,Negative
23624,23624,23624,congratulation news,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.7764273526638338,False,@CathyWinfield @UHDBTrust Congratulations that brilliant news,  congratulations that brilliant news,2020-10-10 04:19:12+00:00,None,1,Positive
23625,23625,23625,covid health cost,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,1.0,False,Covid: What is the mental health cost to the young? https://t.co/t6W8lJcR9n,covid what is the mental health cost to the young ,2020-10-10 06:37:51+00:00,Life,0,None
23626,23626,23626,introduction debate problem health,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0606271285815599,False,A must-read critical introduction to key debates about how problems of mental health are understood #WorldMentalHealthDay https://t.co/NGNtPcqD3F https://t.co/yvdq9G3uKO,a mustread critical introduction to key debates about how problems of mental health are understood   ,2020-10-10 07:30:09+00:00,None,2,Negative
23627,23627,23627,mummy luke,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Mummy and Luke being creative 💖💖 https://t.co/QKDHxkPi5f,mummy and luke being creative  ,2020-10-10 08:11:44+00:00,None,1,Positive
23628,23628,23628,creation mummy,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.6668142374157584,False,More creations by mummy and Luke 💖💖 https://t.co/2x9KQKbDjj,more creations by mummy and luke  ,2020-10-10 08:22:13+00:00,None,1,Positive
23629,23629,23629,nobody invite today,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Nobody working invites today https://t.co/gRwLjWJ5po,nobody working invites today ,2020-10-10 08:38:09+00:00,None,0,None
23630,23630,23630,ovvies autocock,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5573044662921025,False,*ovvies Damn autocock,ovvies damn autocock,2020-10-10 08:39:09+00:00,None,2,Negative
23631,23631,23631,morning jenny rain,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@jennifersterri1 Morning Jenny. So sick of this rain😞😞😂😂, morning jenny so sick of this rain,2020-10-10 08:49:37+00:00,None,0,None
23632,23632,23632,copy prize sudley world,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@rickjleach I was given a copy of that as a prize in sudley. I wasn't impressed as I had asked for war of the worlds, i was given a copy of that as a prize in sudley i wasn't impressed as i had asked for war of the worlds,2020-10-10 08:52:46+00:00,None,1,Positive
23633,23633,23633,tweet health nursing speciality nursing nurse colleague field patient priority,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9854837557617996,False,I love this tweet. Mental health nursing is a speciality. It’s not “fluffy nursing” as a general nurse colleague once described it. We are skilled and knowledgeable in our field and our patients are always our main priority . #respect #MHNursing https://t.co/eQ7XWePhPa,i love this tweet mental health nursing is a speciality it’s not fluffy nursing as a general nurse colleague once described it we are skilled and knowledgeable in our field and our patients are always our main priority    ,2020-10-10 09:03:52+00:00,None,1,Positive
23634,23634,23634,lesson communication youngster life skill,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,What a brilliant lesson in communication this is. Great these youngsters are learning these life skills at a young age. https://t.co/gYBJk4CBqT,what a brilliant lesson in communication this is great these youngsters are learning these life skills at a young age ,2020-10-10 09:07:43+00:00,None,1,Positive
23635,23635,23635,year,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.7945274495233309,False,Posted a year ago. Still applies. Maybe now more than ever.... https://t.co/4hXaGPH75H,posted a year ago still applies maybe now more than ever ,2020-10-10 09:08:52+00:00,Life,0,None
23636,23636,23636,protest self price,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@rickjleach Have always refused to read it in protest. My 10yr old self was outraged. Mrs Price will never be forgiven 🤣, have always refused to read it in protest my old self was outraged mrs price will never be forgiven ,2020-10-10 09:09:45+00:00,None,2,Negative
23637,23637,23637,choice stage deception,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,1.0,False,"@rickjleach She never told me beforehand that she thought my choice was ""unsuitable"" so it was only when I got off the stage I realised her deception https://t.co/8eOcUracwK", she never told me beforehand that she thought my choice was unsuitable so it was only when i got off the stage i realised her deception ,2020-10-10 09:12:01+00:00,Life,0,None
23638,23638,23638,david sentiment,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.3496261658303612,False,@mancunianmedic David I know exactly where you are coming from with that sentiment. 😂😂, david i know exactly where you are coming from with that sentiment ,2020-10-10 09:16:59+00:00,None,0,None
23639,23639,23639,thrombosishemostasis paper covid perspective,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Clinical and Applied Thrombosis/Hemostasis' newly published paper, ""#Anticoagulation in COVID-19: DDI Perspective"" is available to read. https://t.co/pJ1mz2Fcz1",clinical and applied thrombosishemostasis newly published paper  in covid ddi perspective is available to read ,2020-10-10 09:30:15+00:00,None,0,None
23640,23640,23640,luke adam picture,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,1.0,False,From Luke and Adam 💖💖💖 the picture is me apparently 🥰🥰 https://t.co/X4A324Jdxt,from luke and adam  the picture is me apparently  ,2020-10-10 10:07:03+00:00,Life,0,None
23641,23641,23641,donation nurse need please thanks,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,OUT NOW doing 10K my way on my own! All donations gratefully received! ⁦@ASPHFT⁩ I will be doing 10K to support Nurses in need for @CavellTrust. Please #sponsorme on @JustGiving RT. Thanks! https://t.co/EaRkqv5YtJ,out now doing my way on my own all donations gratefully received  i will be doing to support nurses in need for  please  on  rt thanks ,2020-10-10 10:56:41+00:00,Life,1,Positive
23642,23642,23642,monitor alarm pitch ventilator nurse dance school read nursing grad practice,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.0362289196062049,False,"""It’s 2:30 am, monitor alarms ring at various pitches, the hum of the ventilator drones rhythmically nurses perform their synchronized, yet frenetic dance b/w pts. I was fresh out of nursing school..."" READ: Are New Nursing Grads Prepared for Practice? https://t.co/B9X7KYdCIK https://t.co/j6otfwvEKL",its am monitor alarms ring at various pitches the hum of the ventilator drones rhythmically nurses perform their synchronized yet frenetic dance bw pts i was fresh out of nursing school read are new nursing grads prepared for practice  ,2020-10-10 11:09:24+00:00,Life,2,Negative
23643,23643,23643,restaurant march today household mixing plan family zoom takeaway,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"I haven't been to a restaurant since March and had planned to go today, but our household mixing ban has scuppered plans. Family zoom and takeaway it is then",i haven't been to a restaurant since march and had planned to go today but our household mixing ban has scuppered plans family zoom and takeaway it is then,2020-10-10 12:04:33+00:00,None,0,None
23644,23644,23644,please area scenery biking crowd mask adherence distancing policy,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.319545615580018,False,#Cyclists coming to #Dundas: please #socialdistance! It is absolutely disgusting you drive from outside our little area to enjoy our beautiful scenery and great biking trails only to bring crowds with no masks and no adherence to social distancing policies!!! #StayAway #COVID19, coming to  please  it is absolutely disgusting you drive from outside our little area to enjoy our beautiful scenery and great biking trails only to bring crowds with no masks and no adherence to social distancing policies  ,2020-10-10 12:08:07+00:00,None,1,Positive
23645,23645,23645,thank,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,True,@JackieSmith_nmc @ASPHFT @CavellTrust @JustGiving Thank you 💖,    thank you ,2020-10-10 12:14:58+00:00,None,1,Positive
23646,23646,23646,thank,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,True,@4AdsthePoet @ASPHFT @CavellTrust @JustGiving Thank you 💖,    thank you ,2020-10-10 12:15:06+00:00,None,1,Positive
23647,23647,23647,month rosie time professional need part today achilles,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9946000844226028,False,"Had been due to run 10K last month for @CavellTrust Instead I went out did 10K my way with Rosie 🐶 Still time to sponsor me to help those healthcare professionals in need 💖 Followed part @Homewoodparkrun Homewoodparkrun no mud today, Achilles hill looking good!! 💖💖💖 https://t.co/QUApjSYlZr",had been due to run last month for  instead i went out did my way with rosie  still time to sponsor me to help those healthcare professionals in need  followed part  homewoodparkrun no mud today achilles hill looking good  ,2020-10-10 12:21:24+00:00,None,1,Positive
23648,23648,23648,time,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,True,@AimeeWild2 hope you have a lovely time, hope you have a lovely time,2020-10-10 12:21:53+00:00,None,1,Positive
23649,23649,23649,post hater troll please block button thanks,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.0026083790098758,False,"@MikeMuscutt I have very much missed your posts, Mike. I’m sorry the haters and trolls have been so nasty. Please don’t leave us. So what I do and push that block button. Thanks so much for what you do and always be safe. I hope you stay with us. 🙏💙🙏💙🙏", i have very much missed your posts mike i’m sorry the haters and trolls have been so nasty please don’t leave us so what i do and push that block button thanks so much for what you do and always be safe i hope you stay with us ,2020-10-10 12:45:19+00:00,Life,0,None
23650,23650,23650,people,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9305437155150832,True,@TimAlle97055825 I can’t choose. I want to meet all of the people I chat with! 😃, i can’t choose i want to meet all of the people i chat with ,2020-10-10 12:48:11+00:00,None,0,None
