,0,1,2,3,4,5,6,7,8,9
33,hope survey,0,lmaooooooo,week,participant walesexciting,runner fundraising screen,congratulation photo,covid booster dose covid,people people boob,0
34,hope case,0,lmaooooo,week,everyone welsh,september windsor money donation difference,picture congratulation,outcome result covid register booster,people others,0
35,phew hope,0,lmaooooooo,week,welsh germ,place race touch charity place,congratulation bower photo,outcome result covid register dose dose booster,people people dose,0
36,frumos spus,0,thing american,bedtime,compatibility fusion site survey,goodbye lady sarah,gayagaya ground fairness governance,lauren world,people people everything thing,0
37,frumos,0,thing chancellor,bedtime,compatibility fusion site survey,sarah,fairness essay train thought tomorrow,fact story lauren,people thing,0
38,frumoase flori,0,thing thing,bedtime,weactivechallenge link leaderboard weactivechallenge wedidit board order medal part instruction gtgtgt,sarah weather,fairness,lauren cameron,person thing,0
39,hello monday,0,time time,week check mile tuesday night mate,cloud,claire,thank love,meeting proof residency school board city council meeting,meet,0
40,tuesday everyone,0,time tootie,mile others week moment week motivation support,view cloud,claire,thank love,residency program,meet,0
41,tuesday scrub everyone today,0,time time,mile week friend time week,cloud,claire,thank friend love,residency program medium platform applicant,nice meet,0
42,saturday,0,lmao,emoji roll,bastard itselfamp owner,rouen,thanks coffee morning,autumn winter others covid vaccine,distancing curve question,0
43,saturday,0,lmao lady,surprise emoji explosion stick,owner,duck today,thank morning,autumn site item service covid vaccine,foot distancing modeling,0
44,yeah saturday,0,lmao,dpat emoji,weapon store owner,duck,thanks morning need,essential others covid winter vaccine,distancing selfisolation rule life,0
45,thursday,0,everything nothing something,trouble stethoscope stethoscope sound,sofware care people,time today,beautiful photo,announces variant,year profession honor nurse home mask spread,0
46,thursday,0,nothing anything world book nothing,pulse stethoscope bandage teddy chart,care thing life,time today,thanks stitch,variation request release,care mask patient people,0
47,thursday everyone,0,thing triumph evil nothing burke,stethoscope stethoscope,people care,today time time need patience sure,beautiful photo,variant,town lunch shoe woman mask none mask stop nurse view oops,0
48,quality,0,goddamn,nurse specialist week theme rise,thanks customer fusion product contribution factor success,multiple time,brilliant,adult country booster vaccine protection omicron variant friend family,whatwho today,0
49,quality,0,damnit,nursing week year mark assignment,want fusion cause raise money contribution impact advance support,multi,brilliant,adult country booster vaccine protection omicron variant friend family,whatwho today,0
50,quality,0,damn,pamela panel discussion nurse week,costeffective coherent business industry sector rise challenge speak fusion,multiple,brilliant,adult country booster vaccine protection omicron variant friend family,whatwho today,0
51,part work experience morning,0,time question,giveaway,congratulation news,waitrose deliver,grey,alarm measles incidence,hmmmmm history,0
52,focus workplace need people conclusion morning session,0,time charm glitch update,giveaway,congrats news,delivery,plain grey dull hereagain,state officer fever meningitis measles world health organization,magnificent history,0
53,morning home work teefs,0,time question,giveaway,congratulation news,yooo delivery thank,grey today,consultant measles application world health organization,history,0
54,morning hope,0,stuff,time friend,touch,ideal lunch,picture,game changer vaccine island ireland sister joanna sloan vaccine roll belfast royal victoria,cause effect,0
55,morning hope,0,stuff,time matey,touch,lunch,picture,webinars nurse ireland vaccination nurse immunisation part practice,dialogue nomber effect prouerbes spite none world goth,0
56,morning hope,0,stuff,time buddy,thing touch farm,lunch,picture,webinars nurse ireland vaccination nurse immunisation part practice,effect,0
57,employment scotland,0,angel,morning mile,shelf today round rame head water front polhawn bliss,thank today,vision,0,mask wearer bridge replacement dentist woman mask covid message service,0
58,scotland,0,heart angel,morning mile,shelf year,thank today,vision,0,covid patient mask,0
59,scotland,0,angel window sketty lesbian,morning mile canal morning,shelf,thank today,lying plain sight,0,mask healthcare covid,0
60,nice,0,thankyou excuse,thank week ready weekend rest,half escape route inspection,night staff recipient meal,morning everybody,0,chinchilla,0
61,nice,0,excuse,thank week weekend,software inspection report advantage,gesture staff food load goody thank,morning everybody,0,chinelo,0
62,nice,0,excuse,pleasure week comment,inspection practice access,staff room honour wilma colleague covid cook lunch facility,morning everybody,0,chinelo,0
63,kath,0,time someone question time someone question time,thankyou love week,headache nothing handle,july,thank time,0,oooh,0
64,kath,0,question time,thank tonic week,headache solution,july,thank time,0,oooh,0
65,kath,0,time idea question time,thank week,headache,july,thank time,0,oooh,0
66,time guess weekend,0,place time,parkrun,brilliant enjoy mountain,cindy year baby unit thanks hour service,time picture,0,retard,0
67,time weekend,0,thing time place thing move,parkruns achievement,mountain name loretta,fund unit baby memory thanks staff nursing staff,time photo,0,mend,0
68,dull friday weekend distance everyone,0,time ambiguity theyve place,parkrun,mountain today spite emotionsthoughts,baby family staff unit,time photo christopher plummer,0,sorry mend love,0
69,aurora koepp,0,time,mileage shiv,care team design,graduate,inbox morning thank,0,facetoface support prevention treatment,0
70,nothing sparkle,0,time,amount mile year,care education team,graduate,inbox morning thank,0,practice facetoface reception staff abuse intimidation patient,0
71,sure glitter sparkle,0,time,need need speed mile,care team,graduate,inbox,0,facetoface support prevention treatment,0
72,wednesday,0,issue time,anyone idea student placement thanks,year care sector goal efficient user management software administration,seaside,photo winter part article family something moment something credit tphotos insta,0,fine everyone exemption fine,0
73,wednesday,0,issue time,student instructor placement space help preceptor program capacity admission number consideration,year care sector goal efficient user management software administration,ohhh idea seaside production thou scene thou,family today stool visitor peace time sarah coffee photo,0,icymi request exemption possession statement,0
74,wednesday thanks,0,issue time,placement student,care management software person care care management software care sector,seaside,photo family,0,comment enforceability restriction obligation regardless everyone case exemption,0
75,memory reality place thanks bronchiolitis community,0,halloween,work marcelle,jersey care group nursing home barnoldswick welsh home caresolve healthcare care management software platform,beach,photographer,0,0,0
76,question treatment moderate bronchiolitis bronchiolitis,0,halloweendirector,marcelle,jersey care group nursing home barnoldswick welsh home caresolve healthcare care management software platform,beach,photography,0,0,0
77,tomorrow forget tweet tomorrow bronchiolitis,0,halloween,marcelle,caresolve healthcare care management software platform,memory beach,move photo,0,0,0
78,squirrel dryer,0,anybody dracula,course placement team tonight,staff management software look benefit feature,morning claire,mazel,0,0,0
79,squirrel,0,historicalhorror mashup please sherlock holmes room dracula issue drac holmes wife,anything update situation placement team course track,staff management software look benefit feature,morning claire,mazel skritches laurie,0,0,0
80,squirrel,0,dracula,placement team placement today tomorrow update progress tonight,staff management software look benefit feature,morning claire stay weather today,mazel someday,0,0,0
81,life life carol wyer,0,woot woot,0,shelf product software package company,part school time recess lunch sweetheart,cause,0,0,0
82,carol,0,woop woop,0,shelf product software package company,lunchtime walrus,cause cute,0,0,0
83,struggle carol,0,woot woot,0,productgdp definition,lunchtime,cause,0,0,0
84,tuesday,0,0,0,company,louise look,adore story colin,0,0,0
85,tuesday,0,0,0,company,louise credit team,colin ferrell penguin shook,0,0,0
86,tuesday,0,0,0,company luck,hugo louise,colin stag,0,0,0
87,hope today,0,0,0,nursing process,belin,picture time,0,0,0
88,hope today,0,0,0,nurse plan thing patient nursing process,wetin,photo time,0,0,0
89,hope asap,0,0,0,care nurse nursing process nursing process,comin,hattie photo memory time,0,0,0
90,mini,0,0,0,care home owner overview occupancy pipeline staffing compliance property group contact salescom,lunch break today,buddy,0,0,0
91,mini,0,0,0,care home owner overview occupancy pipeline staffing compliance property group location device analyse moment task management contact fusion,hope worker lunch break,buddy,0,0,0
92,mini battenberg,0,0,0,care home owner overview occupancy pipeline staffing compliance property group contact salescom,thing home lunch break,buddy,0,0,0
93,cheekier garden table table atleast side butter,0,0,0,enhance compliance paper process staff management data system business timesheets matrix absence management,beach walk,ollie something future love,0,0,0
94,floor walk butter melt,0,0,0,staff management enhance compliance paper process staff management data system business timesheets matrix absence management,walk beach,anything anybody ollie ollie others amazing,0,0,0
95,part jacket potato butter,0,0,0,staff management enhance compliance paper process staff management data system business timesheets matrix absence management,beach walk,morning geoff ollie,0,0,0
96,shaun,0,0,0,process work,lush walk lunch,kinsa,0,0,0
97,shaun,0,0,0,process,lunchtime walk,hala cute keka,0,0,0
98,shaun,0,0,0,process,ground view lunchtime walk,hala ganahan,0,0,0
99,thing morning,0,0,0,fusion tablet phone,party summer fund nursing health charity,0,0,0,0
100,shit thing thing something dont hate everything morning,0,0,0,fusion tablet phone,reminder garden scheme lecture place tuesday week book ticket person support nursing charity,0,0,0,0
101,book morning thing,0,0,0,fusion tablet phone access information,join host garden summer togethers fund nursing health charity,0,0,0,0
102,thanks hope youre,0,0,0,block,status epilepticus complication epilepsy seizure knowledge understanding treatment community article disability practice,0,0,0,0
103,thanks hope,0,0,0,block list,daughter drug epilepsy palsy hydrocephalus disability,0,0,0,0
104,thanks hope,0,0,0,ignore block work people,shortlist bldy parent blogger work touch advocacy graduate daughter izzy need epilepsy disability voting today sarah,0,0,0,0
105,morning dear,0,0,0,reason place agency disposable cause staff feel system,ethie share experience charity trustee support community soho brent,0,0,0,0
106,morning dear,0,0,0,role lack staff headache system,charity trustee,0,0,0,0
107,morning dearest annie,0,0,0,role lack staff headache system,founder trustee jeannie wall team,0,0,0,0
108,morning maggie,0,0,0,enhance compliance paper process staff management data system,thanks gratitude unit,0,0,0,0
109,morning maggie thank,0,0,0,enhance compliance paper process staff management data system,thank everyone unit,0,0,0,0
110,morning maggie,0,0,0,staff management software compliance paper process staff management data,thanks unit,0,0,0,0
111,hope weekend stay,0,0,0,paper record business time speak setup service information,unit,0,0,0,0
112,hope everyone weekend,0,0,0,technology record epstein island affaire bill system,absolute unit,0,0,0,0
113,hope weekend stay,0,0,0,paper record business time speak setup service information,unit,0,0,0,0
114,lord,0,0,0,thinking program,people equipment sense self righteousness,0,0,0,0
115,lord,0,0,0,product mind software simpler,equipment effort space army chap,0,0,0,0
116,lord,0,0,0,product mind software simpler,charity equipment unit,0,0,0,0
117,hello maggie,0,0,0,care manager fusion ecare solution technology delivers care plan time monitoring resident care administration task fusion,duvet duvet,0,0,0,0
118,function movie maggie smith series michael dinner companion,0,0,0,icymiheres blog,shhhhhhhhhhh duvet,0,0,0,0
119,mind reader maggie,0,0,0,icymi blog,rain window duvet bliss,0,0,0,0
120,morning dionne time weekend,0,0,0,care plan care record place careplans date touch button action book demo,food connection community cook share month easy cook meal snack anything share friend,0,0,0,0
121,weekend patting mute morning,0,0,0,care plan care record place careplans date touch button,cook share month cook meal snack anything share friend today register,0,0,0,0
122,morning weekend super morning coast,0,0,0,care plan care record place careplans date touch button action book demo,cook share month cook meal snack anything share friend today register,0,0,0,0
123,morning,0,0,0,care record place credential time information today,ioat contribute fund,0,0,0,0
124,morning,0,0,0,care record place credential time information today,fund fund,0,0,0,0
125,morning,0,0,0,care record place credential time information today,trust fund,0,0,0,0
126,ciara hope,0,0,0,recover hour time thing service user fusion ecare solution salescom,benji,0,0,0,0
127,morning guac,0,0,0,cost fusion ecare solution time attendance something time attendance software thousand office,benji book,0,0,0,0
128,ciara lawrence,0,0,0,cost fusion ecare solution time attendance something time attendance software thousand office,benji,0,0,0,0
129,morning today,0,0,0,staff resident data entry speak fusion,0,0,0,0,0
130,morning today,0,0,0,staff resident data entry speak fusion,0,0,0,0,0
131,aline metaraminol yesterday nibp,0,0,0,staff resident data entry speak fusion,0,0,0,0,0
132,morning hope terrific tuesday,0,0,0,care plan care hour care plan assessment salescom,0,0,0,0,0
133,morning hope wednesday,0,0,0,care hour care plan assessment care inspection time fusion salescom,0,0,0,0,0
134,morning hope terrific tuesday,0,0,0,care hour care plan assessment care inspection time fusion salescom,0,0,0,0,0
135,deal wheel,0,0,0,fusion software payroll bureau partnership fusion paye allows business owner number hour book demo email salescom,0,0,0,0,0
136,wheel,0,0,0,motivation monday message fusion gdpr tool workforce employer contact,0,0,0,0,0
137,round circle wheel wheel wheel,0,0,0,fusion software payroll bureau wheel partnership fusion paye allows business owner number hour book demo email salescom,0,0,0,0,0
138,family traffic,0,0,0,tool provider playing field group fusion team salescom,0,0,0,0,0
139,distance,0,0,0,software glitch software hinder support provider change fusion email salescom,0,0,0,0,0
140,distance relationship,0,0,0,staff colleague communication service medium fusion email salescom,0,0,0,0,0
141,whoa time,0,0,0,staff management software compliance headache kind pressure paper process staff management data painless transition team,0,0,0,0,0
142,whoah,0,0,0,staff management software compliance headache kind pressure,0,0,0,0,0
143,whoa,0,0,0,staff management software fusion compliance headache kind pressure,0,0,0,0,0
144,thank weekend,0,0,0,innovation pressure demand care sector manage quality care compliance budget fusion infocom,0,0,0,0,0
145,thank weekend,0,0,0,innovation pressure demand care sector manage quality care compliance budget fusion infocom,0,0,0,0,0
146,thanks home weekend chomping,0,0,0,innovation pressure demand care sector quality care compliance budget business,0,0,0,0,0
147,scotland council education provider period product employer suit period product nurse,0,0,0,product market fusion supply system need solution access logins portal system today,0,0,0,0,0
148,interest england post title sister agenda change scotland charge charge continue light action male nursing,0,0,0,product market fusion supply system need solution access logins portal system today,0,0,0,0,0
149,nursing officer scotland poverty nursing opportunity,0,0,0,product market fusion supply system need solution access logins portal system today,0,0,0,0,0
150,week scotland,0,0,0,book demo business,0,0,0,0,0
151,prayer glasgow victim home town,0,0,0,book demo business,0,0,0,0,0
152,scotland monday,0,0,0,book demo business,0,0,0,0,0
153,bonnie scotland monday week,0,0,0,care record place care plan date touch button create person care plan compliance reassess time data need,0,0,0,0,0
154,bonnie scotland today week tomorrow family week,0,0,0,cloud care management software staff management resident care plan touch button,0,0,0,0,0
155,bonnie scotland wednesdayhope,0,0,0,cloud care management software staff management resident care plan touch button,0,0,0,0,0
156,book girl bella,0,0,0,track absence supervision appraisal fusion staff management system secure format accountability consistency staff management data,0,0,0,0,0
157,hoya bella mother people cutting corner,0,0,0,track absence supervision appraisal fusion staff management system secure format accountability consistency staff management data,0,0,0,0,0
158,parent bella slop today,0,0,0,track absence supervision appraisal fusion staff management system secure format accountability consistency staff management data,0,0,0,0,0
159,generation boomer freddie excuse lack identity,0,0,0,organise everything business place cloud today,0,0,0,0,0
160,distancing mean freddie twin chance,0,0,0,organise everything business place cloud today,0,0,0,0,0
161,freddie,0,0,0,organise everything business place cloud today,0,0,0,0,0
162,morning merv,0,0,0,embrace fusion technology access care plan time need receptiion desk,0,0,0,0,0
163,morning merv,0,0,0,embrace fusion technology access care plan time need receptiion desk,0,0,0,0,0
164,morning merv money,0,0,0,embrace fusion technology access care plan time need receptiion desk,0,0,0,0,0
165,morning nicki hope today,0,0,0,care management software package fusion,0,0,0,0,0
166,morning nicki hope,0,0,0,care compliance benefit fusion care management software book demo today action,0,0,0,0,0
167,morning nicki hope today,0,0,0,care compliance benefit fusion care management software book demo today action,0,0,0,0,0
168,morning carol shabby,0,0,0,care record place careplans date touch button create person careplans compliance reassess time data need,0,0,0,0,0
169,morning carol time,0,0,0,care record place careplans date touch button create person careplans compliance reassess time data need,0,0,0,0,0
170,morning carol kpis,0,0,0,care record place careplans date touch button create person careplans compliance reassess time data need,0,0,0,0,0
171,bonnie scotland,0,0,0,data call fusion,0,0,0,0,0
172,bonnie scotland,0,0,0,fusion information fusion cloud record,0,0,0,0,0
173,bonnie scotland,0,0,0,data call fusion,0,0,0,0,0
174,morning emil,0,0,0,fusion care plan family portal resident access family health professional access level fusion information,0,0,0,0,0
175,morning emil,0,0,0,fusion care plan family portal resident access family health professional access level fusion information,0,0,0,0,0
176,morning emil,0,0,0,fusion family communication family friend fusion technology access care plan time,0,0,0,0,0
177,morning shaun,0,0,0,fusion faceclock recognition unit covid need level infection control staff resident shift change,0,0,0,0,0
178,morning shaun,0,0,0,fusion faceclock recognition unit covid need level infection control staff resident shift change,0,0,0,0,0
179,morning shaun snore morning,0,0,0,covid risk platform recognition detects temperature face alert peace mind call fusion,0,0,0,0,0
180,morning andrew,0,0,0,paper record setup service information,0,0,0,0,0
181,morning andrew,0,0,0,paper record setup service information,0,0,0,0,0
182,morning merv ernie rain greenhouse,0,0,0,paper record setup service information,0,0,0,0,0
183,0,0,0,0,innovation pressure demand care sector quality care,0,0,0,0,0
184,0,0,0,0,innovation pressure demand care sector quality care,0,0,0,0,0
185,0,0,0,0,innovation pressure demand care sector,0,0,0,0,0
