,text,edit_history_tweet_ids,author_id,id,followers_count,following_count,tweet_count,listed_count
14,Yooo patient today was so calm and very active…. Perfect moving Saturday.. #Nursing #Nursethings 👨🏻‍⚕️,['1495275820755025923'],1148129984273252352,1495275820755025923,329,620,5844,1
15,@ericsistability @WE_THE_BOYZ #NurseThings ate hahahahahahaha,['1488141136967323648'],1461195300,1488141136967323648,13184,371,135693,136
16,Petition · SAFE STAFFING FOR PATIENTS AND HEALTHCARE WORKERS · https://t.co/im92HFlsSU. #nurses #nursethings #helpus  https://t.co/G1En3nhdPU,['1488063990940983298'],24316553,1488063990940983298,95,395,1034,1
18,"Do you just ever get a random word stuck in your head? Well I have the word Enoxaparin stuck in my head. That’s the generic for the blood thinner lovenox. I read that word this morning at work and it is stuck in my head. 
#NurseTwitter #nursethings #medications #randomthings",['1481450455439970309'],3287930258,1481450455439970309,72,78,1534,1
19,"I used a surgical mask to put my hair up in a pony tail today

 #NurseThings lol https://t.co/muS7rzTZD6",['1475344659178217474'],1017126443489419270,1475344659178217474,2077,206,9808,4
20,@macaroni_ball im crying shin this is sooo funny to me #nursethings,['1473498951579959296'],3267400639,1473498951579959296,3738,405,79024,8
21,"Definitely got into the right profession. The staff and patients on my #punc placement keep giving me food, last week hotel chocolate from a patient and Maltesers this week from the nurse I’m with 😂 #nursethings",['1471887292604338178'],1310944204546363392,1471887292604338178,100,165,214,0
22,I totally survived this days work menace thanks to BTS music and my ever trusty airpods in Shooky case. 👩🏻‍⚕️ #bts #nursethings #bt21,['1471577125278859269'],1465080236886966273,1471577125278859269,97,392,2251,1
23,@loveinscrubs Lmao #nursethings every time I find a good one on my husband I palpate it and he freaks out 😂🤣🤷🏻‍♀️,['1469350399849152517'],1266996199,1469350399849152517,243,153,111838,25
24,"Is the obituary’s page your most visited webpage or are you normal? 

#nursethings",['1463903907353088015'],254776230,1463903907353088015,411,864,16349,6
26,"Sometimes I get to use fun toys at work 😁 
#nursethings
#NurseLife 
#veinfinder https://t.co/ZBQLsfBGHh",['1461594974194061319'],1338031885,1461594974194061319,43,457,439,0
27,"...poor baby Jun😢 {on a side note, great veins let me tap that🤣}

#nursethings 🤣
#linyanjun
#evanlin
#FallInLove https://t.co/3bfqxprPEr",['1459074293053243422'],34305026,1459074293053243422,883,1934,13477,4
28,"Wie ich mal irritiert beim Geschenk verpacken feststellte, daß ich keine Restpflasterrolle mehr besitze und tatsächlich auf TESA zurückgreifen musste.
#nursethings
(und 'n' ist einfach schöner als 'm') https://t.co/o8Ab4NXbQB",['1456564428787302428'],2201191346,1456564428787302428,520,1193,30376,26
29,Not only did I have a pt piss on me but I also had another one projectile vomit as well #nursethings,['1455913766881685504'],467096601,1455913766881685504,474,424,23680,4
30,Promotes skin to skin contact and early bonding #nursethings https://t.co/V3krRC4nYI,['1109356990059307010'],467096601,1109356990059307010,474,424,23680,4
31,"Me removing a foley from my patient and discharging them to a SNF and thinking ""I hope she ended up peeing"" 🤣 #nursethings",['1451950942325182474'],115476151,1451950942325182474,179,282,24876,8
32,"@gabethisis Beh naloka na ako sa dami ng ballpen ko. Pag punta ako school supplies feel ko wala akong ballpen magbuy ako marami tas pag uwi ko bahay, jusqlerd, dami ko pa ballpen HAHAHAHAHA #NurseThings ba ito?",['1445304805262454794'],540280414,1445304805262454794,575,743,69674,12
33,"So…. We couldn’t roll my patient b/c of her condition. So in order to clean/cath her we put her up spread eagle like you’d clean a baby. The look on that residents face when he walked in. Fuckin worth it 😂
#NurseThings #EdMed",['1437647218274668544'],1120188601554358274,1437647218274668544,26,68,1217,0
34,Iykyk lmao #nursethings https://t.co/xfQ4Ah9X8G,['1435292578237145088'],1616765467,1435292578237145088,68,49,2156,0
35,"On a scale of 1-10, how accurate is this list? 😂 Is there anything else you would add? #NurseThings #MASLife https://t.co/uAThPobXCK",['1433791933193900056'],190650266,1433791933193900056,564,513,5507,18
36,"Shout out to our work besties! 👋🏼🥳
#maslife #workbestie #nursethings https://t.co/XzAv0obiDs",['1353402184889729024'],190650266,1353402184889729024,564,513,5507,18
37,"If you’re a nurse &amp; you don’t sing “Percocet, molly, Percocet” every time you pull a perc from the Pyxis , ur weird &amp; we can’t be friends. #nursethings",['1427499014967242757'],3193695300,1427499014967242757,488,706,2161,0
38,When you hit a valve while threading the catheter and then you float that sucker in &gt;&gt;&gt;&gt; #NurseThings,['1425813719943192578'],236363191,1425813719943192578,468,724,12388,3
39,Crippling anxiety when leaving work and for the next 24 hours after because I’m so horrified I forgot to do/chart something… #nursethings,['1421649028186578948'],607486301,1421649028186578948,460,306,18916,1
40,"Coffee, scrubs and rubber gloves 😉 https://t.co/ykc6NJSh8K

#RN #NurseThings #FunnyNurse https://t.co/zdmadAPPMc",['1421221595863994370'],485013829,1421221595863994370,902,152,2514,405
41,"When you are good at what you do and your family knows it. Find your next opportunity today at  https://t.co/HPrvU3bm83

#RN #TravelNurse #NursingJobs #FunnyNurse #NurseThings https://t.co/DIoz8RIt52",['1415793344203079682'],485013829,1415793344203079682,902,152,2514,405
42,@myaphem Yes recommended amount for adults: No more than 4 grams per day. #nursethings lmao,['1420190190648369153'],328148686,1420190190648369153,558,478,1417,2
43,Chicken wizard is joining me on night shift #nursethings @Pez_Bro https://t.co/SJOBCr9f2l,['1419661179157237767'],241385331,1419661179157237767,1256,152,94397,7
44,just a normal convo with @andreagale_03 and then all of a sudden you hear “someone HELP ME!!” 🤣 #nursethings,['1419508017398222849'],309384498,1419508017398222849,914,311,11954,0
45,Whenever I see someone with muscular juicy veins in their arms I just want to poke them with an IV lol #nursethings,['1416651533756911617'],525803810,1416651533756911617,636,287,20890,4
46,In the past two days I have started about 14 IVs and I got every single one of them😝😍 #nursethings https://t.co/9Qiho2swDg,['1413654646837727233'],2297351490,1413654646837727233,389,547,2417,1
47,when the work sneakers stink of pee… #nursethings 👟,['1411100651418013700'],919942842,1411100651418013700,322,760,4190,20
48,"Summer plans be like…. 

#NCLEX #nursethings #nurse https://t.co/1c0VePc7df",['1409536538577281025'],100042714,1409536538577281025,4792,526,162067,78
49,"Day shift Nurses creating drinks. 

Blue razz, green apple..... red bull, pre workout..... vodka, tequila and a splash of lime 

We will call it.... a boomerang 🤣🤣🤣

#nursethings #dayshift",['1405954143601278985'],599048031,1405954143601278985,240,388,3171,0
50,Nothing like a code blue at 0700 on my birthday. 🥳 #NurseThings,['1405535485351534602'],27710537,1405535485351534602,308,388,25570,1
51,"Notice me, too. Happy Friday!!!  #NurseThings https://t.co/xKWGapu83G",['1339933445527461894'],27710537,1339933445527461894,308,388,25570,1
52,I thought it was gonna be a great day and IT IS NOT. I’ve never had a worse day until today and I finally broke down at work… #NurseThings,['1403791632504328198'],171398081,1403791632504328198,271,932,44684,7
53,So like all I can think of are his veins 🥴 like look how big and juicy like I can fit an 18Gauge IV no problem I 😅 #NurseThings https://t.co/JGjzVSIucc,['1361735938175565828'],171398081,1361735938175565828,271,932,44684,7
54,Idk about ladies but definitely nurses 😂😂😂 IV dreams come true 👏🏼 #NurseThings https://t.co/ncGEsHS4rS,['1240124240042606593'],171398081,1240124240042606593,271,932,44684,7
55,@banjobillybojoe i’ll make sure to work the morning shift saturday and the evening shift sunday so i won’t miss it #hospitalvibes #nursethings,['1396946314714353671'],3154275100,1396946314714353671,250,257,1767,0
56,"Last night a full grown male consciously chose to shit on the floor.....like he popped, dropped and locked it and wabam shit everywhere #nursethings",['1395803905188143105'],415794121,1395803905188143105,246,325,21868,0
57,Kind of satisfying when the patient you’ve been giving enemas to for the past 3 days finally has a large bowel movement. #nursethings,['1394180710915846144'],88102563,1394180710915846144,217,699,2523,1
58,"Kanina ko pa naiisip kung gaano kasarap swerohan ni @PaoPangs.

Jusme, napaka ganda ng ugat! #nursethings https://t.co/vncFACN1uH",['1368571281709223942'],56375858,1368571281709223942,166,193,18949,5
59,Not me googling “perineal flowers” instead of “perennial flowers” while doing my gardening research #nursethings 🤦‍♀️🤦‍♀️🤦‍♀️,['1368265940044050433'],375374539,1368265940044050433,374,88,24108,0
60,Me walking into work w them telling me I’m clear w a temp of 94.1 #nursethings :) :) https://t.co/WNx4kQfOhb,['1368174190843596801'],1042129472848388096,1368174190843596801,110,228,668,0
61,There’s literally no better feeling than sinking an IV riiiiiiiight into a fatty vein #nursethings,['1359322247660462080'],40479995,1359322247660462080,389,135,10655,0
62,When you’ve had a smooth shift but your 1800 check your pt tries to herniate #nursethings,['1355390352228642820'],61293551,1355390352228642820,264,281,6641,1
63,I’ve never wanted to start an IV on myself so badly #nursethings https://t.co/pZkH5tBIHe,['1353887122701377536'],596594766,1353887122701377536,41947,862,8093,26
65,Ever go a whole 12 and realize you drank zero water.... my body HATES me #nursethings,['1348935727392894977'],410957404,1348935727392894977,585,226,31881,0
66,"1730: eating “lunch”
#COVIDー19 #nursethings",['1348396771135938565'],495658529,1348396771135938565,721,574,6412,2
67,"@Adamhill1212 I’m not a pediatrician, but I would try to remember the Broselow color codes when my child’s weight was announced during checkups. #nursethings",['1346483504528297986'],2269714536,1346483504528297986,181,610,16102,14
68,I hear Bipap alarms in my nightmares #nursethings #COVID,['1344943115656978432'],317510898,1344943115656978432,852,291,40707,6
69,I stepped in shit last night at work and definitely walked in the house and sat down in the chair only to realize... I never cleaned my shoes. Awesome. #nurselife #nursethings #RN,['1133723508540891136'],317510898,1133723508540891136,852,291,40707,6
70,if you’re the nurse that runs the bag dry and I have to reprime my tubing — I don’t like you #nurseproblems #nursethings,['1103252589376929793'],317510898,1103252589376929793,852,291,40707,6
71,Rocephin smells like cat piss 🥴 and now that my patient decided he needed to disconnect his IV I smell like cat piss 🤦🏼‍♀️ #nursethings,['1343104448227323905'],276750170,1343104448227323905,335,113,14673,1
72,"Have you ever seen somebody on their hands and knees to take a 💩 on their bed? Me either, until tonight... #nursethings",['1340210296028352512'],24373410,1340210296028352512,369,441,9704,5
73,I administered my first shot to someone today so that’s cool  🤪💉#nursethings,['1336370316759674880'],362027976,1336370316759674880,708,416,15165,1
74,Wee surprise card in the post- How Lovely.....❤️✉️ #NurseThings #internationalyearofthenurse https://t.co/XPj9mqov6x,['1334992387827961856'],704392134795923457,1334992387827961856,228,414,707,3
75,"That amazing feeling when you insert an IV all on your own..first try...with no vein finder or having to grab another nurse
#nursethings 
#itsthelittlethings https://t.co/E98oBKPC3C",['1325619151453392897'],1251337566629949440,1325619151453392897,32,51,309,0
76,"I’m finally getting the hang of starting ivs!!!! I struggled with them in nursing school but I’m so happy I was able to start them on my own this time!!!! 
😬😋🙌🏼 #nursethings",['1293025139441823745'],1251337566629949440,1293025139441823745,32,51,309,0
77,Check out Noah's video! #TikTok #NurseTwitter #nurses #nursethings #nurse #registerednurse #funny  https://t.co/k1sorAm9J1,['1315500338011611136'],1313872825548181504,1315500338011611136,56,48,50,0
78,first time wearing scrubs in like 5 months and I FEEL SO GREAT 😁😁😁 #nursethings #newscrubs,['1312005403149037571'],748576488,1312005403149037571,76,59,6072,0
79,YESSSSSS #nursethings tbh though i wash my hands a lot more than once a day though 😂 but the feeling of washing off old foam is just...yesssss https://t.co/MOrvwgKbYI,['1108915828496437248'],748576488,1108915828496437248,76,59,6072,0
80,speeding to work so i don’t have to be the last one at pyxis again 🤘🏼 #nursethings,['1311988230317895685'],438657504,1311988230317895685,4371,1249,28352,14
81,I finally was able to order my scrubs from @wearfigs ! Y’all have no idea how hype I am lol #NurseThings,['1311714061298601985'],1180790153062813696,1311714061298601985,676,795,2772,0
82,"I feel this well-loved, hole-ridden shirt from years ago, has never been more appropriate than it is right now. #2020 #HealthCare #PublicHealth #COVID19 #NurseThings https://t.co/rPfFJhCdYR",['1310360985853542401'],50794700,1310360985853542401,637,633,5616,5
83,"@Tahina_Andale Ja, ich kenne das Lied und Leid von ewigen Besuchen bei Ärzten und Ämtern, die alle besser wissen, wie es einem geht. #NurseThings
Du hast mein Mitgefühl und meinen Mitzorn wegen der Situation in unserem Gesundheitssystem. 😑",['1302239178541989889'],1071080926212513792,1302239178541989889,400,872,15010,0
84,"Our #inspiration cards will be back in stock soon. 👩‍⚕️
.
.
#beinspired #getinspired #nurseinspired #nursegifts #nurseswag #nursethings #nursestuff #nurseinspiration #nurseworld #nurseactually #nurse #nurses #nursing… https://t.co/TN98qyXenC",['1297991029442961408'],886469133553983489,1297991029442961408,47,81,189,0
85,I can’t wait to catch my first baby. #nursethings https://t.co/M4uTGD9CFf,['1295885354566856704'],232451358,1295885354566856704,796,512,46370,1
86,It's the cutting yourself while shaving a man's chest for me #NurseThings,['1294669424730021889'],1045521308388413440,1294669424730021889,51,66,123,0
87,My wife just looked me dead in the eyes and told me that she would rather handle a dead body than do the dishes. #nursethings,['1294440387529056257'],44950083,1294440387529056257,295,373,3632,3
90,I got complimented on my streak plate ya 😭 #nursethings,['1287197463753891840'],340732336,1287197463753891840,493,327,62811,4
91,How cute is this goal opener! #CYPStNN #NurseThings @nursingnoodle https://t.co/S6n4YrgRwS,['1278643170029510656'],1132607455752544256,1278643170029510656,4270,3976,20818,15
92,"Wenn der Dienst stressig ist, du deshalb Überstunden machst und schon längst los musst um deinen Termin zu schaffen. Und naiv hoffst dass nichts mehr dazwischen kommt..ok🌚 #nursethings https://t.co/qKKT01z4cW",['1275811620816633857'],907357491285065729,1275811620816633857,1348,121,10583,3
93,"Wenn du schon in der Umkleide bist, es plötzlich klingelt  und du feststellst dass du das Stationshandy noch dabei hast, einfach nur Heim willst aber nochmal hochmusst weil du ja keinen anrufen kannst 🌚#nursethings https://t.co/Uo87gq2jsQ",['1268178223336218624'],907357491285065729,1268178223336218624,1348,121,10583,3
94,watching a lifeguard running at full speed to the ocean to save someone had me drop my white claw and run too....the kid was fine. my white claw wasn’t. #nursethings,['1273690882408165378'],37460662,1273690882408165378,359,136,21627,2
95,I get so happy buying new scrubs lmao #nursethings,['1267970835186438144'],218746627,1267970835186438144,381,268,32590,8
96,Am I weird that the first thing I check out on a guy is his veins LOL #nurselife #nursethings,['1266285097898008581'],218746627,1266285097898008581,381,268,32590,8
97,Today my pt called me in before I left to say “I had 3 bowel movements today and I couldn’t have done that with another nurse. You know you didn’t make me nervous so I felt I could go” LOL best weird nursing compliment ever and on that note I have a 4 day weekend 🤘🏻 #nursethings,['1263633729630736386'],967402332190371840,1263633729630736386,50,215,1651,0
98,Today at work our large pet blue tongue lizard secretly escaped out of its home and was running around the dining room during lunch 😂😂😂 #nursethings,['1259051674800291840'],30172759,1259051674800291840,190,361,19075,1
99,Spent 20 minutes getting yelled at by a patient (not mine) for things that I did not do. Came up with a solution and was yelled at again. 🙃 #nursethings #HappySaturday,['1254026405790339072'],1253773386553143297,1254026405790339072,32,121,350,0
100,"Not only is tonight my first night shift in my job, but it’s also the night that the clocks go back... so my 10.5 hour shift is now 11.5. Gonna need some real out of world strength to get through this one guys. Night shift 1/4. #nursethings #iwanttosleep",['1246448394614108161'],285961049,1246448394614108161,128,196,3840,4
101,"Doing my part 🩺
#nursethings https://t.co/J9X15US8Tw",['1244842996031467524'],105426071,1244842996031467524,34,60,2,2
102,"We #QuaratineLife  in between shifts 
#Nursethings #COVIDー19 https://t.co/KSu6D7yVXZ",['1241702153321951233'],2819876548,1241702153321951233,1205,816,9029,0
103,"“So I was in the ED Friday night”
.....Wait on shift or as a patient?
“Oh my bad, on shift😅” #nursethings",['1232736289255915520'],457126440,1232736289255915520,154,197,7139,1
104,Does anyone else plan their schedules around SuperBowl Sunday? I will always schedule myself off the following day because of CHF exacerbations from the parties. #nursethings,['1224130816759889920'],17529831,1224130816759889920,974,1899,17027,13
105,Hi I’m 27 and my mom does the same. We also drive to work together sometimes 😋 #nursethings https://t.co/mMzF9X17hD,['1223414209179873281'],516346199,1223414209179873281,420,301,38802,7
106,"This work level up has me feeling daunted, but beyond excited #exhilarated #nursethings",['1220899589714214912'],1118298540017704968,1220899589714214912,35,86,346,0
107,"You guys... I feel so smart, I caught a cardiac rhythm change/ abnormality associated with possible medication toxicity before the doctor did and he congratulated me 😭😭❤❤ #nursethings",['1198613542829805569'],2530408112,1198613542829805569,100,112,1711,1
108,When u text ur boo about ur grocery list but all he can talk about is the conjoined twins at the hospital #nursethings,['1198322572670185472'],871881485753741312,1198322572670185472,152,142,6721,2
109,I love drawing blood #nursethings,['1198275625355816960'],251425452,1198275625355816960,351,290,13480,1
110,"Started my night shift at 7:30, I’m done at 7:00 tomorrow morning and it’s going so slow...going to be a long night 😴 #nursethings",['1198118221263458305'],3315703454,1198118221263458305,46,105,261,0
111,My patient had a bilateral LLE fasciotomy and the surgeon ordered SCDs for DVT prophylaxis🤦🏾‍♂️ #nursethings,['1196836777371283456'],273735438,1196836777371283456,2174,1332,87920,14
112,Just found a quarter in my patient’s poop. In case y’all were wondering how my day is going. #nursethings,['1129773324941365248'],273735438,1129773324941365248,2174,1332,87920,14
113,@pubzudarlingye #nursethings,['1196121738431598603'],925565684330975232,1196121738431598603,4944,983,44807,2
114,When my pt become unstable for the last 30 mins of my shift.... #nursethings https://t.co/e1zCwDSBqh,['1192817998609956865'],321097896,1192817998609956865,361,386,5906,0
115,I love when I’m out of town and all patients are happy and pain free! #NurseThings,['1192465674624552961'],21705156,1192465674624552961,1174,2997,73802,67
116,"When a patient spits on you, and you can't help thinking of @jarpad and his hatred of spit. #nursethings #rnlife",['1178362686129750016'],88866305,1178362686129750016,360,569,24038,12
117,My unit is finally trying to switch to 12 hour shifts. 😭🙏🏼 So tired of the 3-11 life. 😒 #nursethings,['1177014775731163136'],128979451,1177014775731163136,304,177,5782,2
118,Chuckling because I hear my coworker in a patient’s room laughing saying “look at your veins! It’s like Christmas!” Hahaha #nursethings 💉,['1173306572988190720'],203719256,1173306572988190720,578,730,31740,1
119,The first shift in 12 hour in the neurosurgen care unit was enjoyable. #iloveit #socool #nursethings ;))),['1171529345510203393'],356186831,1171529345510203393,29,65,734,1
120,"Baby girl you’re a star, don’t let them tell your you’re not. 💫 #NurseThings #ScrubLife https://t.co/FDuiAtkyKW",['1171081067580862464'],858461725,1171081067580862464,3624,1311,139961,6
121,"What's the weirdest/nonsensical thing a patient has done?
Comment below!
#nursethings #nurselife #nurseexperiences #healthcare #patients https://t.co/AkegcRD6ot",['1158758210335121409'],705685854954655744,1158758210335121409,102,208,592,0
122,tonight I was standing around waiting to grab a stool sample with the cup in one hand and a spoon in the other like this. my coworker had a good laugh #nursethings https://t.co/Uq4k29Lhrg,['1156789730752811008'],3235484304,1156789730752811008,67,403,21779,1
123,"... when saying ""...because it's July"" is an acceptable reason for all the weird orders that come up. #nursethings",['1153686165339267074'],28905424,1153686165339267074,336,260,21411,18
124,Gaste mis hermosas horas de sueño para ver #chilevsargentina para nada!!! Tengo turno de noche malditos!!!!! #Nursethings #enfermerasaturada al menos me reí con los memes... 😂 https://t.co/1Qb9xIPGT9,['1147611783995232261'],264906703,1147611783995232261,38,300,643,1
125,While I was at work today a coworker came into my isolation room (gowned all the way up) and said she had an important paper for me and slipped it in my pocket because my hands were full... it was an urgent invite to a nacho bar #seriousmedicine #nursethings,['1139376601471176705'],359055070,1139376601471176705,134,227,4341,0
126,Sometimes being a nurse means you literally jump with joy &amp; high five your patient when they say “I’M FARTING!” #NurseThings 🤷🏻‍♀️,['1130980694774243328'],200533199,1130980694774243328,141,198,7267,1
127,"What they are: SCD's

What I tell the patient: ""these are leg squeezies""

#nursethings",['1122682886526832641'],354020138,1122682886526832641,132,844,1847,1
128,Y’all. Nothing strikes fear into a brand new Director of Nursing’s heart like “State is in the facility”. #nursethings #holycow,['1121487290138632192'],2317695290,1121487290138632192,78,500,3451,2
129,One of the best parts of being a nurse is opening things. Tactile porn I tell ya. #nurse #NurseTwitter #nursethings #nursehumor #medicalhumor #nursing #nursingfunny,['1113490266869182470'],1112801525540241411,1113490266869182470,11,22,14,0
130,"In @BrunchSoH4rd 's voice: ""DADDDDDDDDYYYY"" 

#nursethings https://t.co/R1m4XGgaeE",['1111267003061424129'],986061420860145664,1111267003061424129,199,402,2780,3
131,AMA? More like Yay-M-A #NurseThings #UntilNextWeek,['1104049874427883520'],299365325,1104049874427883520,271,434,10077,2
132,Started my first IV &amp; got it! #nursethings,['1101061210039091200'],915949512,1101061210039091200,276,174,7574,0
133,Few things excite me more than all of my IV meds being compatible. #nursethings,['1096910886869131264'],105562412,1096910886869131264,235,366,7343,2
134,"“You are fabulous and I appreciate transparency. I love the freedom to make my own choices and be my own ‘recruiter.’
31 years in the medical field can be disheartening but I'm not giving up on nursing and NextGen.” 
- Kay M

 #traveljobs #travelnurse #lifeasanurse #travellover https://t.co/NmjXOO1jyo",['1563940879978713089'],1435831687133335557,1563940879978713089,39,424,855,0
135,"@meekjulie @NSWHealth Surely anyone retiring from there workplace is at the very least worth a farewell morning tea - after 43 in the same space (especially as a nurse) I'd expect a formal 10 course dinner. Hope he enjoys his retirement.
#LifeAsANurse",['1537807667707936768'],2160920840,1537807667707936768,209,1030,3195,8
136,"@anmfvic
Thank you @jimmyrees
#LifeAsANurse #Nursing 
Soooooooo relatable 😷🤪💝🏥
https://t.co/97nwKsa5Sn",['1528774133097840641'],712811780389515264,1528774133097840641,119,897,14190,0
138,"It's a public holiday, and I'm at work 😒
#lifeasanurse",['1514866230284496899'],1137631758579638273,1514866230284496899,3483,2464,5702,0
139,@AvaWBAL @MindyWbal But all the best coworkers are doing it.. #LifeasaNurse https://t.co/lHEpzwk9xY,['1510420001429377026'],409509310,1510420001429377026,261,735,4850,2
140,@RachelBros @MaiselTV thank you for the shout to the nurses… and the answer to the question is yes.. 🦸🏻‍♀️ #LifeasaNurse #IYKYK #SuperHeroInScrubs,['1503094664680849411'],409509310,1503094664680849411,261,735,4850,2
141,Thank you @GovLarryHogan for making the Covid vaccine mandatory for all Maryland hospital staff.. Now @US_FDA let’s get our kids vaccinated and boosters into everyone else! 💉💪🏼#MarylandStrong #LifeasaNurse https://t.co/hrFLJDKwiv,['1428070240261443584'],409509310,1428070240261443584,261,735,4850,2
142,@nursekelsey Right.. last time no one had protection. This time around we have a safe and effective vaccine and people are still refusing it. Boggles my mind and makes me so angry! And we are all just so tired now. #LifeasaNurse #VaccinesCauseAdults 😷💉💪🏼,['1421926524953972736'],409509310,1421926524953972736,261,735,4850,2
143,I got mine! Thanks @ChipotleTweets #LifeasaNurse 😷🌯 https://t.co/gsEma3HkWG,['1387903648219516930'],409509310,1387903648219516930,261,735,4850,2
144,@AvaWBAL I thought you would appreciate my latest scrub hat... Cicadas for days.. 😷🐛👩🏻‍⚕️ #LifeasaNurse https://t.co/dAkW8i7J3z,['1381945106740170755'],409509310,1381945106740170755,261,735,4850,2
145,Ok shouting out to all of my peeps! I made it into round 2 of the #MarchMaskieMadness please help me out and vote for me!! @MindyWbal @TheoHayesWBAL @JNNewtWBAL @wbaljfro @AvaWBAL @Kellie_Martin @NicoleB_MD @DoctorNatasha @DrCJohns Thanks!! 😷💉🤳🏼 #LifeasaNurse https://t.co/nGLY5EdFVT,['1368342340612616195'],409509310,1368342340612616195,261,735,4850,2
146,@DrCJohns @SecondGentleman Double mask and double shield.. bc that’s how we roll in the OR.. 🤓😷 #LifeasaNurse https://t.co/7RAdoBMJO1,['1360035419648311298'],409509310,1360035419648311298,261,735,4850,2
147,@jodipicoult @PattiMurin I love you both.. and I completely agree with this post!! #LifeasaNurse,['1358591552801619971'],409509310,1358591552801619971,261,735,4850,2
148,@jodipicoult I can’t give you those pics... but I have a photo of me getting my second dose of the vaccine. Hope you can get yours very soon!! #LifeasaNurse https://t.co/n7O7uebl5Y,['1352994530132430848'],409509310,1352994530132430848,261,735,4850,2
149,Thank you @LBHealth for my #covid19 vaccine. 10/10 recommend. 🙌🏼💉💪🏼 #LifeasaNurse #MedTwitter #BecauseScience #ThisisOurShot #CommunityImmunity #ShowmeYourBandaid #KickingCovidtotheCurb https://t.co/A7Bc8YfRCY,['1342147643468898305'],409509310,1342147643468898305,261,735,4850,2
150,My normal 15 minute commute home from the hospital.. just took me 75.. stay home and stay safe.. @LaceeGriffith @wbaltv11 #LifeasaNurse,['1339317022522560513'],409509310,1339317022522560513,261,735,4850,2
151,@NicoleB_MD @JoyHenningsenMD That is amazing!! I absolutely love it.. #LifeasaNurse #VaccinesCauseAdults 🙌🏼💕🎄💉,['1334898129792065546'],409509310,1334898129792065546,261,735,4850,2
152,@NicoleB_MD Thank you.. I spent Thanksgiving with my “other family” this year (and most other years).. but it’s all good. #LifeasaNurse,['1332321127159521280'],409509310,1332321127159521280,261,735,4850,2
153,I’m loving this First Lady elect already... 👩🏻‍⚕️😷🦸🏻‍♀️ #ThankaNurse #LifeasaNurse #WeartheDamnMask https://t.co/kRP4hJeWpQ,['1331034578790846465'],409509310,1331034578790846465,261,735,4850,2
154,@MeganWBAL @wbaljfro @wbaltv11 Best tag line ever... we are working  and color coordinated as well just in blue. Have a great weekend!! @LBHealth 💕👩🏻‍⚕️😷 #LifeasaNurse https://t.co/AFXULyezW7,['1317475760685318145'],409509310,1317475760685318145,261,735,4850,2
155,Show me your flu shot selfie... @GBMCHealthcare 😷💉 #VaccinesCauseAdults #LifeasaNurse #WearAMask #andGetaFluShot https://t.co/Cp7KmLbmXq,['1311696447780380674'],409509310,1311696447780380674,261,735,4850,2
156,@MindyWbal @wbaltv11 Only one.. but it’s a really big cup.. 🤣☕️ #LifeasaNurse #FirstGBMCSelfie #ButFirstCoffee https://t.co/D7B61o3Yfw,['1311028003892277254'],409509310,1311028003892277254,261,735,4850,2
157,@MindyWbal @JNNewtWBAL @DreJohnson1 what a perfectly timed question. I officially start my new job today. For the longest time I’ve wanted to work in the Operating Room and today that dream comes true. #LifeasaNurse #ORNurseHynda,['1309407978592886784'],409509310,1309407978592886784,261,735,4850,2
