Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,whitespace
26,26,26,1.5559320552922317e+18,2022-08-06 15:01:24+00:00,['1555932055292231681'],PURE CONFUSION (not new to me),,pure confusion not new to me,True,False
27,27,27,1.5559293219691643e+18,2022-08-06 14:50:32+00:00,['1555929321969164291'],🗯 … is there hate to embrace and does it help me to reduce the pain to a lower degree? … # 🎶,, … is there hate to embrace and does it help me to reduce the pain to a lower degree …  ,True,False
28,28,28,1.55592577979145e+18,2022-08-06 14:36:28+00:00,['1555925779791450117'],a game I won’t play,,a game i won’t play,True,False
29,29,29,1.555925253779497e+18,2022-08-06 14:34:22+00:00,['1555925253779496960'],… endlessly #circles,,… endlessly ,True,False
31,31,31,1.5552122438680453e+18,2022-08-04 15:21:08+00:00,['1555212243868045312'],"Remembering #Beirut again… 2 years since the blast by the port. Lives are still in pieces. (Fundraiser made after blast for a young person, Aggie’s daughter raised few hundred but sadly that doesn’t get you far in this world)… https://t.co/JqbOZDlbY1",,remembering  again… 2 years since the blast by the port lives are still in pieces fundraiser made after blast for a young person aggie’s daughter raised few hundred but sadly that doesn’t get you far in this world… ,True,False
33,33,33,1.554784458003415e+18,2022-08-03 11:01:15+00:00,['1554784458003415041'],"“This is the same process, we think, that goes awry in PTSD and makes it so you cannot forget traumatic experiences."" #takecare #mentalhealth  https://t.co/xoRqxQvhSB",,“this is the same process we think that goes awry in ptsd and makes it so you cannot forget traumatic experiences    ,True,False
35,35,35,1.554337606103597e+18,2022-08-02 05:25:38+00:00,['1554337606103597057'],"“Most psychiatrists adhere to the biopsychosocial model with very few people subscribing to a simple “chemical imbalance” theory.”
… and I just checked some exam results 🙏🏻 so relieved I passed the ‘biopsychosocial approaches exam’ https://t.co/6LxUjrWGpK",,"“most psychiatrists adhere to the biopsychosocial model with very few people subscribing to a simple “chemical imbalance” theory”
… and i just checked some exam results  so relieved i passed the ‘biopsychosocial approaches exam’ ",True,False
36,36,36,1.5541042457204165e+18,2022-08-01 13:58:20+00:00,['1554104245720416258'],last seen in West Croydon just after midnight on 7 July. https://t.co/q9wNUPjKoZ,,last seen in west croydon just after midnight on 7 july ,True,False
37,37,37,1.55270467054361e+18,2022-07-28 17:16:55+00:00,['1552704670543609859'],Take care of yourself #studentnurse https://t.co/6zH6e7isCv,,take care of yourself  ,True,False
39,39,39,1.552245249258541e+18,2022-07-27 10:51:21+00:00,['1552245249258541056'],"“… rats with improved REM sleep showed responses at NAc synapses that resembled those of drug-naïve rats, suggesting the ion channel normalization could underlie the improvement in relapse behavior.” #mentalhealth #healthylifestyle 
 https://t.co/EgB0JFQ9X5",,"“… rats with improved rem sleep showed responses at nac synapses that resembled those of drugnaïve rats suggesting the ion channel normalization could underlie the improvement in relapse behavior”   
 ",True,False
41,41,41,1.5505071165694523e+18,2022-07-22 15:44:38+00:00,['1550507116569452545'],🎶🕶 oohh https://t.co/C1dYuMUeDo,, oohh ,True,False
43,43,43,1.548731828353237e+18,2022-07-17 18:10:16+00:00,['1548731828353236994'],Wtf wrong with these people ? Arguing about an error … apologise without excuses please. https://t.co/uQkJ5YtkEG,,wtf wrong with these people  arguing about an error … apologise without excuses please ,True,False
45,45,45,1.5483222248718377e+18,2022-07-16 15:02:39+00:00,['1548322224871837699'],“… the new technology activates neural circuits about 50 times faster than the best previously demonstrated technology for magnetic stimulation of genetically defined neurons.” https://t.co/1kc8CuQ8dq,,“… the new technology activates neural circuits about 50 times faster than the best previously demonstrated technology for magnetic stimulation of genetically defined neurons” ,True,False
50,50,50,1.5460940540222996e+18,2022-07-10 11:28:42+00:00,['1546094054022299648'],Liking 🎶 https://t.co/nCFYYzFh4I,,liking  ,True,False
52,52,52,1.5458153512540283e+18,2022-07-09 17:01:14+00:00,['1545815351254028289'],@Harini_Iyengar I get that a lot… sort of discouraged me from working in some industries; also get comments of disbelief of age and told should take as complimentary bothers me - because of the suggestions older people are haggered…,, i get that a lot… sort of discouraged me from working in some industries also get comments of disbelief of age and told should take as complimentary bothers me  because of the suggestions older people are haggered…,True,False
53,53,53,1.545795855122309e+18,2022-07-09 15:43:46+00:00,['1545795855122309121'],Spiky banana 🍌 https://t.co/pesQkT0wz9,,spiky banana  ,True,False
55,55,55,1.545794980756742e+18,2022-07-09 15:40:17+00:00,['1545794980756742151'],@julesmattsson Ooo-errrrr… psychopathology,, oooerrrrr… psychopathology,True,False
56,56,56,1.5457476021588828e+18,2022-07-09 12:32:01+00:00,['1545747602158882816'],@griffinkate Them versus Us… shirk blame game,, them versus us… shirk blame game,True,False
58,58,58,1.5450972961106575e+18,2022-07-07 17:27:56+00:00,['1545097296110657537'],Flying ants day…,,flying ants day…,True,False
60,60,60,1.544626729699971e+18,2022-07-06 10:18:04+00:00,['1544626729699971077'],@NursingNotesUK ffs,, ffs,True,False
61,61,61,1.5446262507692032e+18,2022-07-06 10:16:10+00:00,['1544626250769203201'],shirkers #PMQs,,shirkers ,True,False
62,62,62,1.5440456732549038e+18,2022-07-04 19:49:10+00:00,['1544045673254903809'],"@JeMcC770 @NurseStandard init... no idea why it got so many 'up' and sharing it around... not funny, or interesting... toilet humour is the lowest. It's not relatable. I have never been involved in any scenario like this - even in mental health wards. Sad there's stupid people working, no common sense.",,  init no idea why it got so many up and sharing it around not funny or interesting toilet humour is the lowest its not relatable i have never been involved in any scenario like this  even in mental health wards sad theres stupid people working no common sense,True,False
63,63,63,1.5438933381763318e+18,2022-07-04 09:43:50+00:00,['1543893338176331777'],Exams 🕶,,exams ,True,False
65,65,65,1.542705305183785e+18,2022-07-01 03:03:01+00:00,['1542705305183784963'],"“encoded protein has been shown to promote neuronal differentiation by deglycination of the Notch receptor, which prevents receptor maturation...may also play a role in the unfolded protein response,  regulation of glutathione levels, oxidative balance...” https://t.co/AvworU0Xny",,“encoded protein has been shown to promote neuronal differentiation by deglycination of the notch receptor which prevents receptor maturationmay also play a role in the unfolded protein response  regulation of glutathione levels oxidative balance” ,True,False
66,66,66,1.542688133090771e+18,2022-07-01 01:54:47+00:00,['1542688133090770948'],what … why https://t.co/vvdUPRWNys,,what … why ,True,False
68,68,68,1.5425098558685225e+18,2022-06-30 14:06:22+00:00,['1542509855868522499'],@MehmetJoe @eva_jola @RBKC @TfL ... this is the only bus route to hospitals for many people - y'know... people that don't find it easy to walk; or move in any way but still want to retain a sense of independence - use the bus and that kind of thing.,,     this is the only bus route to hospitals for many people  yknow people that dont find it easy to walk or move in any way but still want to retain a sense of independence  use the bus and that kind of thing,True,False
70,70,70,1.5424794192054682e+18,2022-06-30 12:05:26+00:00,['1542479419205468160'],... nothing happens for a reason... not for me 🎶,, nothing happens for a reason not for me ,True,False
71,71,71,1.5424731501931889e+18,2022-06-30 11:40:31+00:00,['1542473150193188864'],Body found on fire in West London park was so badly burnt man had to be identified through his fingertips https://t.co/dD3YiDhYKl,,body found on fire in west london park was so badly burnt man had to be identified through his fingertips ,True,False
72,72,72,1.5421917487550956e+18,2022-06-29 17:02:20+00:00,['1542191748755095555'],@Councillorsuzie Ohh maybe he got mixed up with what XR do - they’re not effin greenpeace. I back greenpeace not XR…,, ohh maybe he got mixed up with what xr do  they’re not effin greenpeace i back greenpeace not xr…,True,False
73,73,73,1.5421876752219546e+18,2022-06-29 16:46:08+00:00,['1542187675221954564'],@HeartLondonNews Very quick getting to court. That’s good but can’t imagine what family and friends are going through. Have felt concerned about this situation - nightmare. 🙏🏻,, very quick getting to court that’s good but can’t imagine what family and friends are going through have felt concerned about this situation  nightmare ,True,False
78,78,78,1.5415899378537925e+18,2022-06-28 01:10:57+00:00,['1541589937853792259'],"... beyond sickened about this. Another assault, in public - another woman dies on the streets... https://t.co/hOBgf2go4P",, beyond sickened about this another assault in public  another woman dies on the streets ,True,False
80,80,80,1.5414445268830945e+18,2022-06-27 15:33:08+00:00,['1541444526883094529'],@CeruseArtist from Chris Evans to that...? Bad taste.,, from chris evans to that bad taste,True,False
81,81,81,1.5414130127451996e+18,2022-06-27 13:27:54+00:00,['1541413012745199621'],when the were trying to be a politician... obvs something seriously wrong with the people who support him.,,when the were trying to be a politician obvs something seriously wrong with the people who support him,True,False
82,82,82,1.541412050148229e+18,2022-06-27 13:24:05+00:00,['1541412050148229122'],blocked the vile twit a long time ago... https://t.co/hSMj06Ltqc,,blocked the vile twit a long time ago ,True,False
83,83,83,1.541056265316614e+18,2022-06-26 13:50:19+00:00,['1541056265316614144'],@Jimbobaroo 🤓 ohhh they wouldn't like that,,  ohhh they wouldnt like that,True,False
84,84,84,1.541044727566459e+18,2022-06-26 13:04:28+00:00,['1541044727566458880'],@MHLondon22 the tastier mustard becomes...,, the tastier mustard becomes,True,False
85,85,85,1.5407419259756216e+18,2022-06-25 17:01:15+00:00,['1540741925975621632'],nothing I can do..... 🕶️🎶  https://t.co/6TmJOUeLxe,,nothing i can do   ,True,False
87,87,87,1.5403818341645066e+18,2022-06-24 17:10:22+00:00,['1540381834164506629'],"I'm not 'pro-abortion' but in cases of incest and rape; especially with minors, it is vital there's access to abortion so victims can approach healthcare and legal help for their abuse. https://t.co/yAKda3VcrC",,im not proabortion but in cases of incest and rape especially with minors it is vital theres access to abortion so victims can approach healthcare and legal help for their abuse ,True,False
91,91,91,1.5400081257927188e+18,2022-06-23 16:25:23+00:00,['1540008125792718850'],"@RBKC @TfL ""The number 14 serving the Royal Marsden and Chelsea and Westminster hospitals will be withdrawn, with increased waiting times and fuller buses expected at stops on Fulham Road."" !! 
Why would TfL withdraw the hospital route stops? Awful. Ableism. Why make people fight again?",,"  the number 14 serving the royal marsden and chelsea and westminster hospitals will be withdrawn with increased waiting times and fuller buses expected at stops on fulham road  
why would tfl withdraw the hospital route stops awful ableism why make people fight again",True,False
93,93,93,1.540002306015613e+18,2022-06-23 16:02:16+00:00,['1540002306015612929'],"@Christiane **grateful... I don't know why - but I think I purposefully misspelled it earlier. Some sort of cryptic thing maybe, passing thought...",, grateful i dont know why  but i think i purposefully misspelled it earlier some sort of cryptic thing maybe passing thought,True,False
95,95,95,1.5399356526571274e+18,2022-06-23 11:37:24+00:00,['1539935652657127424'],"@Christiane Can you imagine …. 
Greatful there’s a fight every single f-in day for basic living.",," can you imagine … 
greatful there’s a fight every single fin day for basic living",True,False
96,96,96,1.5395765394608947e+18,2022-06-22 11:50:25+00:00,['1539576539460894722'],"""We were interested in this because much of the anthropological work on human mating patterns are based on only people’s preferences..."" #relationships #takecare #psych #mentalhealth   https://t.co/KFicCXztTQ",,we were interested in this because much of the anthropological work on human mating patterns are based on only people’s preferences       ,True,False
97,97,97,1.539566371436208e+18,2022-06-22 11:10:01+00:00,['1539566371436208132'],@DrShanHussain ... that's stupid. Whoever wrote that needs to be fired.,,  thats stupid whoever wrote that needs to be fired,True,False
99,99,99,1.5393546298798735e+18,2022-06-21 21:08:38+00:00,['1539354629879873537'],@julesmattsson take care charging it... there was a fire earlier today caused by malfunction of e-bike on charge - at block of flats not far from Grenfell Tower... I believe the fire was contained in 1 flat.,, take care charging it there was a fire earlier today caused by malfunction of ebike on charge  at block of flats not far from grenfell tower i believe the fire was contained in 1 flat,True,False
100,100,100,1.5392623031530988e+18,2022-06-21 15:01:45+00:00,['1539262303153098752'],Researchers develop a comprehensive atlas of disease mortality https://t.co/UkUkXe2dIB,,researchers develop a comprehensive atlas of disease mortality ,True,False
101,101,101,1.5390212321836442e+18,2022-06-20 23:03:50+00:00,['1539021232183644160'],@MHLondon22 Gold stars all around to those still doing LFTs ⭐️🌟💫,, gold stars all around to those still doing lfts ,True,False
102,102,102,1.538935407852806e+18,2022-06-20 17:22:47+00:00,['1538935407852806144'],"Might not be as crazy as it appears at first... there's a lot of essential nutrition in the horns - although I'm unsure if Pierre would've put a full antler in a glass like shown in this image... Personally, I would opt for modern sports supplements.  https://t.co/B4HC0O5JgJ https://t.co/VC72RJvuRp",,might not be as crazy as it appears at first theres a lot of essential nutrition in the horns  although im unsure if pierre wouldve put a full antler in a glass like shown in this image personally i would opt for modern sports supplements   ,True,False
103,103,103,1.5388607450892206e+18,2022-06-20 12:26:06+00:00,['1538860745089220610'],Yet more “talks” … 🤦🏻‍♀️ https://t.co/XgYwZUTtOz,,yet more “talks” …  ,True,False
104,104,104,1.5385842506389094e+18,2022-06-19 18:07:25+00:00,['1538584250638909441'],... lose yourself in the neon lights... https://t.co/QCysyEBDgU,, lose yourself in the neon lights ,True,False
105,105,105,1.538340936937259e+18,2022-06-19 02:00:35+00:00,['1538340936937259009'],"""In addition to cold weather, blood pressure may also be affected by a sudden change in weather patterns, such as a weather front or a storm...""
 4 Ways Barometric Pressure Affects Your Health via @MigraineAgain https://t.co/YFPkFbV6ug",,"in addition to cold weather blood pressure may also be affected by a sudden change in weather patterns such as a weather front or a storm
 4 ways barometric pressure affects your health via  ",True,False
106,106,106,1.5383201140970004e+18,2022-06-19 00:37:50+00:00,['1538320114097000450'],@Councillorsuzie This is the type of thing that means I can't go into central London on Saturdays...,, this is the type of thing that means i cant go into central london on saturdays,True,False
107,107,107,1.538311246394577e+18,2022-06-19 00:02:36+00:00,['1538311246394576897'],... it's 12°C #heatwaveuk,, its 12°c ,True,False
108,108,108,1.5382289885350994e+18,2022-06-18 18:35:44+00:00,['1538228988535099392'],"Haven't attempted going on tube at all since a while before the previous strikes... so I haven't been on Elizabeth Line.
This info the stations smell isn't encouraging. https://t.co/uNDH05cQtR",,"havent attempted going on tube at all since a while before the previous strikes so i havent been on elizabeth line
this info the stations smell isnt encouraging ",True,False
110,110,110,1.5381766436924785e+18,2022-06-18 15:07:44+00:00,['1538176643692478464'],Still feeling shocked by this. RNs in UK are stressing over a few ml of Methadone not accounted for in the CD documents...,,still feeling shocked by this rns in uk are stressing over a few ml of methadone not accounted for in the cd documents,True,False
111,111,111,1.5381707162306642e+18,2022-06-18 14:44:11+00:00,['1538170716230664199'],"@NursingNotesUK I feel like there's some value in being referred to as 'the student' - despite it being annoying, not personable communication from staff. It differentiates between HCA and StN role. I'm aware placement areas get a lot of different students. Staff need to snap out of an attitude.",, i feel like theres some value in being referred to as the student  despite it being annoying not personable communication from staff it differentiates between hca and stn role im aware placement areas get a lot of different students staff need to snap out of an attitude,True,False
113,113,113,1.5381521717615493e+18,2022-06-18 13:30:29+00:00,['1538152171761549312'],"“Before and after the virtual training, the researchers induced and assessed the psychosocial stress response by measuring the salivary alpha-amylase -- a crucial biomarker indicating the levels of neuroendocrine stress...” #mobility #mentalhealth #fitness https://t.co/YVGHZSop69",,“before and after the virtual training the researchers induced and assessed the psychosocial stress response by measuring the salivary alphaamylase  a crucial biomarker indicating the levels of neuroendocrine stress”    ,True,False
114,114,114,1.5379683518670643e+18,2022-06-18 01:20:03+00:00,['1537968351867064320'],@Jimbobaroo All those sore losers - I don't even care to imagine what they've thought about all this Eurovision stuff now...,, all those sore losers  i dont even care to imagine what theyve thought about all this eurovision stuff now,True,False
115,115,115,1.5379160289062216e+18,2022-06-17 21:52:09+00:00,['1537916028906221568'],"I was hoping they'd gone with some indigenous men and were just uncontactable for some time - signal issues, tech faults etc... https://t.co/m9NsbceUau",,i was hoping theyd gone with some indigenous men and were just uncontactable for some time  signal issues tech faults etc ,True,False
117,117,117,1.5379038244378583e+18,2022-06-17 21:03:39+00:00,['1537903824437858309'],"Woah that’s crazy. “Diverted” where? Then some of this extremely potent opiate was not diverted, just lost… you can’t just lose that much drugs… https://t.co/lWRIdgRtTw",,woah that’s crazy “diverted” where then some of this extremely potent opiate was not diverted just lost… you can’t just lose that much drugs… ,True,False
118,118,118,1.53777561564185e+18,2022-06-17 12:34:11+00:00,['1537775615641849856'],".... don't agree with decision to extradite if would result in 'death sentence'... but also, what is a Home Secretary supposed to do in this situation - decisions are always appealed... https://t.co/inLGrTnGbW",, dont agree with decision to extradite if would result in death sentence but also what is a home secretary supposed to do in this situation  decisions are always appealed ,True,False
119,119,119,1.537581228429394e+18,2022-06-16 23:41:46+00:00,['1537581228429393922'],"@MHLondon22 Have to choose Bonnie &amp; Clyde first obviously…then Bugsy Malone… difficult to choose between few as last - probably go for modern adaption - only fools and horses, perhaps…",, have to choose bonnie amp clyde first obviously…then bugsy malone… difficult to choose between few as last  probably go for modern adaption  only fools and horses perhaps…,True,False
120,120,120,1.5375470274998682e+18,2022-06-16 21:25:52+00:00,['1537547027499868160'],Take care! https://t.co/SQJlo73UCJ,,take care ,True,False
121,121,121,1.5371902401836237e+18,2022-06-15 21:48:07+00:00,['1537190240183623682'],@MHLondon22 Don’t think any celebs have. Only 1 MP in Swansea - they’re ‘public person’ but hardly a celeb …,, don’t think any celebs have only 1 mp in swansea  they’re ‘public person’ but hardly a celeb …,True,False
122,122,122,1.5370525820315443e+18,2022-06-15 12:41:07+00:00,['1537052582031544322'],Doo doo doo doo… 📶 https://t.co/MIIlncRgLp,,doo doo doo doo…  ,True,False
123,123,123,1.5370322181739233e+18,2022-06-15 11:20:12+00:00,['1537032218173923330'],... make them feel what they already know now... 🎶,, make them feel what they already know now ,True,False
128,128,128,1.5368475582150902e+18,2022-06-14 23:06:25+00:00,['1536847558215090176'],"""Aberfan memorials commemorate 144 lives lost in October 1966, when a large build-up of mining waste was displaced by heavy rainfall, causing a landslide which engulfed Pantglas Junior School and the surrounding houses."" https://t.co/90SN72lB25 
#Grenfell https://t.co/gAA3VAemxw https://t.co/gGab82ttWb",,"aberfan memorials commemorate 144 lives lost in october 1966 when a large buildup of mining waste was displaced by heavy rainfall causing a landslide which engulfed pantglas junior school and the surrounding houses  
  ",True,False
129,129,129,1.536829806460928e+18,2022-06-14 21:55:53+00:00,['1536829806460928000'],"@griffinkate da iawn... bravo. What level is this, if you don't mind me asking? Sorry, just interested - I had level 2; but I'm really out of practice and tbf probably won't practice much, even if go to Wales bc sadly, not many people can speak it even at level 1.",, da iawn bravo what level is this if you dont mind me asking sorry just interested  i had level 2 but im really out of practice and tbf probably wont practice much even if go to wales bc sadly not many people can speak it even at level 1,True,False
130,130,130,1.5368176038674432e+18,2022-06-14 21:07:24+00:00,['1536817603867443207'],"I didn’t take any photos when I walked to #GrenfellTower on the day (gave modest donation); it was a pivotal time, I was stepping back from working in media in the aftermath. Living in Kensington (still am)… I’ve heard a lot of events going on in area today. Saw ribbons etc https://t.co/C5cfAYcCwA https://t.co/HaESeqLbZO",,i didn’t take any photos when i walked to  on the day gave modest donation it was a pivotal time i was stepping back from working in media in the aftermath living in kensington still am… i’ve heard a lot of events going on in area today saw ribbons etc  ,True,False
131,131,131,1.5368113053064028e+18,2022-06-14 20:42:22+00:00,['1536811305306402817'],@TICAcats ... they love it when it rains so they have an excuse for towel dry...,,  they love it when it rains so they have an excuse for towel dry,True,False
134,134,134,1.5367278886695813e+18,2022-06-14 15:10:54+00:00,['1536727888669581313'],Leave a message after the beep… ☎️  https://t.co/WhErqazYbg,,leave a message after the beep…   ,True,False
136,136,136,1.536681044484694e+18,2022-06-14 12:04:45+00:00,['1536681044484694017'],Wow wasn't expecting this tbh. Loads of artists use offensive words in lyrics - or phrases. Maybe not all 'ableist' - plenty of racist however. https://t.co/hqztNlaXZN,,wow wasnt expecting this tbh loads of artists use offensive words in lyrics  or phrases maybe not all ableist  plenty of racist however ,True,False
137,137,137,1.5366801368624865e+18,2022-06-14 12:01:09+00:00,['1536680136862486528'],@e_lisney It’s not. It’s Diclofenac diethylammonium - a different NSAI - not ibuprofen. Not all anti-inflammatory are ibuprofen- thankfully.,, it’s not it’s diclofenac diethylammonium  a different nsai  not ibuprofen not all antiinflammatory are ibuprofen thankfully,True,False
139,139,139,1.5365224421889147e+18,2022-06-14 01:34:32+00:00,['1536522442188914688'],@MRadford_HEECN @nmcnews I'm seeing way too much of 'it's always been this way' and 'when I was a student...' excusing abuse of StNs on social media at least: it seems like there's a lot of 'nurses' and also other staff that aren't onboard with the Future Nurse Standards - nor embody NMC COC.,,  im seeing way too much of its always been this way and when i was a student excusing abuse of stns on social media at least it seems like theres a lot of nurses and also other staff that arent onboard with the future nurse standards  nor embody nmc coc,True,False
141,141,141,1.536500416938234e+18,2022-06-14 00:07:00+00:00,['1536500416938233856'],"Other legal issues if StN counted as 'in numbers' related to documentation/notes - patients &amp; 'paperwork' - KPIs etc. StN notes usually aren't 'used' (although some of mine have been! RN, putting it on theirs so stays on system). Notes are read by courts after serious incidents",,other legal issues if stn counted as in numbers related to documentationnotes  patients amp paperwork  kpis etc stn notes usually arent used although some of mine have been rn putting it on theirs so stays on system notes are read by courts after serious incidents,True,False
142,142,142,1.5364764012929595e+18,2022-06-13 22:31:35+00:00,['1536476401292959746'],"Also, in London at least (not so sure in other places) there's a lot of 'international students' doing nursing courses - and this feels really wrong to suggest that NHS relies on StNs - and some of them may not be able to 'work' depending on their visa or immigration status.",,also in london at least not so sure in other places theres a lot of international students doing nursing courses  and this feels really wrong to suggest that nhs relies on stns  and some of them may not be able to work depending on their visa or immigration status,True,False
143,143,143,1.5364688418528092e+18,2022-06-13 22:01:32+00:00,['1536468841852809216'],"I'm only counted as staff when 'working' - placements are much different experience for me (my reality - had placements not on wards: CMHT, Crisis...). Staff number, RN &amp; HCA is for patient safety. It's abuse of rights to treat StN like staff if not contracted as worker on ward.",,im only counted as staff when working  placements are much different experience for me my reality  had placements not on wards cmht crisis staff number rn amp hca is for patient safety its abuse of rights to treat stn like staff if not contracted as worker on ward,True,False
144,144,144,1.5364623450771292e+18,2022-06-13 21:35:43+00:00,['1536462345077129216'],It's not legal to count students in the numbers on a ward. https://t.co/EauzMwaw0Q,,its not legal to count students in the numbers on a ward ,True,False
145,145,145,1.5364609096688763e+18,2022-06-13 21:30:01+00:00,['1536460909668876289'],"@MHLondon22 Never had COVID but had to self isolate twice because of contact tracing, within 2m of positive case (outside of a ward with positive patients - when not wearing the full PPE. Tracing didn't apply obvs if in PPE)...",, never had covid but had to self isolate twice because of contact tracing within 2m of positive case outside of a ward with positive patients  when not wearing the full ppe tracing didnt apply obvs if in ppe,True,False
146,146,146,1.5364297764283187e+18,2022-06-13 19:26:18+00:00,['1536429776428318720'],@Councillorsuzie @Keir_Starmer @metpoliceuk @MailOnline No idea why SA gets involved in this... I blocked her ages ago - being abusive to people/scientists working labs but because she's TUC?! Put off by number of things - not involved. Knew her long time ago - when was on NUJ councils (I resigned several years ago) - she scares me.,,    no idea why sa gets involved in this i blocked her ages ago  being abusive to peoplescientists working labs but because shes tuc put off by number of things  not involved knew her long time ago  when was on nuj councils i resigned several years ago  she scares me,True,False
148,148,148,1.5363177053425582e+18,2022-06-13 12:00:59+00:00,['1536317705342558209'],… behind that dress… 🕶🎶,,… behind that dress… ,True,False
150,150,150,1.5361864951024927e+18,2022-06-13 03:19:36+00:00,['1536186495102492672'],"""We have reason to assume that there is a primal repression [Urverdrängung], a first phase of repression, which consists in the psychical (ideational) representative of the drive being denied entrance into the conscious. With this a fixation is..."" #psych https://t.co/6VC1lEeH6b",,we have reason to assume that there is a primal repression urverdrängung a first phase of repression which consists in the psychical ideational representative of the drive being denied entrance into the conscious with this a fixation is  ,True,False
155,155,155,1.5360381067423662e+18,2022-06-12 17:29:57+00:00,['1536038106742366209'],"@e_lisney I bought a new tube yesterday! I had the 1.16% first - and that is helpful; it's intended for muscle pain mostly (it can be used more often, because not as strong). I got the 2.32% yesterday - mainly bc it was only one available in shop; longer lasting effects. Both good.",, i bought a new tube yesterday i had the 116 first  and that is helpful its intended for muscle pain mostly it can be used more often because not as strong i got the 232 yesterday  mainly bc it was only one available in shop longer lasting effects both good,True,False
