id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns,lemm_nouns
1.553895631734952e+18,2022-08-01 00:09:23+00:00,['1553895631734951939'],Just finished reading the seven husbands of Evelyn Hugo and I feel like my life will never be the same again. What a story I’m speechless,,just finished reading the seven husbands of evelyn hugo and i feel like my life will never be the same again what a story i’m speechless,husbands hugo life story speechless ,husband hugo life story speechless
1.5538176668293038e+18,2022-07-31 18:59:34+00:00,['1553817666829303808'],Football FINALLY CAME HOME and it was brought home by WOMEN. Most POWERFUL thing I’ve ever witnessed ever So proud of the lionesses I am in tears #WEuro2022Final,,football finally came home and it was brought home by women most powerful thing i’ve ever witnessed ever so proud of the lionesses i am in tears ,football home home women thing lionesses tears ,football home home woman thing lioness tear
1.5505733849621176e+18,2022-07-22 20:07:57+00:00,['1550573384962117632'],Love island is so dull now,,love island is so dull now,love island ,love island
1.5485812917669274e+18,2022-07-17 08:12:05+00:00,['1548581291766927360'],Beyond gutted that I have to miss George Ezra playing Finsbury Park today because I couldn’t get the time off work!! The NHS has done me dirty tonight,,beyond gutted that i have to miss george ezra playing finsbury park today because i couldn’t get the time off work the nhs has done me dirty tonight,i george finsbury park today i time work nhs tonight ,george finsbury park today time work tonight
1.5462312764196618e+18,2022-07-10 20:33:58+00:00,['1546231276419661824'],Paige needs to get up off the floor my god where is the self respect Jacques is no good for ANYONE #LoveIsland,,paige needs to get up off the floor my god where is the self respect jacques is no good for anyone ,paige needs floor god self respect jacques anyone  ,paige need floor god self respect jacques anyone
1.546230551501316e+18,2022-07-10 20:31:05+00:00,['1546230551501316097'],The way the boys have all treated these casa girls is making my head explode no thought for any of their feelings #LoveIsland,,the way the boys have all treated these casa girls is making my head explode no thought for any of their feelings ,way boys girls head thought feelings ,way boy girl head thought feeling
1.5462281870001766e+18,2022-07-10 20:21:41+00:00,['1546228187000176640'],“Miss you hunnybuns” someone please put an end to Jacques #LoveIsland https://t.co/yR3g1xYRuv,,miss you hunnybuns someone please put an end to jacques  ,miss someone please end jacques   ,miss someone please end jacques
1.5462262041471263e+18,2022-07-10 20:13:49+00:00,['1546226204147126273'],Andrew asking for a cuddle after the scenes from last episode like what isn’t clicking for these boys #LoveIsland https://t.co/8QGJMnFPzD,,andrew asking for a cuddle after the scenes from last episode like what isn’t clicking for these boys  ,andrew cuddle scenes episode boys  ,andrew cuddle scene episode boy
1.5451526654197146e+18,2022-07-07 21:07:57+00:00,['1545152665419714560'],Jacques honestly does not deserve any female attention ever again after this what an absolute shitbag he is I feel sick #LoveIsland https://t.co/3MqQthbn4z,,jacques honestly does not deserve any female attention ever again after this what an absolute shitbag he is i feel sick  ,jacques attention absolute shitbag   ,jacques attention absolute shitbag
1.5447890253068534e+18,2022-07-06 21:02:59+00:00,['1544789025306853381'],Love Island ending WITHOUT the recoupling oh I am ANGRY ANGRY https://t.co/ogPHHQ94Gc,,love island ending without the recoupling oh i am angry angry ,love island oh i  ,love island
1.5447853126642442e+18,2022-07-06 20:48:13+00:00,['1544785312664244229'],I’ve had enough of this episode of love island. Bring me the recoupling or face the consequences,,i’ve had enough of this episode of love island bring me the recoupling or face the consequences,episode love island recoupling consequences ,episode love island recoupling consequence
1.5440626079335424e+18,2022-07-04 20:56:27+00:00,['1544062607933542402'],This casa amor has already been my favourite and it’s only day one #LoveIsland,,this casa amor has already been my favourite and it’s only day one ,casa amor day  ,casa amor day
1.5429703692959089e+18,2022-07-01 20:36:17+00:00,['1542970369295908866'],I cannot watch Tasha cry in another episode I literally just CANNOT she does not like Andrew and she never has #LoveIsland,,i cannot watch tasha cry in another episode i literally just cannot she does not like andrew and she never has ,tasha cry episode i andrew  ,tasha cry episode andrew
1.5424037957532385e+18,2022-06-30 07:04:56+00:00,['1542403795753238530'],@louise_latham @catxnn I highly recommend it to you both you’ll love it,,  i highly recommend it to you both you’ll love it, i love ,love
1.5418236004618445e+18,2022-06-28 16:39:26+00:00,['1541823600461844480'],@_nickwebb I know it actually is I’m ashamed to be alive right now,, i know it actually is i’m ashamed to be alive right now, i right ,right
1.541822832606331e+18,2022-06-28 16:36:23+00:00,['1541822832606330880'],Can’t believe I’ve got covid a second time. Will this virus let me live plz,,can’t believe i’ve got covid a second time will this virus let me live plz,time virus plz ,time virus plz
1.538243989115179e+18,2022-06-18 19:35:20+00:00,['1538243989115179010'],Love on Tour; Wembley N1 🤍🤍 https://t.co/7hMcyOfE8d,,love on tour wembley n  ,love tour wembley   ,love tour wembley
1.536440180156113e+18,2022-06-13 20:07:39+00:00,['1536440180156112897'],@louise_latham DONT SPOIL,, dont spoil,dont spoil ,dont spoil
1.5364395011108864e+18,2022-06-13 20:04:57+00:00,['1536439501110886402'],@louise_latham Yes. Is it not the most annoying episode ever and it just does not flow with the rest of season 2,, yes is it not the most annoying episode ever and it just does not flow with the rest of season,episode rest season ,episode rest season
1.5363094285715866e+18,2022-06-13 11:28:05+00:00,['1536309428571586564'],The lost sister is the actual worst episode in any stranger things season ever,,the lost sister is the actual worst episode in any stranger things season ever,sister episode stranger things season ,sister episode stranger thing season
1.5359153699399926e+18,2022-06-12 09:22:14+00:00,['1535915369939992586'],@louise_latham Omg Lou I hope you’re okay itd absolutely awful. Have you been looking after yourself?,, omg lou i hope you’re okay itd absolutely awful have you been looking after yourself,lou i itd ,lou itd
1.5354811407226716e+18,2022-06-11 04:36:46+00:00,['1535481140722671616'],Zayn singing You&amp;I and acknowledging One Direction’s existence in 2022 is just crazy. Bouncing back from my break like https://t.co/5HM5hnNbEV,,zayn singing youampi and acknowledging one direction’s existence in is just crazy bouncing back from my break like ,zayn youampi existence break  ,zayn youampi existence break
1.5353057330545992e+18,2022-06-10 16:59:46+00:00,['1535305733054599168'],@catxnn Just downed a litre of lucozade I’m ready to go,, just downed a litre of lucozade i’m ready to go, litre lucozade ready ,litre lucozade ready
1.5352939706742415e+18,2022-06-10 16:13:01+00:00,['1535293970674241537'],@catxnn Literally the worst decision of my whole life I’m EXHAUSTED,, literally the worst decision of my whole life i’m exhausted,decision life ,decision life
1.5350365137042022e+18,2022-06-09 23:09:59+00:00,['1535036513704202245'],Can’t actually believe I agreed to work tomorrow night 😭😭 I’m not the same person I was at 10:30 this morning,,can’t actually believe i agreed to work tomorrow night  i’m not the same person i was at this morning,i tomorrow night  person i morning ,tomorrow night person morning
1.535036029064958e+18,2022-06-09 23:08:03+00:00,['1535036029064957973'],Unpopular opinion but I cannot stress how happy I am that Harry’s singing more songs from Harry’s house than from Fine Line because like Harry’s house is a literal masterpiece and he’s singing ALL the best songs,,unpopular opinion but i cannot stress how happy i am that harry’s singing more songs from harry’s house than from fine line because like harry’s house is a literal masterpiece and he’s singing all the best songs,opinion cannot i songs house line house masterpiece songs ,opinion cannot song house line house masterpiece song
1.5349982914648228e+18,2022-06-09 20:38:06+00:00,['1534998291464822786'],Five more shifts to get through and then I’m on AL for 2 weeks. God please give me strength to get through the next four nights so I can prepare for my Harry Styles concert and trip to Spain with excitement amen,,five more shifts to get through and then i’m on al for weeks god please give me strength to get through the next four nights so i can prepare for my harry styles concert and trip to spain with excitement amen,shifts al weeks please strength nights harry styles concert trip amen ,shift week please strength night harry style concert trip amen
1.5316249755805125e+18,2022-05-31 13:13:45+00:00,['1531624975580512258'],Might love my job but I’m absolutely not ready to go back to work tomorrow after spending a week in the sun,,might love my job but i’m absolutely not ready to go back to work tomorrow after spending a week in the sun,job work tomorrow week sun ,job work tomorrow week sun
1.5316247904102892e+18,2022-05-31 13:13:00+00:00,['1531624790410289153'],@_97adeeba Nothing more soul destroying than being whacked in the face by a patient like pls we don’t get paid enough to be assaulted 🤣🤣,, nothing more soul destroying than being whacked in the face by a patient like pls we don’t get paid enough to be assaulted , nothing soul face patient pls ,nothing soul face patient pls
1.529046514621993e+18,2022-05-24 10:27:52+00:00,['1529046514621992961'],EasyJet are an absolute joke I swear to GOD,,easyjet are an absolute joke i swear to god,easyjet joke i ,easyjet joke
1.5289304660443013e+18,2022-05-24 02:46:43+00:00,['1528930466044301312'],Having to leave for the airport in one hour on two hours sleep. Actually wish I’d never been born,,having to leave for the airport in one hour on two hours sleep actually wish i’d never been born,airport hour hours ,airport hour hour
1.5284693912764908e+18,2022-05-22 20:14:35+00:00,['1528469391276490753'],Late Night Talking Daylight and Love Of My Life are by far top 3 superior tracks from Harry’s House with a special honourable mention going to Little Freak,,late night talking daylight and love of my life are by far top superior tracks from harry’s house with a special honourable mention going to little freak,night daylight love life tracks house mention freak ,night daylight love life track house mention freak
1.526604353141977e+18,2022-05-17 16:43:35+00:00,['1526604353141977088'],Can’t believe I’ve got three supernumerary shifts left and then I’ll be looking after my own tiny babies. Never been so nervous in all my life but I LOVE my job 😭🤍,,can’t believe i’ve got three supernumerary shifts left and then i’ll be looking after my own tiny babies never been so nervous in all my life but i love my job ,shifts babies life job  ,shift baby life job
1.51394682436053e+18,2022-04-12 18:27:05+00:00,['1513946824360529920'],Two weeks to go until I start my neonatal ICU nursing journey 🤍🤍 cannot express how excited I am to start nursing these tiny babies and their families after the awful start to 2022 I’ve had. Cannot wait,,two weeks to go until i start my neonatal icu nursing journey  cannot express how excited i am to start nursing these tiny babies and their families after the awful start to i’ve had cannot wait,weeks nursing journey  cannot i babies families start cannot ,week nursing journey cannot baby family start cannot
1.512831854390489e+18,2022-04-09 16:36:35+00:00,['1512831854390489089'],Can’t believe I’ve just won 70 quid on the national!!!! Love myself so much,,can’t believe i’ve just won quid on the national love myself so much,quid love ,quid love
1.5031460250783826e+18,2022-03-13 23:08:34+00:00,['1503146025078382592'],Six weeks tomorrow and I start my new journey as a neonatal intensive care nurse 🤍 longest journey ever to get here but I cannot wait for this much needed change of pace and fresh start,,six weeks tomorrow and i start my new journey as a neonatal intensive care nurse  longest journey ever to get here but i cannot wait for this much needed change of pace and fresh start,weeks tomorrow journey care  journey wait change pace start ,week tomorrow journey care journey wait change pace start
1.496100518833361e+18,2022-02-22 12:32:14+00:00,['1496100518833360901'],@_97adeeba On sky they air it weekly on sky Atlantic and then I catch up on sky go,, on sky they air it weekly on sky atlantic and then i catch up on sky go, sky sky atlantic sky ,sky sky atlantic sky
1.4960764617232955e+18,2022-02-22 10:56:38+00:00,['1496076461723295747'],That episode of euphoria was the fucking BEST episode ever. Still in literal tears over lexi’s play i need a non interrupted run through recorded Hamilton style,,that episode of euphoria was the fucking best episode ever still in literal tears over lexi’s play i need a non interrupted run through recorded hamilton style,episode euphoria fucking episode tears play i non hamilton style ,episode euphoria fucking episode tear play non hamilton style
1.4890968291868426e+18,2022-02-03 04:42:04+00:00,['1489096829186842624'],Actually so excited to finish because I’m starving. Regret not having those two slices of toast at 10pm,,actually so excited to finish because i’m starving regret not having those two slices of toast at,regret slices toast ,regret slice toast
1.4885686147185172e+18,2022-02-01 17:43:08+00:00,['1488568614718517252'],Honestly so excited to start my new job 🤍 only a few weeks to get through and I’ll finally be a neonatal nurse !! Crazy,,honestly so excited to start my new job  only a few weeks to get through and i’ll finally be a neonatal nurse  crazy,job  weeks nurse  crazy ,job week nurse crazy
1.4866380695875256e+18,2022-01-27 09:51:50+00:00,['1486638069587525632'],OH YEAH BOYS POST NIGHT SHIFT AND ITS IN THE BAG !! https://t.co/rvTuYrAhqw,,oh yeah boys post night shift and its in the bag  ,yeah post night shift bag   ,yeah post night shift bag
1.484485211727487e+18,2022-01-21 11:17:09+00:00,['1484485211727486976'],@amy_sharpex 🤍🤍 Celebrations needed 💃🏻,,  celebrations needed , celebrations  ,celebration
1.484269980149498e+18,2022-01-20 21:01:54+00:00,['1484269980149497857'],@laurengreen___ Thank you so much!,, thank you so much,thank ,thank
1.4842480517032346e+18,2022-01-20 19:34:46+00:00,['1484248051703234571'],Just been offered my dream job as a neonatal intensive care nurse and I couldn’t be more happy ever 🤍🤍 finally going to be doing what I’ve dreamed of after years of hard work love that for me!,,just been offered my dream job as a neonatal intensive care nurse and i couldn’t be more happy ever  finally going to be doing what i’ve dreamed of after years of hard work love that for me,dream job care nurse dreamed years work love ,dream job care nurse dreamed year work love
1.483851101367681e+18,2022-01-19 17:17:25+00:00,['1483851101367681032'],@jadeasuruswreck @Harry_Styles @Ticketmaster Through one of his update accounts! The information was relayed to ticket holders via certain companies and they’ve fed it through to the update accounts!,,   through one of his update accounts the information was relayed to ticket holders via certain companies and they’ve fed it through to the update accounts,  accounts information holders companies fed accounts ,account information holder company fed account
1.483849706472194e+18,2022-01-19 17:11:53+00:00,['1483849706472194054'],@jadeasuruswreck @Harry_Styles @Ticketmaster I’m not ticketmaster but there’s going to be exclusive access for those who had tickets to his last tour! Your ticket provider should contact you with more information about this,,   i’m not ticketmaster but there’s going to be exclusive access for those who had tickets to his last tour your ticket provider should contact you with more information about this,  access tickets ticket provider information ,access ticket ticket provider information
1.4838276138147308e+18,2022-01-19 15:44:05+00:00,['1483827613814730752'],Happy birthday to me! Thanks Harry I’ll live in a complete state of anxiety for the next week! https://t.co/vvkRNmfBGT,,happy birthday to me thanks harry i’ll live in a complete state of anxiety for the next week ,birthday thanks state anxiety week  ,birthday thanks state anxiety week
1.4784844158148155e+18,2022-01-04 21:52:08+00:00,['1478484415814815759'],The way we don’t talk about Bruno is THE best song in the whole of encanto. I watch this film specifically for that one song,,the way we don’t talk about bruno is the best song in the whole of encanto i watch this film specifically for that one song,way bruno song whole encanto i film song ,way bruno song whole encanto film song
1.4770477626131128e+18,2021-12-31 22:43:23+00:00,['1477047762613112833'],Spending New Years Eve in bed watching superstore riddled with covid I love my life,,spending new years eve in bed watching superstore riddled with covid i love my life,years bed superstore covid i life ,year bed superstore covid life
1.4759140602899497e+18,2021-12-28 19:38:27+00:00,['1475914060289949699'],Covid is the worst. How can I only feel remotely better when I’m stood up. How am I supposed to sleep standing up ?? Who does this virus think I am ??,,covid is the worst how can i only feel remotely better when i’m stood up how am i supposed to sleep standing up  who does this virus think i am ,covid  virus i  ,covid virus
1.475730774439641e+18,2021-12-28 07:30:09+00:00,['1475730774439641091'],Just tested positive for covid on a PCR after 5 negative lateral flows on the same day. yes five was overkill and no I don’t care because… I WAS RIGHT,,just tested positive for covid on a pcr after negative lateral flows on the same day yes five was overkill and no i don’t care because i was right,covid pcr flows day overkill i care i ,covid pcr flow day overkill care
1.4721381105741578e+18,2021-12-18 09:34:11+00:00,['1472138110574157827'],It’s been a hard week. Self isolating is a dangerous game when No Way Home has just been released and you can’t go and see it. Literally shaking and crying every time I open Twitter in fear of seeing a spoiler,,it’s been a hard week self isolating is a dangerous game when no way home has just been released and you can’t go and see it literally shaking and crying every time i open twitter in fear of seeing a spoiler,week self isolating game way home time twitter fear spoiler ,week self isolating game way home time twitter fear spoiler
1.469381732642218e+18,2021-12-10 19:01:19+00:00,['1469381732642217989'],London Bridge tube station don’t you mean bane of my fucking life why are you always so busy,,london bridge tube station don’t you mean bane of my fucking life why are you always so busy,london bridge tube station bane life ,london bridge tube station bane life
1.4650811252573348e+18,2021-11-28 22:12:14+00:00,['1465081125257334792'],@louise_latham Link,, link, link ,link
1.464647328275513e+18,2021-11-27 17:28:29+00:00,['1464647328275513352'],Not me going to JLS and spending my entire months wage on mercy as though I was possessed by 12 year old Tasha,,not me going to jls and spending my entire months wage on mercy as though i was possessed by year old tasha,months wage mercy i year tasha ,month wage mercy year tasha
1.4617569118340915e+18,2021-11-19 18:03:00+00:00,['1461756911834091522'],Can’t believe I finish my current job at 07:30 Monday morning and start my new job in London at 9am the same day,,can’t believe i finish my current job at  monday morning and start my new job in london at the same day,i job  monday morning job london day ,job monday morning job london day
1.4613540202582876e+18,2021-11-18 15:22:03+00:00,['1461354020258287620'],Can’t believe I wasted my time watching I know what you did last summer on Amazon prime for THAT ending. Absolutely terrible,,can’t believe i wasted my time watching i know what you did last summer on amazon prime for that ending absolutely terrible,i time i summer amazon prime ,time summer amazon prime
1.458827811171586e+18,2021-11-11 16:03:48+00:00,['1458827811171586051'],Fast approaching my last day on my current ICU next week and can honestly say I’ve never felt so sad to leave such a wonderful team in all my life. Hoping I fit in just as well on my new ICU lol 🙏🏻🙏🏻🙏🏻,,fast approaching my last day on my current icu next week and can honestly say i’ve never felt so sad to leave such a wonderful team in all my life hoping i fit in just as well on my new icu lol ,day icu week team life  ,day icu week team life
1.4548706277484012e+18,2021-10-31 17:59:22+00:00,['1454870627748401152'],I want rose and Giovanni in the bottom 2 tonight in strictly just so I can see that amazing Tango again don’t judge me,,i want rose and giovanni in the bottom tonight in strictly just so i can see that amazing tango again don’t judge me,i giovanni tonight tango judge ,giovanni tonight tango judge
1.4540523772338668e+18,2021-10-29 11:47:56+00:00,['1454052377233866754'],Stomach hurts head hurts chest hurts. literally send help,,stomach hurts head hurts chest hurts literally send help,stomach head hurts help ,stomach head hurt help
1.4522384628794778e+18,2021-10-24 11:40:05+00:00,['1452238462879477761'],If Aljaz isn’t your favourite strictly professional then what are you doing with yourselves,,if aljaz isn’t your favourite strictly professional then what are you doing with yourselves,favourite yourselves ,favourite
1.4512592903130112e+18,2021-10-21 18:49:12+00:00,['1451259290313011208'],Dominos pizza tracker is addictive. Constantly checking to see when this greedy cow can scran her meal deal,,dominos pizza tracker is addictive constantly checking to see when this greedy cow can scran her meal deal,dominos pizza tracker greedy cow meal deal ,domino pizza tracker greedy cow meal deal
1.4511794077673226e+18,2021-10-21 13:31:47+00:00,['1451179407767322633'],Wish I was back in Iceland scaling waterfalls and drinking overpriced aperol spritz cocktails 💔,,wish i was back in iceland scaling waterfalls and drinking overpriced aperol spritz cocktails ,i iceland scaling waterfalls drinking spritz cocktails ,iceland scaling waterfall drinking spritz cocktail
1.4477087780954194e+18,2021-10-11 23:40:44+00:00,['1447708778095419394'],Can’t believe I’m at the stage in my life where I’m looking forward to strictly come dancing. I’ve hit a new low,,can’t believe i’m at the stage in my life where i’m looking forward to strictly come dancing i’ve hit a new low,stage life ,stage life
1.4464823903990456e+18,2021-10-08 14:27:30+00:00,['1446482390399045637'],Have been home from work for 6 hours and can still hear the minute volume alarm from the ventilator ringing in my ears as though I was in fact still stood next to the ventilator. Help me switch my ears off,,have been home from work for hours and can still hear the minute volume alarm from the ventilator ringing in my ears as though i was in fact still stood next to the ventilator help me switch my ears off,home work hours minute volume alarm ventilator ringing ears i fact ventilator help ears ,home work hour minute volume alarm ventilator ringing ear fact ventilator help ear
1.442897176086999e+18,2021-09-28 17:01:09+00:00,['1442897176086999043'],Absolutely do not have the strength to get out of bed and work tonight. Don’t have it in me,,absolutely do not have the strength to get out of bed and work tonight don’t have it in me,strength bed work tonight ,strength bed work tonight
1.4418759211290665e+18,2021-09-25 21:23:03+00:00,['1441875921129066498'],Who needs tickets to courteeners when you can hear it from your flat. Full on concert for free,,who needs tickets to courteeners when you can hear it from your flat full on concert for free,tickets courteeners concert ,ticket courteeners concert
1.4411676175201403e+18,2021-09-23 22:28:30+00:00,['1441167617520140291'],Booked to go on on my dream holiday to Reykjavik and accidentally booked the flights for 8:30am instead of 8:30pm when I’ll still be in work at that 😍😍😍 love that I’m the most stupid person to exist,,booked to go on on my dream holiday to reykjavik and accidentally booked the flights for instead of when i’ll still be in work at that  love that i’m the most stupid person to exist,dream holiday flights work  person ,dream holiday flight work person
1.439565841608188e+18,2021-09-19 12:23:37+00:00,['1439565841608187906'],I want to go on holiday soon. I want to book a holiday this week and just go so if anyone is free please sign yourself up to be my travel friend,,i want to go on holiday soon i want to book a holiday this week and just go so if anyone is free please sign yourself up to be my travel friend,i holiday book holiday week anyone please sign travel friend ,holiday book holiday week anyone please sign travel friend
1.4377893791755305e+18,2021-09-14 14:44:35+00:00,['1437789379175530497'],Only a few met gala fits I respect and Gigi Hadid’s is number 1 can’t stress how in love I am with that look,,only a few met gala fits i respect and gigi hadid’s is number can’t stress how in love i am with that look,met gala respect gigi number stress love i look ,met gala respect gigi number stress love look
1.4377089504603218e+18,2021-09-14 09:24:59+00:00,['1437708950460321798'],90% of the outfits at the met gala this year.. bland,,of the outfits at the met gala this year bland,outfits met gala year bland ,outfit met gala year bland
1.4374947639477043e+18,2021-09-13 19:13:53+00:00,['1437494763947704321'],Shang-Chi is honestly hands down without a shadow of a doubt in my mind the BEST marvel movie EVER made EVER I’m in literal awe,,shangchi is honestly hands down without a shadow of a doubt in my mind the best marvel movie ever made ever i’m in literal awe,shangchi shadow doubt mind marvel movie awe ,shangchi shadow doubt mind marvel movie awe
1.4363669800057446e+18,2021-09-10 16:32:29+00:00,['1436366980005744643'],Sometimes I really hate my job. I wish we could save everyone and give them more time to be with their families and friends and to live their lives. I hate how final death is,,sometimes i really hate my job i wish we could save everyone and give them more time to be with their families and friends and to live their lives i hate how final death is,job everyone time families friends lives death ,job everyone time family friend life death
1.4362574679991378e+18,2021-09-10 09:17:19+00:00,['1436257467999137795'],I better love London when I move there next month because there is NO WAY I am moving cities again for at least 2 years. Suck it up buttercup I’m staying put,,i better love london when i move there next month because there is no way i am moving cities again for at least years suck it up buttercup i’m staying put,i london i month way cities years ,london month way city year
1.4333947462910198e+18,2021-09-02 11:41:53+00:00,['1433394746291019780'],Too hot in the south. Why did I ever think it was a good idea to move to London when I prefer my temperature practically Arctic,,too hot in the south why did i ever think it was a good idea to move to london when i prefer my temperature practically arctic,idea i temperature ,idea temperature
1.4323357801696338e+18,2021-08-30 13:33:56+00:00,['1432335780169633797'],LITERALLY CANNOT CONTAIN MY EXCITEMENT https://t.co/FzjwZCjKi5,,literally cannot contain my excitement ,excitement  ,excitement
1.429933980250411e+18,2021-08-23 22:30:02+00:00,['1429933980250411009'],Massive spider in the living room has caused absolute turmoil in this house the Worgan’s are about to move out,,massive spider in the living room has caused absolute turmoil in this house the worgan’s are about to move out,spider living room turmoil house ,spider living room turmoil house
1.4294561341973504e+18,2021-08-22 14:51:15+00:00,['1429456134197350411'],So beyond excited to see mamma Mia the musical in a few weeks like my life could literally depend on it,,so beyond excited to see mamma mia the musical in a few weeks like my life could literally depend on it,weeks life ,week life
1.428789507218944e+18,2021-08-20 18:42:18+00:00,['1428789507218944001'],I don’t respect anyone who takes the lower or minus offer on the chase just absolute poor sportsmanship,,i don’t respect anyone who takes the lower or minus offer on the chase just absolute poor sportsmanship,i respect anyone chase sportsmanship ,respect anyone chase sportsmanship
1.4281166141558497e+18,2021-08-18 22:08:28+00:00,['1428116614155849729'],@emfellowsxx I know and he’d been such a good boy so lovely hard working and he just went like that omg I’m gonna cry again,, i know and he’d been such a good boy so lovely hard working and he just went like that omg i’m gonna cry again, i boy working gonna cry ,boy working gonna cry
1.428115943360762e+18,2021-08-18 22:05:48+00:00,['1428115943360761857'],@emfellowsxx Can’t tell you how much I cried when his storyline concluded I actually was fully in shock,, can’t tell you how much i cried when his storyline concluded i actually was fully in shock,tell i storyline shock ,tell storyline shock
1.4281139702301368e+18,2021-08-18 21:57:58+00:00,['1428113970230136837'],Thinking about Colin from it’s a sin and going to sleep with an aching heart pain so much pain,,thinking about colin from it’s a sin and going to sleep with an aching heart pain so much pain,colin sin heart pain pain ,colin sin heart pain pain
1.4264018926918574e+18,2021-08-14 04:34:47+00:00,['1426401892691857410'],Me to my patients: you need to sleep at a 30 degree angle to aid breathing and improve lung capacity Also me lying flat in bed with bad lungs wondering why I’m still coughing https://t.co/IiKiqjR9c5,,me to my patients you need to sleep at a degree angle to aid breathing and improve lung capacity also me lying flat in bed with bad lungs wondering why i’m still coughing ,patients degree angle breathing lung capacity bed lungs  ,patient degree angle breathing lung capacity bed lung
1.4259934660358103e+18,2021-08-13 01:31:50+00:00,['1425993466035810308'],Sore lungs means no sleep. Someone send help and possibly a nebuliser kit,,sore lungs means no sleep someone send help and possibly a nebuliser kit,sore lungs sleep someone help nebuliser kit ,sore lung sleep someone help nebuliser kit
1.4232734152223048e+18,2021-08-05 13:23:19+00:00,['1423273415222304770'],So excited to go to Barcelona not so excited to spend more on testing than I did my flights,,so excited to go to barcelona not so excited to spend more on testing than i did my flights,i flights ,flight
1.4186315225218662e+18,2021-07-23 17:58:06+00:00,['1418631522521866245'],Zayn is so sick for making the transition from she to drunk THAT smooth it should be illegal,,zayn is so sick for making the transition from she to drunk that smooth it should be illegal,zayn transition ,zayn transition
1.4179566171491983e+18,2021-07-21 21:16:16+00:00,['1417956617149198341'],Watching Notting hill makes me want to move to London even more and set up little meet cutes with the rich and famous in bookshops,,watching notting hill makes me want to move to london even more and set up little meet cutes with the rich and famous in bookshops,hill meet cutes bookshops ,hill meet cutis bookshop
