,text,edit_history_tweet_ids,id,author_id,followers_count,following_count,tweet_count,listed_count
23,"@ciji_thurman I like that, Ciji. I will repeat it louder:

""Many students are going through things we know nothing about, and that play a huge part"" of how they learn or behave.

Know your students. Be kind and empathetic. Not the person who push kids further away from school.

#T2Tchat",['1557878767166672898'],1557878767166672898,1463549647,10145,4938,23049,137
24,@teacher2teacher A6: Tell me two awesome things about yourself 😜. You can get to learn cool stuff about your students. They will respect you if they know you are actually interested in knowing something about them. #T2Tchat,['1557877005298896897'],1557877005298896897,1463549647,10145,4938,23049,137
25,"@teacher2teacher A6: What do you like to do in your free time? An important question to ask students! I had a high school student who was playing organized sports outside school. I was getting frustrated why was not finishing his work on time, until I learned how busy his schedule was. #T2Tchat",['1557876344016470017'],1557876344016470017,1463549647,10145,4938,23049,137
26,"@emilyfranESL @TammyTomazoli @teacher2teacher The realization that we can learn from families is key. It enables teachers to make their classrooms welcoming to families. To know and trust families and to have an open and respectful dialogue with them. Note that for some families, school isn't always a safe space. #T2Tchat",['1557875127077019650'],1557875127077019650,1463549647,10145,4938,23049,137
27,@teacher2teacher A5: Some kids are quiet in class because they are afraid. Try having one-on-one meetings with your students - not just when there is a problem. Know them and assure them that they belong in your classroom. That they are valued and respected; and that they have a voice. #T2Tchat,['1557873936246915072'],1557873936246915072,1463549647,10145,4938,23049,137
28,@ahenkogretmen @teacher2teacher I like that. The teacher becomes proactive: creates a classroom environment that promotes collaboration between and among students. This is key because some students are more outgoing while some are a bit more quiet are reserved. #T2Tchat,['1557872714286858241'],1557872714286858241,1463549647,10145,4938,23049,137
29,"@TammyTomazoli @teacher2teacher This is so powerful, @TammyTomazoli. As teachers, we should not just teach - but also be intentional in practicing and modeling such acts as empathy, patience, and kindness towards self and others. #T2Tchat",['1557871979251777536'],1557871979251777536,1463549647,10145,4938,23049,137
30,"@teacher2teacher A3: Lifelong friendships can start at school. For some kids, school is unfriendly. A place where they feel shunned/bullied by peers. To build your classroom community, know all the students. Let them know that 'we' are a team, each has something to contribute. Respect. #T2Tchat",['1557871254430007296'],1557871254430007296,1463549647,10145,4938,23049,137
31,"@PreK33 @emilyfranESL That is a classroom kids would look forward to; and would remember years later. #T2Tchat  

https://t.co/LevRhKVsXX",['1557869677086474243'],1557869677086474243,1463549647,10145,4938,23049,137
32,"@mrsbistro @teacher2teacher I like that. Adults like it when their names are pronounced correctly. Students do too. What a nice way to do that by asking the students how to pronounce their names, and even what the name means! #T2Tchat",['1557868626526572552'],1557868626526572552,1463549647,10145,4938,23049,137
33,"@teacher2teacher A2: It starts with creating healthy relationships with your students. And having a classroom environment where all students feel safe, welcome, respected and valued. And that they've a voice. In such as classroom, students will find it safe to be their authentic selves. #T2Tchat",['1557868035746275330'],1557868035746275330,1463549647,10145,4938,23049,137
34,"@teacher2teacher A8) I strive to make sure Ss know that their voice is important, they’re loved and wanted in our class, and what they say and do ALWAYS matters! If they believe that our class simply doesn’t work without them, then I’ve done my job! #T2Tchat",['1563224179465658370'],1563224179465658370,2758889855,504,388,9722,13
35,"@teacher2teacher A7) Exit ticket Post-Its! There’s a space on our wall where essential question of the day is posted- w/ last 3 mins.of class, Ss answer the question on a sticky note &amp; on their way out of the room, they stick their Post-It on the wall under the question. They LOVE it! #T2Tchat",['1563223783913099267'],1563223783913099267,2758889855,504,388,9722,13
36,"@teacher2teacher A6)“secret student” - tell Ss you’re watching for a specific S to show leadership &amp; cooperation BUT do NOT say who it is! They’ll all be working at their best &amp; by the time lesson is over, they’ve all done so well &amp; you can say the whole class earned the points/prize! #T2Tchat",['1563223009602572288'],1563223009602572288,2758889855,504,388,9722,13
37,"@teacher2teacher A5) I use decor &amp; props, but they’re not always necessary for engagement! A crazy hat, weird accent, fun song, bright colored chalk/marker, or even just moving seats around can create enough wonder to spark excitement! If YOU are enjoying the lesson, THEY will! #T2Tchat",['1563221535909122050'],1563221535909122050,2758889855,504,388,9722,13
38,"@teacher2teacher A4) Every year, I look forward to our essay writing unit! Our “Writing Under Construction” activities are not only a blast to teach and lead, but Ss have so much fun while learning and creating a quality piece of writing! #T2Tchat https://t.co/IwYfMOZKuZ",['1563220946139303937'],1563220946139303937,2758889855,504,388,9722,13
39,"@teacher2teacher A3) I’m excited to implement a new grading/feedback system which will foster growth, give Ss confidence &amp; motivation, and limit negative responses and the word “failure.” Building a positive and safe space is my priority! #T2Tchat",['1563219914109771776'],1563219914109771776,2758889855,504,388,9722,13
40,"@teacher2teacher A2) Day 1 w/ young Ss, we read  “My Name Is Sangoel,” then each S makes their own T-shirt shaped name tag &amp; tells us how to pronounce their name w/ a few fun facts about themselves! I have similar activities for older Ss. Giving them space to be themselves is important! #T2Tchat",['1563219098418688000'],1563219098418688000,2758889855,504,388,9722,13
41,"@teacher2teacher A1) I always greet each student as they come into the room- handshakes, high fives, etc.- then we have a fun bell ringer or intro to the lesson. I’ve used the mystery box, fun accents, riddles, to get them excited for our class! #T2Tchat",['1563218239949512707'],1563218239949512707,2758889855,504,388,9722,13
42,"@leahc20 So glad you enjoyed this #T2Tchat, Leah! We hope to see you at the next one! ❤️️",['1563159325010382848'],1563159325010382848,3242758916,246435,16901,156827,1403
43,"Thanks so much for joining this week's #T2Tchat! And a huge thank-you to our moderators, @KeithPiccard and @MarcusLuther6.

Have a topic you'd like to discuss as part of a future chat? Share it in a reply or send us a DM! https://t.co/dkxIysYrup",['1562953731481960450'],1562953731481960450,3242758916,246435,16901,156827,1403
44,Q8. The number one thing I want students to learn during our time together is ______. #T2Tchat https://t.co/Tbu2uq92LD,['1562950964935815174'],1562950964935815174,3242758916,246435,16901,156827,1403
45,Q7. Share one of your favorite ways to wrap up class! #T2Tchat https://t.co/iDwQzBSvlK,['1562949199721017349'],1562949199721017349,3242758916,246435,16901,156827,1403
46,Q6. What is one of your go-to strategies to get students working together? #T2Tchat https://t.co/NreeuvDIoz,['1562947440416010240'],1562947440416010240,3242758916,246435,16901,156827,1403
47,Q5. What advice would you give a new teacher who’s looking for ways to make their lessons more engaging? #T2Tchat https://t.co/SuawzC4R8b,['1562945679395536897'],1562945679395536897,3242758916,246435,16901,156827,1403
48,Q4. What’s your all-time favorite lesson to teach students? #T2Tchat https://t.co/jSgOBTU0Px,['1562943666251247617'],1562943666251247617,3242758916,246435,16901,156827,1403
49,Q3. What is something you learned last year that you are excited to implement this year? #T2Tchat https://t.co/YPy1SvJyGX,['1562941648723935238'],1562941648723935238,3242758916,246435,16901,156827,1403
50,Q2. How do you invite students to introduce themselves in your classroom? #T2Tchat https://t.co/RuRlGHprTq,['1562939637706158081'],1562939637706158081,3242758916,246435,16901,156827,1403
51,Q1. What’s a fun way you love to start class? #T2Tchat https://t.co/rMsxWXHYpi,['1562938130491375617'],1562938130491375617,3242758916,246435,16901,156827,1403
52,"Welcome to #T2Tchat! We're excited for a conversation about #BackToSchool classroom practices, moderated by educators @KeithPiccard and @MarcusLuther6. Let’s start with a check-in: Introduce yourself &amp; share an emoji that shows how you're feeling today! 😃🤔😕😴🥳 https://t.co/UxzvZeaf1y",['1562936615240364037'],1562936615240364037,3242758916,246435,16901,156827,1403
53,"Looking to spruce up your #BackToSchool routine? 

Tonight's #T2Tchat will cover the basics of classroom planning – from fun introductions to class-closers!

Join moderators and fellow educators @KeithPiccard and @MarcusLuther6 – we'll get started at 7 p.m. ET! https://t.co/bFvs7hXVQX",['1562928819677581313'],1562928819677581313,3242758916,246435,16901,156827,1403
54,"@MrsBeeAmazing We can't wait to have you, Becca! ❤️️ #T2Tchat",['1562811810562342922'],1562811810562342922,3242758916,246435,16901,156827,1403
55,"Tomorrow's back-to-school #T2Tchat will cover: 

🗣 Classroom greeting strategies
🗣 Your favorite lessons
🗣 Top lesson-planning tips
🗣 How you wrap up class

... and so much more! Tune in at 7 p.m. ET to get in on the action: https://t.co/X6ACgD4266",['1562575992723763201'],1562575992723763201,3242758916,246435,16901,156827,1403
56,"Thursday's back-to-school #T2Tchat will focus on all the classroom practices you love – from classroom kickoff routines to collaboration strategies – and kicks off at 7 p.m. ET.

Check out a preview of the questions below! 👇 https://t.co/JooXz4fnE6",['1562213355259330560'],1562213355259330560,3242758916,246435,16901,156827,1403
57,"Thanks so much for joining this week's #T2Tchat! And a huge thank-you to our moderators  @OurKidsMatter_ and @emilyfranESL.

Have a topic you'd like to discuss as part of a future chat? Share it in a reply or send us a DM! https://t.co/AQmMIOpXA6",['1557878287237451778'],1557878287237451778,3242758916,246435,16901,156827,1403
58,Q7. What’s something you’re looking forward to this school year? #T2Tchat https://t.co/jq3lP9SOmz,['1557876773710225408'],1557876773710225408,3242758916,246435,16901,156827,1403
59,Q6. Share a favorite get-to-know-you question to ask students! #T2Tchat https://t.co/D0hRlNkmxr,['1557874513236279297'],1557874513236279297,3242758916,246435,16901,156827,1403
60,Q5. How might you approach building connections with students who are quiet during class? #T2Tchat https://t.co/KHPL0njeW3,['1557872501878693889'],1557872501878693889,3242758916,246435,16901,156827,1403
61,Q4. Fill in the blank: I set goals with my students during the first weeks of school by _________. #T2Tchat https://t.co/UFEeGrFbtY,['1557870483172823042'],1557870483172823042,3242758916,246435,16901,156827,1403
62,Q3. What’s your first step toward building a classroom community where students work together? #T2Tchat https://t.co/PCy4lrUZmx,['1557868975010480128'],1557868975010480128,3242758916,246435,16901,156827,1403
63,Q2. How do you communicate to students that they are welcome to be their authentic selves in your shared classroom? #T2Tchat https://t.co/e2R0819NOe,['1557866961077342208'],1557866961077342208,3242758916,246435,16901,156827,1403
64,Q1. When my students leave my classroom on the first day I want them to feel:  ___________. #T2Tchat https://t.co/5GehKzpjbk,['1557864950453874689'],1557864950453874689,3242758916,246435,16901,156827,1403
65,"Welcome to #T2Tchat! We're excited for a conversation about #BackToSchool community-building, moderated by educators @OurKidsMatter_ and @emilyfranESL. Let’s start with a check-in: Introduce yourself &amp; share an emoji that shows how you're feeling today! 😃🤔😕😴🥳 https://t.co/DJWN90B4SL",['1557863185146728449'],1557863185146728449,3242758916,246435,16901,156827,1403
66,"Our first #BackToSchool #T2Tchat will focus on all the ways you get to know your Ss. 

Led by moderators @OurKidsMatter_ and @emilyfranESL, the fun starts at 7 p.m. ET tonight. See you there? https://t.co/EieKy3chr5",['1557856646239383552'],1557856646239383552,3242758916,246435,16901,156827,1403
67,"WHO: You, moderator Ts @OurKidsMatter_ and @emilyfranESL, and your fellow educators

WHAT: A Back-to-School-focused #T2Tchat

WHEN: Tomorrow at 7 p.m. ET

WHY: To swap tips and ideas on building community from the first day of school 

... See you there? #EduTwitter https://t.co/mlLkRQaofl",['1557518162765025281'],1557518162765025281,3242758916,246435,16901,156827,1403
68,"@danacoledares Thanks for reaching out, Dana! We shifted to hosting monthly chats over the summer, but we'll be resuming the biweekly cadence in August. Our next #T2Tchat will take place on Thursday, August 11th. Hope to see you there!",['1555609719087271936'],1555609719087271936,3242758916,246435,16901,156827,1403
69,"@elizabeth_polo5 No worries, Elizabeth! Our next #T2Tchat will take place in August. We'd love for you to join! 🙌",['1553016368030687232'],1553016368030687232,3242758916,246435,16901,156827,1403
70,"@teacher2teacher Greeting every single student at the door with their name/ name they go by correctly pronounced. Also, asking the whole class to share 2-3 good news.  #T2Tchat",['1562985719932497920'],1562985719932497920,1024865207305138177,486,688,1261,8
71,Focus is the most important skill. #YouAreFocusable #T2Tchat https://t.co/YNoHhD8AE8,['1562971940104830978'],1562971940104830978,1481688130415579136,333,47,991,7
72,@teacher2teacher 3 Fave lessons: Oreo Moon Phases https://t.co/fyODT7JzOk Snack Tectonics https://t.co/CGzMnmLNl9 The Elwha River Lessons https://t.co/9yKHiEoZFu @NatlParkService #T2Tchat,['1562965981542039552'],1562965981542039552,840647499912249346,384,985,2994,10
73,"@teacher2teacher Only one thing??? 🧐 How to: stay curious, work with others, advocate for self and others, overcome adversity, honesty is best, hard work pays off…. Life skills over content for sure. #T2Tchat",['1562961963730145280'],1562961963730145280,840647499912249346,384,985,2994,10
74,"@teacher2teacher Involve choice whenever possible - choice of relevant topics to pursue or choice of how to demonstrate understanding (paper, project, video, poster, etc). Switch up tech games for engagement: @quizizz @Kahoot @quizlet @PlayBlooket are in constant to station in my class! #T2Tchat",['1562960506616709120'],1562960506616709120,840647499912249346,384,985,2994,10
75,"@teacher2teacher I always have a Song of Day playing when Ss enter the classroom, &amp; it has some connection to our current science topic (or the weather, HS event, etc). I also project 2 QR codes for 2 different Wordles I’ve made - one scientific &amp; one random. https://t.co/W4cyzeScgg #T2Tchat",['1562958964588834816'],1562958964588834816,840647499912249346,384,985,2994,10
76,"A9 That learning is hard; but, we work together &amp; support each other to get where we want to go...#T2Tchat",['1562960241393774592'],1562960241393774592,2318032915,6096,2369,33870,79
77,@teacher2teacher A5) Have the students get involved and not just sit and be lectured too #T2Tchat,['1562958284021444609'],1562958284021444609,1374072752924164098,1215,1787,29505,3
78,@teacher2teacher Q5 - #T2TCHAT I love using picture books and integrating STEM activities. It gets kids engaged and collaborating all while connecting to ELA and communication standards.,['1562956732329955328'],1562956732329955328,270725944,1112,2967,15410,6
79,"@Drtamssen A5- I know that pacing is important, but why would I rush something if I knew spending a few extra minutes on getting the Ss engaged would allow for powerful learning. So, a little more wiggle room with pacing. #T2Tchat",['1562956333992660992'],1562956333992660992,1428131942587936769,2853,2950,16297,11
80,"@Drtamssen A4- If we are being honest, I would say knowing that not all curriculums are written to meet the needs of each Ss. Knowing that we NEED to modify, adjust, and make it THEIRS. Getting them to LOVE learning without them even knowing that they are learning. #T2Tchat",['1562954985528508416'],1562954985528508416,1428131942587936769,2853,2950,16297,11
81,@teacher2teacher A8- that I believe in them and that I am their biggest fan! #T2Tchat,['1562951301549666305'],1562951301549666305,1428131942587936769,2853,2950,16297,11
82,"@teacher2teacher A7- I'm sad to say that we hardly EVER have free time. We work bell to bell, but our learning and discussions are so rich that I hate to cut them off. #T2Tchat",['1562950679169466368'],1562950679169466368,1428131942587936769,2853,2950,16297,11
83,"@teacher2teacher A6- We use a lot of Think-Pair-Share in our room, but I tell the Ss that we are going to discuss our ideas in our ""Support Groups."" This let's Ss know that they can always count on their ""support"" to help them out when we do whole class talks. #T2Tchat",['1562948123609026561'],1562948123609026561,1428131942587936769,2853,2950,16297,11
84,@teacher2teacher parts to keep the Ss intrigued. They get upset when we have to stop reading for the day. #T2Tchat,['1562946544219062272'],1562946544219062272,1428131942587936769,2853,2950,16297,11
85,"@teacher2teacher A4- Not so much a lesson, but I love teaching We Are the Ship. In this module we learn about breaking barriers. #T2Tchat",['1562944721336410118'],1562944721336410118,1428131942587936769,2853,2950,16297,11
86,@teacher2teacher A3- I learned some amazing strategies about @nearpod that I plan to try to incorporate more in my English classes. #T2Tchat,['1562942271993315330'],1562942271993315330,1428131942587936769,2853,2950,16297,11
87,"@teacher2teacher I usually have them complete an All About Me poster that we can hang up in the hallway. This year I tried a digital version of it, but that didn't go over so well. #T2Tchat",['1562940402277437441'],1562940402277437441,1428131942587936769,2853,2950,16297,11
88,@teacher2teacher We start every class with Good Things. Ss are welcomed to share something good with the class. #T2Tchat,['1562939024506888192'],1562939024506888192,1428131942587936769,2853,2950,16297,11
89,"@teacher2teacher A6: We start the class of with ""Good Things."" Ss are allowed to share something good that has happened. You learn a lot about Ss this way. #T2Tchat",['1557880493080997888'],1557880493080997888,1428131942587936769,2853,2950,16297,11
90,@teacher2teacher A5: Greeting students at the door and building connections is important. I also have Ss record their readings to share with me in Google Classroom. This allows ME to hear them read aloud. #T2Tchat,['1557880144756342785'],1557880144756342785,1428131942587936769,2853,2950,16297,11
91,@teacher2teacher A4: Setting up small goals that lead to our overall bigger goal. #T2Tchat,['1557878022304301056'],1557878022304301056,1428131942587936769,2853,2950,16297,11
92,@teacher2teacher A3: Building a social contract. #T2Tchat,['1557877768519667712'],1557877768519667712,1428131942587936769,2853,2950,16297,11
93,@teacher2teacher A2: promoting diversity #T2Tchat,['1557877632963936256'],1557877632963936256,1428131942587936769,2853,2950,16297,11
94,@teacher2teacher A1: Important! #T2Tchat,['1557877440957059072'],1557877440957059072,1428131942587936769,2853,2950,16297,11
95,@teacher2teacher A7: Building positive relationships with my students! #T2Tchat,['1557877055815049232'],1557877055815049232,1428131942587936769,2853,2950,16297,11
96,@MsVargasENGSOL Yes!!! Let me know how it goes 😀 #T2Tchat,['1562955958262775808'],1562955958262775808,94795507,22717,19770,86947,205
97,This!!! 🔥🔥🔥🙌🏽  #T2Tchat https://t.co/4t2kwhKHjE,['1562952936610988032'],1562952936610988032,94795507,22717,19770,86947,205
98,"@MarcusLuther6 This is so powerful!!!! I was an adult when I gained the courage to share my story.

I never had the opportunity in school to share about my experiences— this robs our humanity.

Encourage #Storytelling!!! #t2tchat",['1562952486071451648'],1562952486071451648,94795507,22717,19770,86947,205
99,"A8. The number one thing I want students to learn during our time together is that they matter &amp; that What we’re doing matters.

And also, that I love what I do and I’ll be ready for them the next day!! 
#T2Tchat",['1562951550594531329'],1562951550594531329,94795507,22717,19770,86947,205
100,@Toups_J #t2tchat https://t.co/gdUdtgFPe8,['1562950874304954368'],1562950874304954368,94795507,22717,19770,86947,205
101,"A7: I don’t wrap up my classes with this question every day — but once in a while I ask…

🤔 What will you remember about today’s class a year from today?

I get great responses— many times the lesson’s objectives 🤷🏽‍♀️ #T2Tchat",['1562950522235076611'],1562950522235076611,94795507,22717,19770,86947,205
102,"A6: I have not done this but @teacher2teacher shared it and I’m doing it.
Not all students enjoy working in groups.
Partner collaboration works too OR one-on-one with the teacher (scaffolding) #T2T 

 #T2Tchat https://t.co/dVcYz8tl5r",['1562949059677081601'],1562949059677081601,94795507,22717,19770,86947,205
103,@leahc20 @teacher2teacher Excellent tip! #T2Tchat,['1562947414012891136'],1562947414012891136,94795507,22717,19770,86947,205
104,@ciji_thurman It’s key! #T2Tchat https://t.co/FqrmNa4aBR,['1562947063889170432'],1562947063889170432,94795507,22717,19770,86947,205
105,@EaganLiz @teacher2teacher Nice! They need to be validated for their hard work 😉 #T2Tchat,['1562946553543028740'],1562946553543028740,94795507,22717,19770,86947,205
106,"A5: My go-to tip is…be comfortable being out of your comfort zone.

Many times what is engaging for students is not necessarily what we planned because we’re just wired differently. Getting ti know students &amp; how they work together helps. #T2Tchat https://t.co/HF9A0BGhoK",['1562946379701710856'],1562946379701710856,94795507,22717,19770,86947,205
107,"@EaganLiz @teacher2teacher Nice! Several of my MLs love this class.

I like it when they make tacos and bring me lunch 😂🤤 #T2Tchat",['1562945431499182087'],1562945431499182087,94795507,22717,19770,86947,205
108,"@TammyTomazoli @teacher2teacher I’d say that my co-teacher &amp; friend @EudyCHS would say the same.

She’s SO passionate teaching math 🙌🏽🕷💛 #T2Tchat",['1562944987457032192'],1562944987457032192,94795507,22717,19770,86947,205
109,"@MarcusLuther6 RTing to check it out! Thank you!! Anything about reaffirming Ss — I’m in. 

#T2Tchat",['1562944681524461568'],1562944681524461568,94795507,22717,19770,86947,205
110,"A4: My all-time favorite lesson is the #MovingStories unit.
This year I added resources from @reimaginemigrat &amp; @hackyourstory 

All my immigrant Ss published their OWN story using @WriteReaderApp 
 #T2Tchat https://t.co/PF2daBC7eD",['1562944460820217856'],1562944460820217856,94795507,22717,19770,86947,205
111,@MrsEngler1 Thanks! Our teachers love these! #T2Tchat,['1562943753135935488'],1562943753135935488,94795507,22717,19770,86947,205
112,"A3: At my HS, we learned that creating student profiles like this can go a long way to create strong relationships with our students.
Several teachers help create profiles like this about our MLs and we’re planning on adding more 😀 
 #T2Tchat https://t.co/a2NWOtISgT",['1562943497896083456'],1562943497896083456,94795507,22717,19770,86947,205
113,Oooh — I Like this idea 😀 #T2Tchat https://t.co/NxNvXzcEHS,['1562942223679102978'],1562942223679102978,94795507,22717,19770,86947,205
114,"A2: I learned all about the “name tent” from THE @DrCarolSalva &amp; @AnnaTeachesMLLs 
 #BoostingAchievement 

Decorate the name tent with , name, country, AND languages spoken at home! 
 #T2Tchat",['1562941966023036928'],1562941966023036928,94795507,22717,19770,86947,205
115,"A1: I love starting class with a simple check-in. 
Having students share what they do outside school ours should have a space in classrooms. #T2Tchat",['1562941318762213377'],1562941318762213377,94795507,22717,19770,86947,205
116,"Hi  #T2Tchat

I’m Emily HS ESL teacher in NC",['1562940680321634304'],1562940680321634304,94795507,22717,19770,86947,205
117,"@ARichardsonCCS #T2Tchat is biweekly. 
Be sure to follow @teacher2teacher &amp; stay tuned.
Biweekly—Thursdays at 7:00 pm.",['1558200556920897536'],1558200556920897536,94795507,22717,19770,86947,205
118,@ARichardsonCCS I agree! #T2T #T2Tchat,['1558196650895867905'],1558196650895867905,94795507,22717,19770,86947,205
119,#T2Tchat https://t.co/Y1Vv1xrTeY,['1557908212640350210'],1557908212640350210,94795507,22717,19770,86947,205
120,"Thank you so much for the opportunity to co-moderate #T2Tchat! 🙏🏽🍎✏️ 

I’m honored!! Have a fantastic school year, teacher friends! https://t.co/OyTmT6hDJA",['1557878403583381505'],1557878403583381505,94795507,22717,19770,86947,205
121,yes. to. DIVERSITY!! #T2Tchat https://t.co/weptUcLN71,['1557878047868583939'],1557878047868583939,94795507,22717,19770,86947,205
122,"""My life is enriched by the many connections I get to build with new people each year."" ~ @LiviaChanL 

Love this!! #T2Tchat https://t.co/bojj4Thm5A",['1557877606212665344'],1557877606212665344,94795507,22717,19770,86947,205
123,"@MsBenton7 @teacher2teacher @OurKidsMatter_ welcome, Tori!!! #T2Tchat",['1557877363005865986'],1557877363005865986,94795507,22717,19770,86947,205
124,"A7: What I look forward to every school year is learning about my students cultural background &amp; experiences.
We all make an “I Am” poem sharing all about ourselves — we share it with peers and post in a bulletin board 🤩🌎 #T2Tchat https://t.co/bdb97QEmLt",['1557877082172145665'],1557877082172145665,94795507,22717,19770,86947,205
125,"Let's share, #T2Tchat!! This is going to fire us up!!! 
#T2Tchat https://t.co/dp6P9zGCI7",['1557877016514396165'],1557877016514396165,94795507,22717,19770,86947,205
126,"In many occasions, what they hold dear to their heart is FAMILY. 
Are we willing to do the same?!?

Something to think about! If it matters for our students, it must matter to us as educators.  #FamilyMatters #T2Tchat https://t.co/MihkQXbz8N",['1557876771802038272'],1557876771802038272,94795507,22717,19770,86947,205
127,"@JamesAlanOLOO @TammyTomazoli @teacher2teacher Great points here, James! We need to make sure our campus is a safe space not only for students BUT their families too. #T2Tchat",['1557875485115355140'],1557875485115355140,94795507,22717,19770,86947,205
128,"@Laurie_Hagberg oh man! Sorry!
I'd make copies and place them around the classroom! #T2Tchat",['1557875226112937984'],1557875226112937984,94795507,22717,19770,86947,205
